combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1CPR1STR1ERY1DOX1,0.65227,0.99224,0.92006,0.83651,1,0.56648,0.067846,0.54998,0.46903,0.81064,0.8682,1,0.79405,0.93602,0.95463,0.27224,0.56924,0.61927,0.012604,0.04145,0.49389,0.83374,0.69247,0.76737,0.77435,0.3583,0.35034,0.55131,0.048049,0.45013,0.30356,-0.12472,-0.88695,0.040815,-0.28092,-0.11203,5.8787,NaN,0.36496,NaN,NaN,-0.54282,0.25113,-0.043155,-0.97489,-0.93093,-0.094824,0.96188,-0.24147,-0.075473,0.070361,2.4535,2.2633,3.0339,-0.83563,0.83312,0.2475,1.6222,-0.16932,-0.22635,-0.15471,-0.28068,-0.41165,0.089485,-0.90429,-0.41057,0.17121,-0.08561,0.02811,1.3837,-0.070448,-0.39057,-0.35128
AMP1CPR1STR1ERY1DOX2,0.65227,0.99224,0.92006,0.83651,0.9804,0.56648,0.067846,0.54998,0.51599,0.81064,0.8682,0.87687,0.79405,0.95912,1,0.27224,0.56924,0.52191,0.012604,0.20873,0.45625,0.83374,0.50712,0.81923,0.81347,0.3583,0.4081,0.4188,0.048049,0.5367,0.34678,-0.12472,-0.88695,0.040815,-0.19311,-0.11203,5.8787,-0.098601,0.36496,NaN,NaN,-0.54282,0.25113,-0.17747,-0.97489,-0.64524,-0.1471,0.96188,-0.4334,0.2406,0.71879,2.4535,2.2633,1.07,-0.83563,2.8618,-0.1753,1.6222,-0.33549,-0.13714,-0.17976,-0.28068,-0.30094,-0.21098,-0.90237,-0.28316,0.17121,0.080859,-0.06034,1.4629,71.7773,-0.2899,-0.29354
AMP1CPR1STR1ERY1DOX3,0.65227,0.99224,0.92006,0.83651,1,0.56648,0.067846,0.54998,0.56924,0.81064,0.8682,0.90645,0.79405,0.99519,1,0.27224,0.56924,0.7201,0.012604,0.093266,0.43032,0.83374,0.71714,0.73805,0.75785,0.3583,0.16529,0.39287,0.013496,0.51062,0.35254,-0.12472,-0.88695,0.040815,-0.12729,-0.11203,5.8787,NaN,0.36496,NaN,NaN,-0.54282,0.25113,14.3927,-0.97489,-0.84459,-0.21133,0.96188,-0.21445,-0.1108,-0.015322,2.4535,2.2633,2.1361,-0.83563,1.9283,-0.26712,1.6222,-0.11055,-0.23012,-0.24765,-0.28068,-0.72242,-0.27433,-0.97312,-0.33135,0.17121,-0.67241,-0.19376,NaN,0.44748,-0.29225,0.30861
AMP1CPR1STR1ERY2DOX1,0.65227,0.99224,0.92006,0.96902,1,0.56648,0.067846,0.45013,0.46903,0.81064,0.93307,1,0.9143,0.93602,0.99784,0.27224,0.53966,0.61927,0.040511,0.04145,0.57148,0.79109,0.69247,0.80734,0.84694,0.31096,0.35034,0.61469,0.021653,0.59993,0.4188,-0.12472,-0.88695,-0.28784,-0.28092,-0.11203,NaN,NaN,NaN,NaN,NaN,-0.54282,-0.13951,-0.043155,-0.93034,-0.93093,-0.095839,-0.10574,-0.24147,-0.16032,-0.050042,2.4535,1.9614,3.0339,0.8346,0.83312,1.7644,2.5561,-0.16932,-0.167,-0.11435,-0.46108,-0.41165,-0.019861,-0.96277,-0.32183,-0.28379,-0.08561,-0.21525,NaN,0.68924,-0.2742,0.21329
AMP1CPR1STR1ERY2DOX2,0.65227,0.99224,0.92006,0.96902,0.9804,0.56648,0.067846,0.45013,0.51599,0.81064,0.93307,0.87687,0.9143,0.95912,1,0.27224,0.53966,0.52191,0.040511,0.20873,0.52251,0.79109,0.50712,0.69247,0.74433,0.31096,0.4081,0.60958,0.17343,0.71455,0.23674,-0.12472,-0.88695,-0.28784,-0.19311,-0.11203,NaN,-0.098601,NaN,NaN,NaN,-0.54282,-0.13951,-0.17747,-0.93034,-0.64524,-0.1568,-0.10574,-0.4334,-0.2654,-0.14844,2.4535,1.9614,1.07,0.8346,2.8618,1.9326,2.5561,-0.33549,-0.20536,-0.25394,-0.46108,-0.30094,-0.0085859,-0.69581,-0.17611,-0.28379,0.080859,0.06664,0.13733,1.5969,-0.58152,-0.73662
AMP1CPR1STR1ERY2DOX3,0.65227,0.99224,0.92006,0.96902,1,0.56648,0.067846,0.45013,0.56924,0.81064,0.93307,0.90645,0.9143,0.99519,1,0.27224,0.53966,0.7201,0.040511,0.093266,0.61757,0.79109,0.71714,0.71552,0.77314,0.31096,0.16529,0.40439,0.04145,0.51927,0.31593,-0.12472,-0.88695,-0.28784,-0.12729,-0.11203,NaN,NaN,NaN,NaN,NaN,-0.54282,-0.13951,14.3927,-0.93034,-0.84459,-0.022914,-0.10574,-0.21445,-0.25582,-0.13282,2.4535,1.9614,2.1361,0.8346,1.9283,3.7793,2.5561,-0.11055,-0.18755,-0.23875,-0.46108,-0.72242,-0.35519,-0.92872,-0.41301,-0.28379,-0.67241,-0.51985,NaN,0.57781,-0.45248,3.7274
AMP1CPR1STR1ERY3DOX1,0.65227,0.99224,0.92006,0.94491,1,0.56648,0.067846,0.51472,0.46903,0.81064,0.89643,1,0.85025,0.93602,0.97479,0.27224,0.49529,0.61927,0.13846,0.04145,0.64615,0.73489,0.69247,0.75009,0.83363,0.3673,0.35034,0.51098,0.031551,0.56628,0.24272,-0.12472,-0.88695,-0.16487,-0.28092,-0.11203,-0.043882,NaN,-0.021992,NaN,NaN,-0.54282,-0.19011,-0.043155,-0.75583,-0.93093,0.82968,-0.14807,-0.24147,-0.19996,-0.041105,2.4535,0.85029,3.0339,1.7017,0.83312,3.4715,0.45281,-0.16932,-0.19641,-0.066303,-0.3472,-0.41165,-0.16444,-0.94436,-0.34354,-0.16065,-0.08561,-0.30206,NaN,0.62547,-0.56862,0.064914
AMP1CPR1STR1ERY3DOX2,0.65227,0.99224,0.92006,0.94491,0.9804,0.56648,0.067846,0.51472,0.51599,0.81064,0.89643,0.87687,0.85025,0.95912,1,0.27224,0.49529,0.52191,0.13846,0.20873,0.66981,0.73489,0.50712,0.8887,0.84694,0.3673,0.4081,0.60317,0.12105,0.64062,0.3681,-0.12472,-0.88695,-0.16487,-0.19311,-0.11203,-0.043882,-0.098601,-0.021992,NaN,NaN,-0.54282,-0.19011,-0.17747,-0.75583,-0.64524,1.3654,-0.14807,-0.4334,-0.033173,-0.0063314,2.4535,0.85029,1.07,1.7017,2.8618,4.5314,0.45281,-0.33549,0.83903,-0.1134,-0.3472,-0.30094,0.068469,-0.78226,-0.24251,-0.16065,0.080859,-0.20679,-0.70914,4.014,-0.33271,0.044129
AMP1CPR1STR1ERY3DOX3,0.65227,0.99224,0.92006,0.94491,1,0.56648,0.067846,0.51472,0.56924,0.81064,0.89643,0.90645,0.85025,0.99519,1,0.27224,0.49529,0.7201,0.13846,0.093266,0.60769,0.73489,0.71714,0.90349,0.91142,0.3673,0.16529,0.69186,0.17105,0.5884,0.31263,-0.12472,-0.88695,-0.16487,-0.12729,-0.11203,-0.043882,NaN,-0.021992,NaN,NaN,-0.54282,-0.19011,14.3927,-0.75583,-0.84459,-0.014018,-0.14807,-0.21445,-0.036344,0.8295,2.4535,0.85029,2.1361,1.7017,1.9283,3.1866,0.45281,-0.11055,2.4741,-0.062267,-0.3472,-0.72242,1.9723,-0.69836,-0.31788,-0.16065,-0.67241,-0.1764,-0.30285,-0.10912,-0.44438,5.632
AMP1CPR1STR2ERY1DOX1,0.65227,0.99224,0.82426,0.83651,1,0.56648,0.074136,0.54998,0.46903,0.76775,0.8682,1,0.67116,0.75965,0.95463,0.11851,0.56924,0.61927,0.16103,0.016454,0.49389,0.85023,0.51895,0.76737,0.82912,0.15734,0.23653,0.55131,0.099028,0.74376,0.097541,-0.12472,-0.86211,0.040815,-0.28092,-0.061271,5.8787,NaN,-0.026601,-0.078385,NaN,-0.77785,0.25113,-0.043155,-0.64195,-0.9694,-0.094824,1.1854,-0.36548,-0.075473,1.0361,1.453,2.2633,3.0339,12.8208,0.7014,0.2475,14.6692,-0.26913,-0.22635,1.451,-0.64741,-0.55661,0.089485,-0.77981,0.42546,-0.58918,0.76907,0.02811,-0.54154,0.37763,-0.78142,-0.58212
