combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1CPR1STR1FUS1DOX1,0.85362,0.9117,0.73279,0.5957,0.97909,0.73206,0.11008,0.1633,0.8025,0.67703,0.68908,0.90236,0.61473,0.9117,0.65423,0.25355,0.33735,0.99164,0.049602,0.16103,0.27697,0.19184,0.70258,0.65423,0.638,0.03616,0.3907,0.18832,0.072342,0.10296,0.067794,-0.059343,-0.82402,-0.67885,-0.039805,0.13812,2.7753,NaN,1.1195,NaN,5.698,-0.5554,-0.27233,2.506,-0.86688,-0.73707,-0.44369,-0.51797,0.61605,1.9151,1.2513,6.8438,0.94101,13.4761,0.84162,-0.35382,1.8715,-0.71484,-0.17058,-0.12205,-0.17098,-0.89356,-0.30027,-0.58512,-0.80171,-0.73576,0.96339,0.027637,-0.6445,1.2646,-0.00049126,-0.79618,2.5546
AMP1CPR1STR1FUS1DOX2,0.85362,0.9117,0.73279,0.5957,0.96515,0.73206,0.11008,0.1633,0.75455,0.67703,0.68908,0.88995,0.61473,0.83735,0.638,0.25355,0.33735,0.95694,0.049602,0.21106,0.32664,0.19184,0.66516,0.69486,0.66352,0.03616,0.45861,0.31964,0.053688,0.090534,0.11782,-0.059343,-0.82402,-0.67885,-0.084136,0.13812,2.7753,0.31531,1.1195,5.0939,3.0375,-0.5554,-0.27233,2.0081,-0.86688,-0.65041,-0.33444,-0.51797,0.23137,2.3863,1.3889,6.8438,0.94101,8.4681,0.84162,0.73936,12.4778,-0.71484,-0.14656,-0.046221,-0.074607,-0.89356,-0.16679,-0.28563,-0.85072,-0.7643,0.96339,-0.0046933,-0.4855,-0.58382,-0.50302,-0.64066,2.3941
AMP1CPR1STR1FUS1DOX3,0.85362,0.9117,0.73279,0.5957,0.95011,0.73206,0.11008,0.1633,0.81822,0.67703,0.68908,0.95121,0.61473,0.85006,0.77505,0.25355,0.33735,1,0.049602,0.15655,0.22611,0.19184,0.68864,0.70767,0.76343,0.03616,0.52135,0.31711,0.06869,0.12919,0.047197,-0.059343,-0.82402,-0.67885,0.1688,0.13812,2.7753,NaN,1.1195,4.2078,7.0352,-0.5554,-0.27233,2.2819,-0.86688,-0.73659,-0.53199,-0.51797,0.54965,2.405,1.9269,6.8438,0.94101,2.8492,0.84162,-0.35085,-0.33084,-0.71484,-0.18578,-0.21013,-0.078973,-0.89356,-0.037823,-0.28007,-0.80598,-0.65834,0.96339,0.88275,-0.12887,1.159,-0.32292,-0.85378,-0.79518
AMP1CPR1STR1FUS2DOX1,0.85362,0.9117,0.73279,0.95694,0.97909,0.73206,0.11008,0.6095,0.8025,0.67703,0.85129,0.90236,0.95694,0.9117,0.74678,0.25355,0.41763,0.99164,0.03228,0.16103,0.50441,0.48461,0.70258,0.68443,0.75414,0.1657,0.3907,0.49019,0.057072,0.25881,0.1201,-0.059343,-0.82402,-0.25385,-0.039805,0.13812,-0.024243,NaN,NaN,NaN,-0.20294,-0.5554,-0.43922,2.506,-0.94607,-0.73707,-0.36931,-0.242,0.61605,-0.19874,1.4619,6.8438,-0.15363,13.4761,-0.81195,-0.35382,0.52435,-0.44008,-0.17058,1.3146,-0.23318,-0.69637,-0.30027,-0.32773,-0.90262,-0.58653,1.5449,0.027637,-0.23052,1.182,0.25746,-0.77523,-0.6218
AMP1CPR1STR1FUS2DOX2,0.85362,0.9117,0.73279,0.95694,0.96515,0.73206,0.11008,0.6095,0.75455,0.67703,0.85129,0.88995,0.95694,0.83735,0.6772,0.25355,0.41763,0.95694,0.03228,0.21106,0.47712,0.48461,0.66516,0.72393,0.64777,0.1657,0.45861,0.53994,0.067794,0.38702,0.079164,-0.059343,-0.82402,-0.25385,-0.084136,0.13812,-0.024243,0.31531,NaN,5.0939,-0.26677,-0.5554,-0.43922,2.0081,-0.94607,-0.65041,-0.39482,-0.242,0.23137,-0.14026,-0.042888,6.8438,-0.15363,8.4681,-0.81195,0.73936,0.62113,-0.44008,-0.14656,10.8398,-0.25333,-0.69637,-0.16679,-0.24881,-0.88265,-0.37278,1.5449,-0.0046933,-0.24248,1.9684,0.74333,-0.8497,-0.82158
AMP1CPR1STR1FUS2DOX3,0.85362,0.9117,0.73279,0.95694,0.95011,0.73206,0.11008,0.6095,0.81822,0.67703,0.85129,0.95121,0.95694,0.85006,0.97968,0.25355,0.41763,1,0.03228,0.15655,0.84096,0.48461,0.68864,0.94784,0.59149,0.1657,0.52135,0.67006,0.055026,0.57058,0.25414,-0.059343,-0.82402,-0.25385,0.1688,0.13812,-0.024243,NaN,NaN,4.2078,NaN,-0.5554,-0.43922,2.2819,-0.94607,-0.73659,0.83673,-0.242,0.54965,1.4365,-0.11221,6.8438,-0.15363,2.8492,-0.81195,-0.35085,2.9062,-0.44008,-0.18578,-0.0068761,-0.46618,-0.69637,-0.037823,-0.053032,-0.90325,-0.060661,1.5449,0.88275,-0.25049,1.09,1.3008,-0.50987,-0.66083
AMP1CPR1STR1FUS3DOX1,0.85362,0.9117,0.73279,0.93494,0.97909,0.73206,0.11008,0.6363,0.8025,0.67703,0.842,0.90236,0.89544,0.9117,0.97058,0.25355,0.59381,0.99164,0.1815,0.16103,0.72726,0.63175,0.70258,0.9251,0.94784,0.20878,0.3907,0.68803,0.10645,0.56361,0.37496,-0.059343,-0.82402,-0.20271,-0.039805,0.13812,-0.012191,NaN,4.4116,NaN,NaN,-0.5554,-0.18389,2.506,-0.68966,-0.73707,-0.069275,0.065891,0.61605,1.1736,4.4684,6.8438,1.2631,13.4761,0.28851,-0.35382,5.5131,-0.22685,-0.17058,0.69529,-0.13735,-0.60843,-0.30027,-0.034201,-0.81409,-0.078413,0.23963,0.027637,-0.30732,-0.18732,-0.037782,-0.28173,13.4597
AMP1CPR1STR1FUS3DOX2,0.85362,0.9117,0.73279,0.93494,0.96515,0.73206,0.11008,0.6363,0.75455,0.67703,0.842,0.88995,0.89544,0.83735,0.93494,0.25355,0.59381,0.95694,0.1815,0.21106,0.71362,0.63175,0.66516,0.8728,0.88615,0.20878,0.45861,0.55671,0.095082,0.50156,0.39014,-0.059343,-0.82402,-0.20271,-0.084136,0.13812,-0.012191,0.31531,4.4116,5.0939,NaN,-0.5554,-0.18389,2.0081,-0.68966,-0.65041,-0.073545,0.065891,0.23137,0.56295,3.1432,6.8438,1.2631,8.4681,0.28851,0.73936,3.6897,-0.22685,-0.14656,0.53919,-0.12241,-0.60843,-0.16679,-0.20725,-0.83155,-0.16802,0.23963,-0.0046933,-0.4276,-0.59648,-0.081841,-0.24187,5.1854
AMP1CPR1STR1FUS3DOX3,0.85362,0.9117,0.73279,0.93494,0.95011,0.73206,0.11008,0.6363,0.81822,0.67703,0.842,0.95121,0.89544,0.85006,0.98361,0.25355,0.59381,1,0.1815,0.15655,0.65222,0.63175,0.68864,0.98629,0.94329,0.20878,0.52135,0.62038,0.074616,0.57819,0.25573,-0.059343,-0.82402,-0.20271,0.1688,0.13812,-0.012191,NaN,4.4116,4.2078,NaN,-0.5554,-0.18389,2.2819,-0.68966,-0.73659,-0.13986,0.065891,0.54965,1.7323,3.5717,6.8438,1.2631,2.8492,0.28851,-0.35085,-0.058353,-0.22685,-0.18578,0.11989,-0.1138,-0.60843,-0.037823,-0.10261,-0.86571,-0.025736,0.23963,0.88275,-0.29898,-0.0067154,-0.078805,-0.4952,0.41428
AMP1CPR1STR2FUS1DOX1,0.85362,0.9117,0.84066,0.5957,0.97909,0.73206,0.13829,0.1633,0.8025,0.61429,0.68908,0.90236,0.54022,0.77081,0.65423,0.29449,0.33735,0.99164,0.03228,0.21464,0.27697,0.083712,0.61811,0.65423,0.64749,0.037663,0.53136,0.18832,0.047328,0.092808,0.017561,-0.059343,-0.80729,-0.67885,-0.039805,-0.19851,2.7753,NaN,0.41553,-0.063502,5.698,-0.54988,-0.27233,2.506,-0.92449,-0.69451,-0.44369,-0.81665,-0.1763,1.9151,1.4914,1.9983,0.94101,13.4761,0.8047,2.0917,1.8715,-0.84043,1.4221,-0.12205,0.91594,-0.90336,-0.17048,-0.58512,-0.88692,-0.79238,NaN,-0.20327,-0.6445,-0.80788,-0.30671,-0.95398,NaN
AMP1CPR1STR2FUS1DOX2,0.85362,0.9117,0.84066,0.5957,0.96515,0.73206,0.13829,0.1633,0.75455,0.61429,0.68908,0.88995,0.54022,0.8681,0.638,0.29449,0.33735,0.95694,0.03228,0.16558,0.32664,0.083712,0.54989,0.69486,0.69738,0.037663,0.35742,0.31964,0.064043,0.056424,0.028266,-0.059343,-0.80729,-0.67885,-0.084136,-0.19851,2.7753,0.31531,0.41553,1.9365,3.0375,-0.54988,-0.27233,2.0081,-0.92449,-0.76093,-0.33444,-0.81665,-0.25663,2.3863,1.9048,1.9983,0.94101,8.4681,0.8047,4.2637,12.4778,-0.84043,-0.15795,-0.046221,0.97897,-0.90336,-0.43396,-0.28563,-0.84477,-0.87195,NaN,-0.27234,-0.4855,-0.73791,-0.63735,-0.92486,NaN
AMP1CPR1STR2FUS1DOX3,0.85362,0.9117,0.84066,0.5957,0.95011,0.73206,0.13829,0.1633,0.81822,0.61429,0.68908,0.95121,0.54022,0.87309,0.77505,0.29449,0.33735,1,0.03228,0.13564,0.22611,0.083712,0.62358,0.70767,0.65996,0.037663,0.51902,0.31711,0.075096,0.069744,0.021745,-0.059343,-0.80729,-0.67885,0.1688,-0.19851,2.7753,NaN,0.41553,1.7733,7.0352,-0.54988,-0.27233,2.2819,-0.92449,-0.80106,-0.53199,-0.81665,-0.14366,2.405,1.536,1.9983,0.94101,2.8492,0.8047,-0.3249,-0.33084,-0.84043,-0.13737,-0.21013,-0.10005,-0.90336,-0.16502,-0.28007,-0.8151,-0.83922,NaN,0.44761,-0.12887,1.2951,0.83327,-0.94127,NaN
