combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1ERY1STR1CPR1FUS1,0.90943,0.92107,0.95445,1,0.84824,0.62685,0.2419,0.737,0.2291,0.61515,0.79189,0.83434,0.87665,0.90387,0.66803,0.5484,0.66501,0.23871,0.095838,0.042772,0.45715,0.67797,0.42098,0.55728,0.58568,0.35549,0.061706,0.24758,0.045612,0.30957,0.067269,-0.25166,-0.72131,-0.1896,-0.70302,-0.30026,-0.14026,0.79229,-0.081515,NaN,-0.21246,-0.31406,-0.2061,-0.66404,-0.88959,-0.94191,-0.40739,-0.22881,-0.43546,-0.28672,-0.27659,1.7379,1.1381,1.2121,0.37932,0.62394,1.7353,1.3222,-0.36143,-0.0026523,-0.12042,-0.55536,-0.90901,-0.65155,-0.93805,-0.58486,-0.63693,-0.84017,-0.65296,NaN,0.27136,-0.90081,1.049
AMP1ERY1STR1CPR1FUS2,0.90943,0.92107,0.95445,1,1,0.62685,0.2419,0.737,0.37928,0.61515,0.79189,0.92333,0.87665,0.94836,0.93921,0.5484,0.66501,0.14411,0.095838,0.047564,0.50734,0.67797,0.48757,0.79818,0.95393,0.35549,0.047801,0.2277,0.041885,0.37785,0.045612,-0.25166,-0.72131,-0.1896,-0.58295,-0.30026,-0.14026,NaN,-0.081515,NaN,NaN,-0.31406,-0.2061,-0.82796,-0.88959,-0.9452,-0.44213,-0.22881,-0.44539,-0.13342,-0.00054635,1.7379,1.1381,0.016837,0.37932,0.62009,1.5624,1.3222,-0.20294,1.1172,2.2056,-0.55536,-0.94021,-0.72816,-0.95175,-0.57019,-0.63693,-0.88099,-0.61701,-0.89456,-0.46107,-0.94295,NaN
AMP1ERY1STR1CPR1FUS3,0.90943,0.92107,0.95445,1,0.82746,0.62685,0.2419,0.737,0.72118,0.61515,0.79189,0.95909,0.87665,0.78871,0.90253,0.5484,0.66501,0.69528,0.095838,0.067442,0.54232,0.67797,0.65241,0.84546,0.88073,0.35549,0.22522,0.54166,0.031482,0.71753,0.19363,-0.25166,-0.72131,-0.1896,-0.041635,-0.30026,-0.14026,NaN,-0.081515,-0.0013354,NaN,-0.31406,-0.2061,0.016095,-0.88959,-0.9061,-0.27932,-0.22881,-0.10313,1.2757,2.4135,1.7379,1.1381,0.17532,0.37932,-0.60165,-0.1615,1.3222,-0.062644,-0.082357,1.2005,-0.55536,-0.65956,-0.21851,-0.95617,-0.01361,-0.63693,-0.39646,-0.064139,0.70694,-0.031697,-0.70731,1.7793
AMP1ERY1STR1CPR2FUS1,0.90943,0.92107,0.95445,0.93498,0.84824,0.62685,0.2419,0.74588,0.2291,0.61515,0.86212,0.83434,0.89883,0.90387,0.6739,0.5484,0.66354,0.23871,0.18103,0.042772,0.52267,0.62237,0.42098,0.55901,0.49463,0.3124,0.061706,0.15574,0.011352,0.26508,0.026638,-0.25166,-0.72131,-0.12281,-0.70302,-0.30026,0.015517,0.79229,0.1511,NaN,-0.15028,-0.31406,-0.15277,-0.66404,-0.77694,-0.94191,-0.27533,-0.24282,-0.43546,-0.23476,-0.34657,1.7379,1.8123,1.2121,0.51876,0.62394,2.5661,5.9289,-0.36143,-0.16702,-0.32868,-0.58209,-0.90901,-0.76557,-0.98351,-0.61981,-0.55324,-0.84017,-0.7276,NaN,0.6458,-0.95799,NaN
AMP1ERY1STR1CPR2FUS2,0.90943,0.92107,0.95445,0.93498,1,0.62685,0.2419,0.74588,0.37928,0.61515,0.86212,0.92333,0.89883,0.94836,0.92674,0.5484,0.66354,0.14411,0.18103,0.047564,0.53398,0.62237,0.48757,0.7954,0.87884,0.3124,0.047801,0.36433,0.020337,0.39258,0.083955,-0.25166,-0.72131,-0.12281,-0.58295,-0.30026,0.015517,NaN,0.1511,NaN,NaN,-0.31406,-0.15277,-0.82796,-0.77694,-0.9452,-0.37201,-0.24282,-0.44539,-0.076388,-0.015188,1.7379,1.8123,0.016837,0.51876,0.62009,2.6027,5.9289,-0.20294,-0.071489,-0.0072751,-0.58209,-0.94021,-0.53481,-0.97494,-0.52238,-0.55324,-0.88099,-0.13025,-0.92375,-0.094686,-0.88769,1.1878
AMP1ERY1STR1CPR2FUS3,0.90943,0.92107,0.95445,0.93498,0.82746,0.62685,0.2419,0.74588,0.72118,0.61515,0.86212,0.95909,0.89883,0.78871,0.93724,0.5484,0.66354,0.69528,0.18103,0.067442,0.6739,0.62237,0.65241,0.87049,0.91499,0.3124,0.22522,0.47156,0.033903,0.54319,0.11455,-0.25166,-0.72131,-0.12281,-0.041635,-0.30026,0.015517,NaN,0.1511,-0.0013354,NaN,-0.31406,-0.15277,0.016095,-0.77694,-0.9061,-0.042187,-0.24282,-0.10313,1.3747,1.9831,1.7379,1.8123,0.17532,0.51876,-0.60165,-0.085186,5.9289,-0.062644,-0.16952,0.099747,-0.58209,-0.65956,-0.27235,-0.94951,-0.20135,-0.55324,-0.39646,-0.18234,0.32397,-0.088917,-0.81481,1.7592
AMP1ERY1STR1CPR3FUS1,0.90943,0.92107,0.95445,0.95057,0.84824,0.62685,0.2419,0.77418,0.2291,0.61515,0.82374,0.83434,0.87958,0.90387,0.68503,0.5484,0.7376,0.23871,0.33426,0.042772,0.56283,0.75798,0.42098,0.57013,0.69893,0.56231,0.061706,0.17109,0.051291,0.19252,0.01453,-0.25166,-0.72131,-0.10445,-0.70302,-0.30026,-0.059178,0.79229,-0.030521,NaN,-0.15043,-0.31406,-0.073658,-0.66404,-0.59489,-0.94191,-0.23246,-0.092957,-0.43546,-0.23233,-0.09181,1.7379,2.0878,1.2121,1.9366,0.62394,2.8462,3.3111,-0.36143,-0.10558,-0.029175,-0.2601,-0.90901,-0.74669,-0.92671,-0.7284,-0.49788,-0.84017,-0.76342,-0.91379,-0.49677,-0.97746,0.97894
AMP1ERY1STR1CPR3FUS2,0.90943,0.92107,0.95445,0.95057,1,0.62685,0.2419,0.77418,0.37928,0.61515,0.82374,0.92333,0.87958,0.94836,0.8881,0.5484,0.7376,0.14411,0.33426,0.047564,0.67686,0.75798,0.48757,0.81487,0.92055,0.56231,0.047801,0.20266,0.06265,0.32087,0.15068,-0.25166,-0.72131,-0.10445,-0.58295,-0.30026,-0.059178,NaN,-0.030521,NaN,-0.065721,-0.31406,-0.073658,-0.82796,-0.59489,-0.9452,-0.21703,-0.092957,-0.44539,-0.069303,0.30672,1.7379,2.0878,0.016837,1.9366,0.62009,3.1502,3.3111,-0.20294,0.93685,3.178,-0.2601,-0.94021,-0.74548,-0.92407,-0.61603,-0.49788,-0.88099,-0.72464,-0.90903,-0.56693,-0.80173,1.0937
AMP1ERY1STR1CPR3FUS3,0.90943,0.92107,0.95445,0.95057,0.82746,0.62685,0.2419,0.77418,0.72118,0.61515,0.82374,0.95909,0.87958,0.78871,0.90387,0.5484,0.7376,0.69528,0.33426,0.067442,0.64244,0.75798,0.65241,0.79262,0.91499,0.56231,0.22522,0.54006,0.154,0.60072,0.21553,-0.25166,-0.72131,-0.10445,-0.041635,-0.30026,-0.059178,NaN,-0.030521,-0.0013354,NaN,-0.31406,-0.073658,0.016095,-0.59489,-0.9061,-0.10188,-0.092957,-0.10313,0.66173,2.1408,1.7379,2.0878,0.17532,1.9366,-0.60165,-0.10461,3.3111,-0.062644,-0.18861,0.68683,-0.2601,-0.65956,-0.18031,-0.77443,-0.13124,-0.49788,-0.39646,-0.098208,-0.13202,-0.17098,-0.65726,2.4114
AMP1ERY1STR2CPR1FUS1,0.90943,0.92107,0.74898,1,0.84824,0.62685,0.17904,0.737,0.2291,0.53676,0.79189,0.83434,0.77214,0.72605,0.66803,0.34981,0.66501,0.23871,0.088996,0.056083,0.45715,0.60629,0.16831,0.55728,0.42787,0.41796,0.09508,0.24758,0.054131,0.23853,0.042772,-0.25166,-0.73716,-0.1896,-0.70302,-0.22194,-0.14026,0.79229,Inf,0.79826,-0.21246,-0.44243,-0.2061,-0.66404,-0.86934,-0.90293,-0.40739,-0.12116,-0.71238,-0.28672,-0.32653,1.6223,1.1381,1.2121,0.16698,0.70408,1.7353,1.9218,-0.70911,-0.0026523,-0.2994,-0.33381,-0.82134,-0.65155,-0.90631,-0.59237,-0.33932,2.7835,-0.65296,-0.65315,1.3225,-0.91963,-0.5191
