combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1FOX1CPR1DOX1TMP1,0.71188,0.91303,0.88117,0.92701,0.93428,0.35412,0.5745,0.74729,0.7362,0.71719,0.84543,0.90087,0.93594,0.89014,0.94443,0.30633,0.43868,0.47898,0.47436,0.76433,0.92991,0.76087,0.84785,0.97057,1,0.34156,0.47546,0.68929,0.81262,0.84785,0.53073,-0.45518,-0.084152,1.6814,1.5198,-0.10856,-0.0011312,NaN,NaN,1.1549,NaN,-0.46515,-0.27193,-0.21123,-0.18425,1.4168,3.287,0.11123,0.74276,1.4706,2.007,0.94829,0.39607,0.49667,-0.31682,1.0639,0.74585,-0.015361,0.72247,0.55931,-0.0054402,-0.35667,-0.11145,0.84835,1.5975,0.81931,1.744,-0.1967,-0.050101,0.016695,-0.14326,0.16075,0.0063785
AMP1FOX1CPR1DOX1TMP2,0.71188,0.91303,0.88117,0.92701,0.95819,0.35412,0.5745,0.74729,0.80217,0.71719,0.84543,0.92701,0.93594,0.9241,0.94153,0.30633,0.43868,0.53892,0.47436,0.70047,0.88117,0.76087,0.86547,0.98219,0.9909,0.34156,0.50012,0.33946,0.83049,0.90595,0.32747,-0.45518,-0.084152,1.6814,4.0331,-0.10856,-0.0011312,NaN,NaN,NaN,NaN,-0.46515,-0.27193,-0.13467,-0.18425,0.89705,3.1279,0.11123,0.85766,1.6777,2.1143,0.94829,0.39607,0.36035,-0.31682,-0.01765,0.081564,-0.015361,0.5006,0.7744,-0.026348,-0.35667,-0.088674,-0.41203,1.7667,1.1488,1.744,-0.029397,-0.51276,1.023,-0.075898,-0.3563,-0.2106
AMP1FOX1CPR1DOX1TMP3,0.71188,0.91303,0.88117,0.92701,0.91303,0.35412,0.5745,0.74729,0.78795,0.71719,0.84543,0.91657,0.93594,0.96476,1,0.30633,0.43868,0.52677,0.47436,0.87252,0.81614,0.76087,0.93572,0.98628,1,0.34156,0.42965,0.5707,0.73862,0.90423,0.28519,-0.45518,-0.084152,1.6814,2.2287,-0.10856,-0.0011312,NaN,NaN,NaN,NaN,-0.46515,-0.27193,-0.11236,-0.18425,2.1544,1.9534,0.11123,1.3721,1.5222,1.8779,0.94829,0.39607,0.09957,-0.31682,0.4767,-0.11247,-0.015361,0.28042,-0.0027996,-0.1216,-0.35667,-0.17837,0.12718,1.1478,1.1152,1.744,-0.33452,0.064656,0.2144,-0.044303,-0.41169,-0.35277
AMP1FOX1CPR1DOX2TMP1,0.71188,0.91303,0.88117,0.93282,0.93428,0.35412,0.5745,0.74198,0.7362,0.71719,0.90886,0.90087,0.91943,0.89014,0.94443,0.30633,0.48251,0.47898,0.70834,0.76433,0.81262,0.79258,0.84785,0.87763,0.99961,0.46489,0.47546,0.49572,0.75968,1,0.28662,-0.45518,-0.084152,1.6292,1.5198,-0.10856,NaN,NaN,NaN,1.1549,NaN,-0.46515,-0.20419,-0.21123,0.97206,1.4168,2.1013,0.32211,0.74276,0.69826,2.0461,0.94829,0.36071,0.49667,0.24918,1.0639,0.0083625,-0.019527,0.72247,-0.086114,0.089941,-0.12984,-0.11145,-0.12487,1.2893,1.6601,0.0010437,-0.1967,-0.12228,-0.19104,0.3298,-0.42579,-0.39982
AMP1FOX1CPR1DOX2TMP2,0.71188,0.91303,0.88117,0.93282,0.95819,0.35412,0.5745,0.74198,0.80217,0.71719,0.90886,0.92701,0.91943,0.9241,0.9241,0.30633,0.48251,0.53892,0.70834,0.70047,0.83024,0.79258,0.86547,0.98739,0.98385,0.46489,0.50012,0.78905,0.6904,0.94379,0.24305,-0.45518,-0.084152,1.6292,4.0331,-0.10856,NaN,NaN,NaN,NaN,NaN,-0.46515,-0.20419,-0.13467,0.97206,0.89705,2.5656,0.32211,0.85766,1.7669,2.0973,0.94829,0.36071,0.36035,0.24918,-0.01765,-0.016895,-0.019527,0.5006,0.38898,0.010439,-0.12984,-0.088674,1.5894,0.85789,1.3864,0.0010437,-0.029397,0.27961,-0.18067,-0.050647,-0.52521,-0.60932
AMP1FOX1CPR1DOX2TMP3,0.71188,0.91303,0.88117,0.93282,0.91303,0.35412,0.5745,0.74198,0.78795,0.71719,0.90886,0.91657,0.91943,0.96476,0.93572,0.30633,0.48251,0.52677,0.70834,0.87252,0.74677,0.79258,0.93572,0.90886,0.88117,0.46489,0.42965,0.49282,0.81633,0.90377,0.26592,-0.45518,-0.084152,1.6292,2.2287,-0.10856,NaN,NaN,NaN,NaN,NaN,-0.46515,-0.20419,-0.11236,0.97206,2.1544,1.3305,0.32211,1.3721,0.96914,1,0.94829,0.36071,0.09957,0.24918,0.4767,-0.13766,-0.019527,0.28042,-0.076279,-0.17103,-0.12984,-0.17837,-0.10976,1.588,1.1154,0.0010437,-0.33452,-0.037771,0.016306,0.33018,-0.45485,-0.47379
AMP1FOX1CPR1DOX3TMP1,0.71188,0.91303,0.88117,0.94057,0.93428,0.35412,0.5745,0.78447,0.7362,0.71719,0.82427,0.90087,0.96186,0.89014,0.93782,0.30633,0.62514,0.47898,0.63658,0.76433,0.81372,0.75382,0.84785,0.96876,1,0.45079,0.47546,0.5451,0.66573,1,0.2986,-0.45518,-0.084152,2.7155,1.5198,-0.10856,-0.040175,NaN,NaN,1.1549,NaN,-0.46515,0.1372,-0.21123,0.38213,1.4168,2.1798,-0.0038344,0.74276,1.5033,2.1122,0.94829,2.6354,0.49667,-0.13546,1.0639,-0.033399,-0.01546,0.72247,1.0081,-0.013415,-0.16318,-0.11145,-0.045642,0.71272,1.6822,-0.07033,-0.1967,-0.31233,-0.19347,0.018195,-0.40672,-0.098348
AMP1FOX1CPR1DOX3TMP2,0.71188,0.91303,0.88117,0.94057,0.95819,0.35412,0.5745,0.78447,0.80217,0.71719,0.82427,0.92701,0.96186,0.9241,0.94443,0.30633,0.62514,0.53892,0.63658,0.70047,0.83376,0.75382,0.86547,0.89533,1,0.45079,0.50012,0.49635,0.76791,0.96968,0.44925,-0.45518,-0.084152,2.7155,4.0331,-0.10856,-0.040175,NaN,NaN,NaN,NaN,-0.46515,0.1372,-0.13467,0.38213,0.89705,2.7335,-0.0038344,0.85766,0.80368,2.3655,0.94829,2.6354,0.36035,-0.13546,-0.01765,-0.068769,-0.01546,0.5006,0.19254,-0.033574,-0.16318,-0.088674,-0.15267,1.3823,1.5671,-0.07033,-0.029397,-0.34674,0.22472,0.23373,-0.12964,-0.098478
AMP1FOX1CPR1DOX3TMP3,0.71188,0.91303,0.88117,0.94057,0.91303,0.35412,0.5745,0.78447,0.78795,0.71719,0.82427,0.91657,0.96186,0.96476,1,0.30633,0.62514,0.52677,0.63658,0.87252,0.8475,0.75382,0.93572,0.97676,1,0.45079,0.42965,0.684,0.72563,0.90485,0.35959,-0.45518,-0.084152,2.7155,2.2287,-0.10856,-0.040175,NaN,NaN,NaN,NaN,-0.46515,0.1372,-0.11236,0.38213,2.1544,2.3489,-0.0038344,1.3721,1.4942,1.9549,0.94829,2.6354,0.09957,-0.13546,0.4767,-0.10465,-0.01546,0.28042,0.083192,-0.13297,-0.16318,-0.17837,0.8186,1.0794,1.1245,-0.07033,-0.33452,-0.074078,-0.1257,-0.031641,-0.26891,-0.071504
AMP1FOX1CPR2DOX1TMP1,0.71188,0.91303,1,0.92701,0.93428,0.35412,0.62868,0.74729,0.7362,0.69744,0.84543,0.90087,0.93388,0.98507,0.94443,0.34509,0.43868,0.47898,0.68379,0.80007,0.92991,0.7961,0.88471,0.97057,0.91539,0.39089,0.47546,0.68929,0.85174,0.90839,0.34861,-0.45518,-0.11688,1.6814,1.5198,-0.23613,-0.0011312,NaN,NaN,NaN,NaN,-0.46907,-0.27193,-0.21123,0.45933,2.8848,3.287,-0.059414,0.52797,1.4706,0.80937,0.96065,0.39607,0.49667,0.094744,0.983,0.74585,27.1462,1.4741,0.55931,-0.082714,-0.35125,-0.21704,0.84835,2.467,0.96199,-0.25496,-0.28434,-0.050101,-0.095336,-0.095454,-0.38072,-0.25715
