combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1FOX1STR1FUS1TMP1,0.77353,0.9945,1,1,0.98844,0.72212,0.28088,0.18459,0.95508,0.63826,0.54436,0.95222,0.95222,0.97424,0.91537,0.29293,0.066528,0.59723,0.032298,0.69936,0.42206,0.29926,0.96418,0.778,0.88267,0.067253,0.44011,0.11189,0.014973,0.27983,0.024325,-0.061307,-0.63688,-0.76137,NaN,-0.35822,-0.45263,NaN,NaN,NaN,NaN,-0.61922,-0.91352,-0.21457,-0.95825,-0.085311,-0.44799,-0.69908,-0.019153,-0.20854,-0.10701,1.0421,0.70396,-0.32086,0.71245,1.3493,0.78853,0.39298,8.423,3.3194,0.46751,-0.91258,-0.42121,-0.85285,-0.98042,-0.71533,-0.87368,-0.31607,-0.43922,NaN,-0.7092,-0.96801,NaN
AMP1FOX1STR1FUS1TMP2,0.77353,0.9945,1,1,0.99268,0.72212,0.28088,0.18459,0.94154,0.63826,0.54436,0.95222,0.95222,0.95135,0.8565,0.29293,0.066528,0.64272,0.032298,0.25797,0.53961,0.29926,0.87623,0.67334,0.8009,0.067253,0.41574,0.0028431,0.014973,0.31956,0.027596,-0.061307,-0.63688,-0.76137,NaN,-0.35822,-0.45263,NaN,NaN,NaN,-0.13718,-0.61922,-0.91352,-0.15835,-0.95825,-0.66404,-0.29726,-0.69908,-0.11243,-0.31794,-0.19319,1.0421,0.70396,-0.25479,0.71245,-0.38655,4.2156,0.39298,4.1885,1.7802,0.37357,-0.91258,-0.45559,-0.99628,-0.9805,-0.6763,-0.87368,6.4063,-0.99204,NaN,-0.60522,-0.96386,NaN
AMP1FOX1STR1FUS1TMP3,0.77353,0.9945,1,1,0.93992,0.72212,0.28088,0.18459,0.94598,0.63826,0.54436,0.99268,0.95222,0.93688,1,0.29293,0.066528,0.69852,0.032298,0.52289,0.49623,0.29926,0.82165,0.77691,0.98078,0.067253,0.45319,0.19618,0.027596,0.2636,0.017784,-0.061307,-0.63688,-0.76137,NaN,-0.35822,-0.45263,NaN,NaN,NaN,NaN,-0.61922,-0.91352,-0.033941,-0.95825,-0.28081,-0.31748,-0.69908,-0.121,-0.16886,Inf,1.0421,0.70396,-0.25789,0.71245,0.19536,0.21604,0.39298,3.0381,1.254,0.50352,-0.91258,-0.37324,-0.72869,-0.96204,-0.71799,-0.87368,1.0074,0.3143,NaN,-0.63189,-0.9754,NaN
AMP1FOX1STR1FUS2TMP1,0.77353,0.9945,1,1,0.98844,0.72212,0.28088,0.68166,0.95508,0.63826,0.70789,0.95222,1,0.97424,0.94481,0.29293,0.1494,0.59723,0.030867,0.69936,0.81558,0.38226,0.96418,0.82379,0.72763,0.1633,0.44011,0.37244,0.018006,0.45953,0,-0.061307,-0.63688,-0.11877,NaN,-0.35822,-0.2882,NaN,NaN,NaN,NaN,-0.61922,-0.8058,-0.21457,-0.9601,-0.085311,5.7013,-0.61563,-0.019153,-0.16196,-0.26385,1.0421,-0.63477,-0.32086,-0.83669,1.3493,-0.017989,0.10681,8.423,2.6729,-0.21811,-0.78772,-0.42121,-0.51019,-0.97645,-0.53253,1.4909,-0.31607,4.6663,NaN,-0.32794,-1,NaN
AMP1FOX1STR1FUS2TMP2,0.77353,0.9945,1,1,0.99268,0.72212,0.28088,0.68166,0.94154,0.63826,0.70789,0.95222,1,0.95135,0.91262,0.29293,0.1494,0.64272,0.030867,0.25797,0.59117,0.38226,0.87623,0.78455,0.94481,0.1633,0.41574,0.26194,0.028025,0.34873,0.011941,-0.061307,-0.63688,-0.11877,NaN,-0.35822,-0.2882,NaN,NaN,NaN,NaN,-0.61922,-0.8058,-0.15835,-0.9601,-0.66404,-0.23012,-0.61563,-0.11243,-0.2053,-0.048223,1.0421,-0.63477,-0.25479,-0.83669,-0.38655,-0.25018,0.10681,4.1885,1.714,1.7788,-0.78772,-0.45559,-0.65699,-0.9635,-0.64675,1.4909,6.4063,1.5103,NaN,-0.59089,-0.98436,NaN
AMP1FOX1STR1FUS2TMP3,0.77353,0.9945,1,1,0.93992,0.72212,0.28088,0.68166,0.94598,0.63826,0.70789,0.99268,1,0.93688,0.94481,0.29293,0.1494,0.69852,0.030867,0.52289,0.64248,0.38226,0.82165,0.62149,0.4399,0.1633,0.45319,0.2832,0.011941,0.36749,0,-0.061307,-0.63688,-0.11877,NaN,-0.35822,-0.2882,NaN,NaN,NaN,NaN,-0.61922,-0.8058,-0.033941,-0.9601,-0.28081,-0.11633,-0.61563,-0.121,-0.33512,-0.53198,1.0421,-0.63477,-0.25789,-0.83669,0.19536,-0.25589,0.10681,3.0381,-0.14648,-0.5329,-0.78772,-0.37324,-0.60833,-0.98358,-0.60686,1.4909,1.0074,1.4115,NaN,1.0216,-1,NaN
AMP1FOX1STR1FUS3TMP1,0.77353,0.9945,1,1,0.98844,0.72212,0.28088,0.6065,0.95508,0.63826,0.65891,0.95222,1,0.97424,1,0.29293,0.40699,0.59723,0.32766,0.69936,1,0.65182,0.96418,0.99147,1,0.24714,0.44011,0.27617,0.19256,0.92525,0.12415,-0.061307,-0.63688,-0.21594,NaN,-0.35822,-0.33745,NaN,NaN,NaN,NaN,-0.61922,-0.47095,-0.21457,-0.57641,-0.085311,26.322,-0.34458,-0.019153,1.5582,Inf,1.0421,0.51849,-0.32086,1.2801,1.3493,1.0083,1.0404,8.423,18.6384,1.2277,-0.67874,-0.42121,-0.63681,-0.74815,-0.058755,-0.63941,-0.31607,-0.61286,-0.8001,-0.32132,-0.83673,0.95207
AMP1FOX1STR1FUS3TMP2,0.77353,0.9945,1,1,0.99268,0.72212,0.28088,0.6065,0.94154,0.63826,0.65891,0.95222,1,0.95135,1,0.29293,0.40699,0.64272,0.32766,0.25797,0.88142,0.65182,0.87623,1,1,0.24714,0.41574,0.24366,0.10936,0.75184,0.091661,-0.061307,-0.63688,-0.21594,NaN,-0.35822,-0.33745,NaN,NaN,NaN,NaN,-0.61922,-0.47095,-0.15835,-0.57641,-0.66404,20.0474,-0.34458,-0.11243,2.342,Inf,1.0421,0.51849,-0.25479,1.2801,-0.38655,0.55779,1.0404,4.1885,13.4796,5.6442,-0.67874,-0.45559,-0.68092,-0.85758,-0.23843,-0.63941,6.4063,-0.637,-0.75444,-0.43171,-0.87997,0.97645
AMP1FOX1STR1FUS3TMP3,0.77353,0.9945,1,1,0.93992,0.72212,0.28088,0.6065,0.94598,0.63826,0.65891,0.99268,1,0.93688,1,0.29293,0.40699,0.69852,0.32766,0.52289,0.80417,0.65182,0.82165,1,1,0.24714,0.45319,0.38772,0.027596,0.6033,0.024071,-0.061307,-0.63688,-0.21594,NaN,-0.35822,-0.33745,NaN,NaN,NaN,NaN,-0.61922,-0.47095,-0.033941,-0.57641,-0.28081,1.6592,-0.34458,-0.121,12.6298,Inf,1.0421,0.51849,-0.25789,1.2801,0.19536,-0.037453,1.0404,3.0381,2.2349,0.050473,-0.67874,-0.37324,-0.46379,-0.96204,-0.35459,-0.63941,1.0074,-0.27515,-0.9503,-0.47069,-0.96671,NaN
AMP1FOX1STR2FUS1TMP1,0.77353,0.9945,1,1,0.98844,0.72212,0.24717,0.18459,0.95508,0.61774,0.54436,0.95222,0.99815,1,0.91537,0.2438,0.066528,0.59723,0.044882,0.62428,0.42206,0.13931,0.86119,0.778,0.94196,0.030867,0.40921,0.11189,0.021039,0.25286,0.027596,-0.061307,-0.68047,-0.76137,NaN,-0.37884,-0.45263,NaN,NaN,NaN,NaN,-0.68309,-0.91352,-0.21457,-0.94198,-0.1835,-0.44799,-0.85992,-0.12392,-0.20854,-0.047025,0.99406,0.70396,-0.32086,0.73531,0.90528,0.78853,-0.15956,13.993,3.3194,1.7312,-0.95988,-0.46184,-0.85285,-0.97248,-0.74277,NaN,-0.12098,-0.43922,NaN,-0.63782,-0.96371,NaN
