combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
FOX1CPR1ERY1FUS1TMP1,0.87798,1,0.91212,0.9708,0.86014,0.64443,0.67636,0.309,0.76702,0.89661,0.7323,0.8061,0.88097,0.71115,0.7515,0.64056,0.27007,0.78813,0.27042,0.74621,0.40183,0.56993,0.73556,0.65637,0.66236,0.20719,0.68674,0.41334,0.24911,0.48768,0.3418,-0.26601,-0.15542,-0.63747,0.1128,-0.017014,-0.24567,-0.062821,-0.0051125,-0.093552,-0.10002,-0.20013,-0.68314,0.31395,-0.65217,0.33499,-0.4519,-0.35637,-0.062448,-0.21395,-0.13035,1.3821,0.91074,7.568,0.90841,4.0656,3.2002,-0.12096,1.3896,1.1948,0.69257,-0.7335,-0.0030263,-0.4362,-0.62748,-0.3597,-0.45084,-0.32541,-0.46497,-0.58603,-0.18546,-0.48886,1.3754
FOX1CPR1ERY1FUS1TMP2,0.87798,1,0.91212,0.9708,0.9129,0.64443,0.67636,0.309,0.72254,0.89661,0.7323,0.91456,0.88097,0.79418,0.85102,0.64056,0.27007,0.9199,0.27042,0.69231,0.2551,0.56993,0.72978,0.82107,0.78813,0.20719,0.75834,0.24312,0.20118,0.52665,0.29231,-0.26601,-0.15542,-0.63747,-0.098529,-0.017014,-0.24567,NaN,-0.0051125,-0.046234,-0.039747,-0.20013,-0.68314,1.5481,-0.65217,-0.05303,-0.67215,-0.35637,-0.12358,-0.073537,-0.025029,1.3821,0.91074,5.2781,0.90841,1.7073,0.74917,-0.12096,-0.066222,5.539,1.4727,-0.7335,0.18558,-0.68755,-0.71654,-0.3485,-0.45084,-0.24066,-0.69901,-0.54005,-0.17057,-0.58814,1.2304
FOX1CPR1ERY1FUS1TMP3,0.87798,1,0.91212,0.9708,0.84503,0.64443,0.67636,0.309,0.78763,0.89661,0.7323,0.81041,0.88097,0.70952,0.89428,0.64056,0.27007,0.76118,0.27042,0.58881,0.28967,0.56993,0.70727,0.87565,0.83531,0.20719,0.63731,0.27352,0.20989,0.54821,0.21973,-0.26601,-0.15542,-0.63747,0.44332,-0.017014,-0.24567,-0.040964,-0.0051125,-0.07947,2.996,-0.20013,-0.68314,0.1868,-0.65217,-0.12992,-0.59783,-0.35637,-0.082383,2.2412,0.89949,1.3821,0.91074,13.142,0.90841,2.4281,-0.21795,-0.12096,0.94975,5.3709,1.3036,-0.7335,-0.058249,-0.62025,-0.68051,-0.26737,-0.45084,-0.17192,-0.54673,-0.35909,-0.30968,-0.66554,1.1188
FOX1CPR1ERY1FUS2TMP1,0.87798,1,0.91212,0.91391,0.86014,0.64443,0.67636,0.32996,0.76702,0.89661,0.94704,0.8061,0.85701,0.71115,0.83645,0.64056,0.34219,0.78813,0.26887,0.74621,0.53702,0.78514,0.73556,0.86014,0.80391,0.22076,0.68674,0.44076,0.52075,0.64768,0.49766,-0.26601,-0.15542,-0.58877,0.1128,-0.017014,NaN,-0.062821,0.29815,-0.093552,0.68018,-0.20013,-0.57354,0.31395,-0.63264,0.33499,-0.2219,-0.058129,-0.062448,1,0.60714,1.3821,1.0663,7.568,0.65552,4.0656,3.6003,-0.10069,1.3896,0.56504,1.3301,-0.69837,-0.0030263,-0.36137,-0.17278,-0.096686,-0.39109,-0.32541,-0.45159,-0.26499,-0.20311,-0.20946,2.3157
FOX1CPR1ERY1FUS2TMP2,0.87798,1,0.91212,0.91391,0.9129,0.64443,0.67636,0.32996,0.72254,0.89661,0.94704,0.91456,0.85701,0.79418,0.90359,0.64056,0.34219,0.9199,0.26887,0.69231,0.51648,0.78514,0.72978,0.916,0.90359,0.22076,0.75834,0.54679,0.46542,0.76702,0.43287,-0.26601,-0.15542,-0.58877,-0.098529,-0.017014,NaN,NaN,0.29815,-0.046234,NaN,-0.20013,-0.57354,1.5481,-0.63264,-0.05303,-0.29492,-0.058129,-0.12358,1.0395,0.94352,1.3821,1.0663,5.2781,0.65552,1.7073,19.9771,-0.10069,-0.066222,-0.020693,1.1022,-0.69837,0.18558,-0.25354,-0.30341,0.039916,-0.39109,-0.24066,-0.36881,-0.30073,-0.0065777,-0.35212,25.4319
FOX1CPR1ERY1FUS2TMP3,0.87798,1,0.91212,0.91391,0.84503,0.64443,0.67636,0.32996,0.78763,0.89661,0.94704,0.81041,0.85701,0.70952,0.96338,0.64056,0.34219,0.76118,0.26887,0.58881,0.5002,0.78514,0.70727,0.93409,0.85703,0.22076,0.63731,0.34606,0.33523,0.68023,0.29835,-0.26601,-0.15542,-0.58877,0.44332,-0.017014,NaN,-0.040964,0.29815,-0.07947,NaN,-0.20013,-0.57354,0.1868,-0.63264,-0.12992,-0.26229,-0.058129,-0.082383,2.2242,1.0853,1.3821,1.0663,13.142,0.65552,2.4281,0.05636,-0.10069,0.94975,-0.026733,0.074705,-0.69837,-0.058249,-0.48962,-0.45796,-0.034335,-0.39109,-0.17192,-0.43953,-0.21259,-0.12457,-0.51759,1.5618
FOX1CPR1ERY1FUS3TMP1,0.87798,1,0.91212,0.83904,0.86014,0.64443,0.67636,0.50553,0.76702,0.89661,0.82407,0.8061,0.7522,0.71115,0.82599,0.64056,0.44656,0.78813,0.40931,0.74621,0.86,0.79496,0.73556,0.84204,0.79185,0.36275,0.68674,0.57608,0.76717,0.88853,0.66236,-0.26601,-0.15542,-0.31376,0.1128,-0.017014,-0.017845,-0.062821,-0.017132,-0.093552,0.88882,-0.20013,-0.39381,0.31395,-0.39084,0.33499,1.102,0.40208,-0.062448,1.0255,0.73896,1.3821,0.71799,7.568,0.55329,4.0656,3.1886,2.6571,1.3896,0.81222,1.3272,-0.46013,-0.0030263,-0.09083,0.72473,1.2737,-0.36769,-0.32541,-0.45067,-0.20938,-0.042768,0.3233,5.0184
FOX1CPR1ERY1FUS3TMP2,0.87798,1,0.91212,0.83904,0.9129,0.64443,0.67636,0.50553,0.72254,0.89661,0.82407,0.91456,0.7522,0.79418,0.87876,0.64056,0.44656,0.9199,0.40931,0.69231,0.80011,0.79496,0.72978,0.9129,0.86634,0.36275,0.75834,0.54258,0.75509,0.92289,0.5891,-0.26601,-0.15542,-0.31376,-0.098529,-0.017014,-0.017845,NaN,-0.017132,-0.046234,1.5435,-0.20013,-0.39381,1.5481,-0.39084,-0.05303,0.76625,0.40208,-0.12358,2.0106,1.1945,1.3821,0.71799,5.2781,0.55329,1.7073,9.332,2.6571,-0.066222,0.40645,1.1998,-0.46013,0.18558,-0.19319,0.62792,1.5973,-0.36769,-0.24066,-0.50941,-0.15861,0.063429,-0.039627,7.1008
FOX1CPR1ERY1FUS3TMP3,0.87798,1,0.91212,0.83904,0.84503,0.64443,0.67636,0.50553,0.78763,0.89661,0.82407,0.81041,0.7522,0.70952,0.86945,0.64056,0.44656,0.76118,0.40931,0.58881,0.43337,0.79496,0.70727,0.86574,0.76702,0.36275,0.63731,0.47876,0.42962,0.79412,0.42311,-0.26601,-0.15542,-0.31376,0.44332,-0.017014,-0.017845,-0.040964,-0.017132,-0.07947,1.2338,-0.20013,-0.39381,0.1868,-0.39084,-0.12992,-0.30383,0.40208,-0.082383,1.2054,0.62554,1.3821,0.71799,13.142,0.55329,2.4281,-0.28534,2.6571,0.94975,0.2571,0.26951,-0.46013,-0.058249,-0.23091,-0.24337,0.76645,-0.36769,-0.17192,-0.096922,6.8043,-0.061108,-0.25483,0.99474
FOX1CPR1ERY2FUS1TMP1,0.87798,1,0.92756,0.9708,0.86014,0.64443,0.71659,0.309,0.76702,0.8703,0.7323,0.8061,0.88817,1,0.7515,0.59174,0.27007,0.78813,0.29525,0.74322,0.40183,0.51319,0.71603,0.65637,0.75972,0.23434,0.75183,0.41334,0.30919,0.51037,0.33595,-0.26601,-0.12009,-0.63747,0.1128,-0.061735,-0.24567,-0.062821,-0.013665,NaN,-0.10002,-0.27339,-0.68314,0.31395,-0.62655,0.26768,-0.4519,-0.43009,-0.10253,-0.21395,-0.019129,0.95946,0.91074,7.568,1.0816,-0.076573,3.2002,-0.16057,-0.20496,1.1948,-0.13937,-0.7036,0.32164,-0.4362,-0.54532,-0.34106,-0.26627,0.89596,-0.46497,0.72815,1.5554,-0.50597,-0.35087
