combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
FOX1CPR1STR1DOX1TMP1,0.53366,0.89724,0.89452,0.94879,0.82057,0.67721,0.11853,0.45922,0.44083,0.53481,0.75095,0.59721,0.88096,0.66958,0.71823,0.55769,0.62591,0.71015,0.1664,0.24063,0.4387,0.50295,0.39342,0.69917,0.61235,0.55933,0.42292,0.59838,0.11523,0.45716,0.47397,3.6175,-0.75169,-0.093051,0.030589,-0.33366,-0.11786,-0.18885,0.70386,-0.087787,-0.077473,1.2281,2.1624,2.2539,-0.63261,-0.3857,0.19646,-0.33953,-0.40263,0.0051631,-0.12073,12.062,0.54263,1.3664,3.1629,5.513,3.104,0.92647,0.75067,1.9714,0.16552,1.2017,0.39219,1.4023,-0.68997,-0.26838,-0.18413,-0.4913,-0.29687,-0.67324,-0.21723,0.70184,4.3662
FOX1CPR1STR1DOX1TMP2,0.53366,0.89724,0.89452,0.94879,0.96331,0.67721,0.11853,0.45922,0.54723,0.53481,0.75095,0.64415,0.88096,0.67975,0.70273,0.55769,0.62591,0.54994,0.1664,0.31389,0.64821,0.50295,0.35482,0.78057,0.78825,0.55933,0.52432,0.53735,0.25233,0.62952,0.55664,3.6175,-0.75169,-0.093051,1.6928,-0.33366,-0.11786,-0.25472,0.70386,-0.21115,-0.23113,1.2281,2.1624,1.2248,-0.63261,-0.31742,3.495,-0.33953,-0.54107,-0.048147,-0.03586,12.062,0.54263,-0.025981,3.1629,3.9609,20.6046,0.92647,0.55479,1.5919,2.1277,1.2017,0.92286,1.0384,-0.42166,-0.14181,-0.18413,-0.29036,-0.38272,-0.66443,-0.30693,1.1616,3.5098
FOX1CPR1STR1DOX1TMP3,0.53366,0.89724,0.89452,0.94879,0.81961,0.67721,0.11853,0.45922,0.51738,0.53481,0.75095,0.75072,0.88096,0.69646,0.80499,0.55769,0.62591,0.71027,0.1664,0.28133,0.54587,0.50295,0.41418,0.78871,0.77209,0.55933,0.45969,0.48931,0.18229,0.61591,0.4636,3.6175,-0.75169,-0.093051,0.83089,-0.33366,-0.11786,0.18207,0.70386,-0.050065,0.65153,1.2281,2.1624,2.2506,-0.63261,-0.28097,1.1029,-0.33953,-0.37038,0.74644,0.61677,12.062,0.54263,0.32115,3.1629,2.5445,0.87312,0.92647,-0.011789,3.4315,1.1871,1.2017,0.5949,0.72507,-0.50894,-0.013177,-0.18413,-0.30366,-0.39778,-0.56761,0.17757,0.65074,55.9832
FOX1CPR1STR1DOX2TMP1,0.53366,0.89724,0.89452,1,0.82057,0.67721,0.11853,0.39522,0.44083,0.53481,0.60235,0.59721,0.92641,0.66958,0.80944,0.55769,0.73173,0.71015,0.11777,0.24063,0.68018,0.46854,0.39342,0.89181,0.85521,0.55933,0.42292,0.55006,0.23346,0.48838,0.50683,3.6175,-0.75169,-0.25942,0.030589,-0.33366,-0.32866,-0.18885,NaN,-0.087787,-0.013562,1.2281,4.6116,2.2539,-0.7533,-0.3857,2.5301,-0.41622,-0.40263,1.8448,1.4003,12.062,4.5312,1.3664,0.99283,5.513,119.242,0.71823,0.75067,3.6676,10.4483,1.2437,0.39219,1.1165,-0.404,-0.25844,-0.41507,-0.4913,-0.60123,-0.64581,-0.50598,0.85276,1.6167
FOX1CPR1STR1DOX2TMP2,0.53366,0.89724,0.89452,1,0.96331,0.67721,0.11853,0.39522,0.54723,0.53481,0.60235,0.64415,0.92641,0.67975,0.88827,0.55769,0.73173,0.54994,0.11777,0.31389,0.67514,0.46854,0.35482,0.88251,0.94879,0.55933,0.52432,0.61109,0.34119,0.49924,0.41783,3.6175,-0.75169,-0.25942,1.6928,-0.33366,-0.32866,-0.25472,NaN,-0.21115,-0.077893,1.2281,4.6116,1.2248,-0.7533,-0.31742,8.2248,-0.41622,-0.54107,0.55276,2.6532,12.062,4.5312,-0.025981,0.99283,3.9609,43.7019,0.71823,0.55479,2.0514,8.3913,1.2437,0.92286,2.0693,-0.25805,-0.35428,-0.41507,-0.29036,-0.47202,-0.55285,-0.54577,0.04323,1.7705
FOX1CPR1STR1DOX2TMP3,0.53366,0.89724,0.89452,1,0.81961,0.67721,0.11853,0.39522,0.51738,0.53481,0.60235,0.75072,0.92641,0.69646,1,0.55769,0.73173,0.71027,0.11777,0.28133,0.82865,0.46854,0.41418,0.92387,0.97049,0.55933,0.45969,0.55515,0.32009,0.65915,0.47632,3.6175,-0.75169,-0.25942,0.83089,-0.33366,-0.32866,0.18207,NaN,-0.050065,NaN,1.2281,4.6116,2.2506,-0.7533,-0.28097,4.0643,-0.41622,-0.37038,2.2378,2.7453,12.062,4.5312,0.32115,0.99283,2.5445,1.8636,0.71823,-0.011789,1.4278,0.46153,1.2437,0.5949,1.1522,-0.1819,0.0082162,-0.41507,-0.30366,-0.56667,-0.50734,-0.14574,0.68598,2.4867
FOX1CPR1STR1DOX3TMP1,0.53366,0.89724,0.89452,0.95947,0.82057,0.67721,0.11853,0.428,0.44083,0.53481,0.63032,0.59721,0.83741,0.66958,1,0.55769,0.77243,0.71015,0.41157,0.24063,0.8475,0.36829,0.39342,0.75858,0.83754,0.58058,0.42292,0.63907,0.39129,0.6349,0.40257,3.6175,-0.75169,-0.16411,0.030589,-0.33366,-0.26781,-0.18885,-0.024301,-0.087787,NaN,1.2281,4.2158,2.2539,-0.10144,-0.3857,3.765,-0.52175,-0.40263,0.45704,1.146,12.062,2.7932,1.3664,4.4513,5.513,3.2669,0.35609,0.75067,3.2029,0.12685,1.3824,0.39219,1.6727,0.097892,0.015918,-0.48316,-0.4913,-0.53561,-0.54366,0.22245,0.3327,1.8297
FOX1CPR1STR1DOX3TMP2,0.53366,0.89724,0.89452,0.95947,0.96331,0.67721,0.11853,0.428,0.54723,0.53481,0.63032,0.64415,0.83741,0.67975,0.93522,0.55769,0.77243,0.54994,0.41157,0.31389,0.88573,0.36829,0.35482,0.79364,0.9671,0.58058,0.52432,0.69247,0.29069,0.64812,0.428,3.6175,-0.75169,-0.16411,1.6928,-0.33366,-0.26781,-0.25472,-0.024301,-0.21115,NaN,1.2281,4.2158,1.2248,-0.10144,-0.31742,9.7109,-0.52175,-0.54107,-0.042985,2.0713,12.062,2.7932,-0.025981,4.4513,3.9609,11.5739,0.35609,0.55479,1.9257,31.598,1.3824,0.92286,2.7431,-0.34117,-0.1263,-0.48316,-0.29036,-0.45132,-0.75098,-0.27342,0.23317,1.5773
FOX1CPR1STR1DOX3TMP3,0.53366,0.89724,0.89452,0.95947,0.81961,0.67721,0.11853,0.428,0.51738,0.53481,0.63032,0.75072,0.83741,0.69646,1,0.55769,0.77243,0.71027,0.41157,0.28133,0.73173,0.36829,0.41418,1,0.96869,0.58058,0.45969,0.79927,0.31964,0.59727,0.51467,3.6175,-0.75169,-0.16411,0.83089,-0.33366,-0.26781,0.18207,-0.024301,-0.050065,NaN,1.2281,4.2158,2.2506,-0.10144,-0.28097,2.7375,-0.52175,-0.37038,2.5819,2.2834,12.062,2.7932,0.32115,4.4513,2.5445,0.99715,0.35609,-0.011789,1.3423,0.727,1.3824,0.5949,2.6905,-0.14853,-0.053699,-0.48316,-0.30366,-0.34776,-0.58936,-0.21653,0.90351,3.7049
FOX1CPR1STR2DOX1TMP1,0.53366,0.89724,0.89638,0.94879,0.82057,0.67721,0.14567,0.45922,0.44083,0.56164,0.75095,0.59721,0.81249,0.76702,0.71823,0.38159,0.62591,0.71015,0.18365,0.17626,0.4387,0.52094,0.47521,0.69917,0.48682,0.44891,0.54451,0.59838,0.2876,0.53451,0.36586,3.6175,-0.69549,-0.093051,0.030589,-0.30167,-0.11786,-0.18885,-0.044658,0.37021,-0.077473,-0.11094,2.1624,2.2539,-0.59536,-0.55097,0.19646,-0.31731,-0.27994,0.0051631,-0.30243,4.1885,0.54263,1.3664,1.7271,1.9203,3.104,0.90376,1.1488,1.9714,-0.24232,0.32974,1.0598,1.4023,-0.22776,-0.14636,-0.1415,-0.1088,-0.29687,1.0732,0.22126,0.15893,-0.077744
