combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
FOX1CPR1STR1FUS1DOX1,0.80179,0.93415,0.89179,0.73811,1,0.83355,0.5,0.43484,0.61984,0.63501,0.74317,0.89179,0.63702,0.91393,0.72042,0.74396,0.43832,0.7323,0.16538,0.34661,0.64966,0.41463,0.53905,0.82495,1,0.31606,0.73296,0.4423,0.028905,0.45001,0.41016,1.6017,-0.30073,-0.26523,-0.22693,-0.23775,1.104,-0.045342,-0.032239,NaN,-0.023967,0.56794,-0.20715,-0.022287,-0.68665,-0.51525,0.39541,-0.3257,-0.35294,2.7866,4.279,4.3205,-0.14333,2.0289,-0.22015,-0.024985,2.4467,-0.1653,-0.12764,3.4893,642.7625,-0.35892,0.48575,-0.19994,-0.94523,-0.26816,0.25001,0.27098,-0.4394,-0.95609,-0.42946,-0.16807,2.3731
FOX1CPR1STR1FUS1DOX2,0.80179,0.93415,0.89179,0.73811,0.93944,0.83355,0.5,0.43484,0.60336,0.63501,0.74317,0.95533,0.63702,0.93856,0.99668,0.74396,0.43832,0.66056,0.16538,0.32794,0.63964,0.41463,0.4861,0.84758,0.60164,0.31606,0.68753,0.52835,0.040263,0.35536,0.5814,1.6017,-0.30073,-0.26523,-0.19898,-0.23775,1.104,NaN,-0.032239,NaN,NaN,0.56794,-0.20715,-0.061217,-0.68665,-0.5118,0.45937,-0.3257,-0.37888,2.2114,-0.027074,4.3205,-0.14333,-0.063573,-0.22015,-0.21331,0.74402,-0.1653,-0.36041,-0.18412,-0.36218,-0.35892,0.34443,0.041101,-0.91879,-0.38483,0.25001,3.9135,0.32167,0.24097,0.99001,0.43004,0.063031
FOX1CPR1STR1FUS1DOX3,0.80179,0.93415,0.89179,0.73811,0.92093,0.83355,0.5,0.43484,0.55901,0.63501,0.74317,0.85208,0.63702,0.93415,0.93084,0.74396,0.43832,0.71554,0.16538,0.19489,0.46012,0.41463,0.41211,0.73559,0.8089,0.31606,0.72254,0.51319,0.15021,0.49222,0.40704,1.6017,-0.30073,-0.26523,-0.24294,-0.23775,1.104,-0.0095375,-0.032239,NaN,NaN,0.56794,-0.20715,0.23003,-0.68665,-0.70403,-0.15578,-0.3257,-0.46284,0.97549,1.5366,4.3205,-0.14333,1.7116,-0.22015,-0.50153,-0.019723,-0.1653,-0.39655,-0.19424,-0.095073,-0.35892,0.57543,0.017734,-0.69095,-0.13078,0.25001,1.8801,2.1837,1.0417,2.5457,-0.1035,-0.51813
FOX1CPR1STR1FUS2DOX1,0.80179,0.93415,0.89179,0.75083,1,0.83355,0.5,0.48373,0.61984,0.63501,0.74822,0.89179,0.727,0.91393,0.82909,0.74396,0.55758,0.7323,0.1957,0.34661,0.74822,0.76142,0.53905,0.79624,0.73187,0.36061,0.73296,0.53341,0.099668,0.54699,0.36155,1.6017,-0.30073,-0.19646,-0.22693,-0.23775,0.94733,-0.045342,0.70675,NaN,Inf,0.56794,-0.0085061,-0.022287,-0.63547,-0.51525,0.9825,1.0845,-0.35294,1.9185,0.76672,4.3205,0.046013,2.0289,-0.38065,-0.024985,6.0947,1.9833,-0.12764,0.055906,-0.10025,-0.28095,0.48575,-0.051487,-0.81435,-0.1255,-0.39724,0.27098,-0.38315,-0.70938,-0.18051,-0.27907,2.4709
FOX1CPR1STR1FUS2DOX2,0.80179,0.93415,0.89179,0.75083,0.93944,0.83355,0.5,0.48373,0.60336,0.63501,0.74822,0.95533,0.727,0.93856,0.85437,0.74396,0.55758,0.66056,0.1957,0.32794,0.68465,0.76142,0.4861,0.76591,0.83162,0.36061,0.68753,0.71641,0.28921,0.56817,0.36408,1.6017,-0.30073,-0.19646,-0.19898,-0.23775,0.94733,NaN,0.70675,NaN,3.2773,0.56794,-0.0085061,-0.061217,-0.63547,-0.5118,0.6428,1.0845,-0.37888,1.1641,1.6634,4.3205,0.046013,-0.063573,-0.38065,-0.21331,26.6907,1.9833,-0.36041,-0.14944,-0.067185,-0.28095,0.34443,0.84534,-0.42657,-0.033094,-0.39724,3.9135,0.34944,0.068495,0.040702,-0.22723,-0.28357
FOX1CPR1STR1FUS2DOX3,0.80179,0.93415,0.89179,0.75083,0.92093,0.83355,0.5,0.48373,0.55901,0.63501,0.74822,0.85208,0.727,0.93415,0.86995,0.74396,0.55758,0.71554,0.1957,0.19489,0.77856,0.76142,0.41211,0.84613,0.8013,0.36061,0.72254,0.79318,0.41715,0.68757,0.52052,1.6017,-0.30073,-0.19646,-0.24294,-0.23775,0.94733,-0.0095375,0.70675,NaN,3.0067,0.56794,-0.0085061,0.23003,-0.63547,-0.70403,1.1412,1.0845,-0.46284,1.9085,1.3761,4.3205,0.046013,1.7116,-0.38065,-0.50153,9.4941,1.9833,-0.39655,-0.0041343,-0.12277,-0.28095,0.57543,1.1818,-0.15627,0.63809,-0.39724,1.8801,-0.13423,1.7166,0.38824,0.20299,-0.26835
FOX1CPR1STR1FUS3DOX1,0.80179,0.93415,0.89179,0.70649,1,0.83355,0.5,0.51066,0.61984,0.63501,0.72435,0.89179,0.64551,0.91393,0.77602,0.74396,0.58702,0.7323,0.30693,0.34661,0.81823,0.6767,0.53905,0.81171,0.75833,0.4213,0.73296,0.71906,0.38629,0.60258,0.54236,1.6017,-0.30073,-0.098489,-0.22693,-0.23775,1.3841,-0.045342,0.20243,NaN,Inf,0.56794,0.32631,-0.022287,-0.39241,-0.51525,1.798,0.74747,-0.35294,3.2619,1.6782,4.3205,-0.0023621,2.0289,-0.028391,-0.024985,10752.0028,2.1731,-0.12764,0.40453,0.45285,-0.10722,0.48575,1.0709,-0.23531,0.11896,-0.35273,0.27098,-0.25204,-0.3526,-0.17831,0.30036,18.3216
FOX1CPR1STR1FUS3DOX2,0.80179,0.93415,0.89179,0.70649,0.93944,0.83355,0.5,0.51066,0.60336,0.63501,0.72435,0.95533,0.64551,0.93856,0.78524,0.74396,0.58702,0.66056,0.30693,0.32794,0.77995,0.6767,0.4861,0.89378,0.79624,0.4213,0.68753,0.77465,0.25266,0.44507,0.47816,1.6017,-0.30073,-0.098489,-0.19898,-0.23775,1.3841,NaN,0.20243,NaN,2.8409,0.56794,0.32631,-0.061217,-0.39241,-0.5118,1.4214,0.74747,-0.37888,3.1656,1.7832,4.3205,-0.0023621,-0.063573,-0.028391,-0.21331,6.8533,2.1731,-0.36041,0.25759,0.057022,-0.10722,0.34443,1.3256,-0.46759,-0.19504,-0.35273,3.9135,-0.1162,-0.51824,-0.35693,0.1324,4.145
FOX1CPR1STR1FUS3DOX3,0.80179,0.93415,0.89179,0.70649,0.92093,0.83355,0.5,0.51066,0.55901,0.63501,0.72435,0.85208,0.64551,0.93415,0.76222,0.74396,0.58702,0.71554,0.30693,0.19489,0.67406,0.6767,0.41211,0.75274,0.76844,0.4213,0.72254,0.7364,0.38162,0.66876,0.51787,1.6017,-0.30073,-0.098489,-0.24294,-0.23775,1.3841,-0.0095375,0.20243,NaN,1.9977,0.56794,0.32631,0.23003,-0.39241,-0.70403,0.82454,0.74747,-0.46284,1.4686,1.4907,4.3205,-0.0023621,1.7116,-0.028391,-0.50153,6.3273,2.1731,-0.39655,-0.016712,-0.0068365,-0.10722,0.57543,1.1365,-0.1797,0.77064,-0.35273,1.8801,-0.080209,0.13571,0.38983,0.30631,-0.21319
FOX1CPR1STR2FUS1DOX1,0.80179,0.93415,0.76112,0.73811,1,0.83355,0.46029,0.43484,0.61984,0.61648,0.74317,0.89179,0.64694,0.91325,0.72042,0.71787,0.43832,0.7323,0.038067,0.41968,0.64966,0.24878,0.52581,0.82495,1,0.28321,0.65354,0.4423,0.038716,0.38177,0.27057,1.6017,-0.24574,-0.26523,-0.22693,-0.13294,1.104,-0.045342,0.48289,NaN,-0.023967,0.77363,-0.20715,-0.022287,-0.91549,-0.31228,0.39541,-0.52596,-0.26046,2.7866,2.4853,26.2097,-0.14333,2.0289,-0.86807,-0.054322,2.4467,-0.56766,-0.2761,3.4893,1.2877,-0.32693,0.43691,-0.19994,-0.91405,-0.27253,5.2351,0.20243,-0.4394,NaN,-0.25379,-0.35697,72.4802
