combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
FOX1FUS1CPR1DOX1TMP1,0.73225,1,0.88143,0.91306,0.93779,0.35431,0.77281,0.72893,0.79994,0.75053,0.77242,0.73556,0.91742,0.99045,1,0.38083,0.32779,0.37752,0.70786,0.57643,0.78406,0.7029,0.7918,0.83502,1,0.33939,0.37708,0.34568,0.74882,0.74101,0.36452,-0.51613,1.4672,0.94793,2.486,-0.14851,-0.15403,-0.21564,NaN,NaN,NaN,-0.40995,-0.50972,-0.45023,0.82941,-0.047647,1.4923,-0.12661,-0.042089,-0.024801,1.9358,1.1731,1.1005,2.2991,-0.1586,-0.38972,-0.12124,4.2006,2.4908,12.776,-0.12023,-0.42408,-0.377,-0.44867,1.0923,-0.018169,2.7069,1.4909,-0.076486,4.7342,-0.071966,-0.34041,-0.44997
FOX1FUS1CPR1DOX1TMP2,0.73225,1,0.88143,0.91306,0.99894,0.35431,0.77281,0.72893,0.9206,0.75053,0.77242,0.84578,0.91742,1,0.94917,0.38083,0.32779,0.29795,0.70786,0.69246,0.62947,0.7029,0.8045,0.75877,1,0.33939,0.35431,0.35431,0.6792,0.81325,0.42725,-0.51613,1.4672,0.94793,NaN,-0.14851,-0.15403,-0.15332,NaN,NaN,NaN,-0.40995,-0.50972,-0.59267,0.82941,0.54536,-0.057497,-0.12661,-0.086309,-0.1681,2.5302,1.1731,1.1005,-0.30855,-0.1586,-0.32522,-0.32168,4.2006,6.2385,0.87507,-0.055042,-0.42408,-0.45046,-0.46949,0.63052,0.12009,2.7069,1.425,1.3276,1.7361,0.47163,-0.27424,-0.47569
FOX1FUS1CPR1DOX1TMP3,0.73225,1,0.88143,0.91306,1,0.35431,0.77281,0.72893,0.81582,0.75053,0.77242,0.83308,0.91742,1,1,0.38083,0.32779,0.4662,0.70786,0.57643,0.66594,0.7029,0.78228,0.76871,1,0.33939,0.40535,0.29856,0.81678,0.70647,0.35196,-0.51613,1.4672,0.94793,Inf,-0.14851,-0.15403,-0.16692,NaN,NaN,NaN,-0.40995,-0.50972,-0.36333,0.82941,-0.10689,-0.0039475,-0.12661,-0.11249,-0.15809,2.5472,1.1731,1.1005,3.8945,-0.1586,-0.38237,-0.23358,4.2006,4.8903,1.1502,-0.092821,-0.42408,-0.37196,-0.55344,1.5914,-0.12218,2.7069,1.6855,0.41058,2.7309,-0.010253,-0.40276,-0.5571
FOX1FUS1CPR1DOX2TMP1,0.73225,1,0.88143,0.89718,0.93779,0.35431,0.77281,0.83804,0.79994,0.75053,0.81953,0.73556,0.92695,0.99045,0.96126,0.38083,0.33442,0.37752,0.75214,0.57643,0.75397,0.73473,0.7918,0.70572,1,0.30799,0.37708,0.29966,0.64718,0.81403,0.35542,-0.51613,1.4672,2.4052,2.486,-0.14851,-0.086547,-0.21564,1.5022,NaN,NaN,-0.40995,-0.49095,-0.45023,1.1299,-0.047647,1.187,-0.070901,-0.042089,-0.16121,1.848,1.1731,-0.24358,2.2991,-0.21049,-0.38972,-0.22694,-0.008542,2.4908,-0.0018112,-0.10871,-0.46813,-0.377,-0.51361,0.55044,0.51798,1.2429,1.4909,1.0092,2.4206,1.058,-0.3455,-0.45926
FOX1FUS1CPR1DOX2TMP2,0.73225,1,0.88143,0.89718,0.99894,0.35431,0.77281,0.83804,0.9206,0.75053,0.81953,0.84578,0.92695,1,0.94193,0.38083,0.33442,0.29795,0.75214,0.69246,0.71898,0.73473,0.8045,0.75214,0.93116,0.30799,0.35431,0.46655,0.71567,0.84466,0.44382,-0.51613,1.4672,2.4052,NaN,-0.14851,-0.086547,-0.15332,1.5022,NaN,NaN,-0.40995,-0.49095,-0.59267,1.1299,0.54536,0.82548,-0.070901,-0.086309,-0.16078,1.5437,1.1731,-0.24358,-0.30855,-0.21049,-0.32522,-0.30887,-0.008542,6.2385,0.79034,-0.13257,-0.46813,-0.45046,-0.28908,0.89222,0.59795,1.2429,1.425,1.6374,1.463,42.2538,-0.23274,-0.54533
FOX1FUS1CPR1DOX2TMP3,0.73225,1,0.88143,0.89718,1,0.35431,0.77281,0.83804,0.81582,0.75053,0.81953,0.83308,0.92695,1,0.98171,0.38083,0.33442,0.4662,0.75214,0.57643,0.5247,0.73473,0.78228,0.77203,0.93116,0.30799,0.40535,0.29795,0.55654,0.80768,0.5035,-0.51613,1.4672,2.4052,Inf,-0.14851,-0.086547,-0.16692,1.5022,NaN,NaN,-0.40995,-0.49095,-0.36333,1.1299,-0.10689,-0.20132,-0.070901,-0.11249,-0.13949,1.5487,1.1731,-0.24358,3.8945,-0.21049,-0.38237,-0.46181,-0.008542,4.8903,2.5727,-0.15948,-0.46813,-0.37196,-0.54646,-0.038892,0.18625,1.2429,1.6855,0.93908,1.299,6.9241,-0.13049,-0.39957
FOX1FUS1CPR1DOX3TMP1,0.73225,1,0.88143,0.90472,0.93779,0.35431,0.77281,0.77909,0.79994,0.75053,0.82673,0.73556,0.94282,0.99045,1,0.38083,0.39078,0.37752,0.73961,0.57643,0.56815,0.76958,0.7918,0.79855,1,0.31741,0.37708,0.25154,0.72056,0.76323,0.42845,-0.51613,1.4672,1.6715,2.486,-0.14851,-0.086203,-0.21564,NaN,NaN,NaN,-0.40995,-0.41012,-0.45023,1.0497,-0.047647,-0.085486,-0.034948,-0.042089,-0.058798,1.8876,1.1731,0.18008,2.2991,-0.18583,-0.38972,-0.39818,0.18176,2.4908,0.69679,-0.14237,-0.45642,-0.377,-0.59511,0.93672,0.11521,5.151,1.4909,0.76388,1.9098,0.048685,-0.21759,-0.42709
FOX1FUS1CPR1DOX3TMP2,0.73225,1,0.88143,0.90472,0.99894,0.35431,0.77281,0.77909,0.9206,0.75053,0.82673,0.84578,0.94282,1,0.95519,0.38083,0.39078,0.29795,0.73961,0.69246,0.62094,0.76958,0.8045,0.74551,0.95519,0.31741,0.35431,0.1985,0.70032,0.89138,0.54275,-0.51613,1.4672,1.6715,NaN,-0.14851,-0.086203,-0.15332,NaN,NaN,NaN,-0.40995,-0.41012,-0.59267,1.0497,0.54536,-0.061709,-0.034948,-0.086309,-0.17511,1.8696,1.1731,0.18008,-0.30855,-0.18583,-0.32522,-0.3709,0.18176,6.2385,0.25644,-0.12789,-0.45642,-0.45046,-0.70005,0.78564,1.1173,5.151,1.425,0.76727,1.6815,5.865,-0.069531,-0.28462
FOX1FUS1CPR1DOX3TMP3,0.73225,1,0.88143,0.90472,1,0.35431,0.77281,0.77909,0.81582,0.75053,0.82673,0.83308,0.94282,1,1,0.38083,0.39078,0.4662,0.73961,0.57643,0.65904,0.76958,0.78228,0.85159,1,0.31741,0.40535,0.33442,0.65587,0.81721,0.37512,-0.51613,1.4672,1.6715,Inf,-0.14851,-0.086203,-0.16692,NaN,NaN,NaN,-0.40995,-0.41012,-0.36333,1.0497,-0.10689,-0.0051845,-0.034948,-0.11249,-0.058723,2.4119,1.1731,0.18008,3.8945,-0.18583,-0.38237,-0.28711,0.18176,4.8903,4.6616,-0.11823,-0.45642,-0.37196,-0.4952,0.48504,0.23526,5.151,1.6855,1.5102,1.6995,0.4034,-0.35759,-0.42479
FOX1FUS1CPR2DOX1TMP1,0.73225,1,0.98109,0.91306,0.93779,0.35431,0.73888,0.72893,0.79994,0.69076,0.77242,0.73556,0.90913,0.94797,1,0.32779,0.32779,0.37752,0.72256,0.70151,0.78406,0.6939,0.85822,0.83502,0.88882,0.38415,0.32684,0.34568,0.68915,0.8045,0.50783,-0.51613,1.4788,0.94793,2.486,-0.29592,-0.15403,-0.21564,NaN,NaN,NaN,-0.54372,-0.50972,-0.45023,0.87309,0.47498,1.4923,-0.22537,-0.067204,-0.024801,0.66802,0.89682,1.1005,2.2991,-0.028306,-0.14913,-0.12124,1.5071,2.2343,12.776,-0.12783,-0.41435,-0.51486,-0.44867,0.63201,-0.042325,-0.049869,-0.31999,-0.076486,3.0963,-0.15667,-0.17444,0.71115
