combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1CPR1ERY1FUS1DOX1,0.93826,1,1,1,0.89875,1,1,0,1,1,1,1,1,1,0.77793,1,0,0.93583,0,1,0,1,1,1,0.72197,0.50376,1,0,0,0.94855,0,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-0.13444,Inf,-1,1.6682,-1,2.8247,-1,0,Inf,Inf,-0.19669,-0.058148,NaN,-0.18658,NaN,-0.1308,NaN,0,-0.091938,1.1934,-0.1788,-0.46309,2.8247,-1,-1,Inf,9.1595,4.451,NaN,NaN,0.87525,-1,NaN
AMP1CPR1ERY1FUS1DOX2,0.93826,1,1,1,0.84558,1,1,0,1,1,1,1,1,1,0.89589,1,0,0.9124,0,1,0,1,1,0.87894,0.91635,0.50376,1,0,0,0.90358,0,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,-1,2.28,-1,3.9579,-1,0,Inf,Inf,Inf,-0.058148,NaN,-0.23782,NaN,-0.16464,NaN,0,-0.13376,-0.16316,-0.12754,-0.46309,3.9579,-1,-1,Inf,9.1595,4.5023,NaN,NaN,1.5766,-1,NaN
AMP1CPR1ERY1FUS1DOX3,0.93826,1,1,1,0.80183,1,1,0,0.78733,1,1,0.97885,1,0.95992,0.82129,1,0,0.76115,0,1,0.2934,1,1,0.71643,0.66208,0.50376,0.95744,0.24338,0,0.96776,1,NaN,NaN,-1,0.70709,NaN,NaN,NaN,NaN,NaN,Inf,Inf,-1,0.17824,-1,5.0032,-0.61001,0,Inf,-0.10651,-0.17428,-0.058148,NaN,-0.24107,NaN,0.07499,4.5084,0,-0.12045,-0.28236,-0.32398,-0.46309,4.1435,-0.6765,-1,Inf,9.1595,2.1951,2.1499,NaN,2.2642,5.0032,0.030598
AMP1CPR1ERY1FUS2DOX1,0.93826,1,1,1,0.89875,1,1,1,1,1,1,1,1,1,0.65644,1,1,0.93583,0,1,0.69664,1,1,0.66505,0.69423,0.59534,1,0.87275,0.27595,0.86033,0.95524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.26961,Inf,Inf,1.6682,-1,2.8247,-0.17388,0,Inf,-0.26003,-0.22757,-0.058148,-0.058148,-0.18658,-1,-0.1308,-0.15879,0,-0.091938,-0.12226,-0.083754,-0.36548,2.8247,0.5313,-0.67276,-0.042753,10.643,4.451,2.9088,1.8468,4.7174,2.018,-0.22644
AMP1CPR1ERY1FUS2DOX2,0.93826,1,1,1,0.84558,1,1,1,1,1,1,1,1,1,0.6179,1,1,0.9124,0,1,0.19758,1,1,0.7204,0.64549,0.59534,1,1,0.27448,0.80073,0.97597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.26926,Inf,Inf,2.28,-1,3.9579,-0.75097,0,Inf,-0.14804,-0.23664,-0.058148,-0.058148,-0.23782,-1,-0.16464,-0.76439,0,-0.13376,-0.067214,-0.16422,-0.36548,3.9579,3.9579,-0.65403,-0.053037,10.643,4.5023,5.157,1.3332,8.5176,3.4976,-0.43732
AMP1CPR1ERY1FUS2DOX3,0.93826,1,1,1,0.80183,1,1,1,0.78733,1,1,0.97885,1,0.95992,1,1,1,0.76115,0,1,0.25029,1,1,1,1,0.59534,0.95744,0.87275,0.19758,0.82838,0.63517,NaN,NaN,NaN,0.70709,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,0.17824,-1,5.0032,-0.66731,0,Inf,Inf,Inf,-0.058148,-0.058148,-0.24107,-1,0.07499,-0.75528,0,-0.12045,-0.1504,-0.13651,-0.36548,4.1435,2.4326,-0.73738,Inf,10.643,2.1951,3.8473,1.3839,-0.040186,-0.15572,-0.40015
AMP1CPR1ERY1FUS3DOX1,0.93826,1,1,1,0.89875,1,1,1,1,1,1,1,1,1,0.90789,1,1,0.93583,1,1,1,1,1,0.94776,0.86676,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,1.6682,Inf,2.8247,2.8247,0,Inf,Inf,-0.035597,-0.058148,-0.058148,-0.18658,-0.058148,-0.1308,-0.060201,0,-0.091938,-0.060817,-0.14108,Inf,2.8247,2.8247,2.8247,Inf,Inf,4.451,12.4471,40.5386,3.171,2.8247,-0.21282
AMP1CPR1ERY1FUS3DOX2,0.93826,1,1,1,0.84558,1,1,1,1,1,1,1,1,1,0.90255,1,1,0.9124,1,1,0.57867,1,1,0.86074,0.66777,1,1,0.79784,0.52188,0.84225,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,2.28,Inf,3.9579,-0.27062,0,Inf,Inf,-0.21028,-0.058148,-0.058148,-0.23782,-0.058148,-0.16464,-0.47663,0,-0.13376,-0.18566,-0.36822,Inf,3.9579,0.085459,-0.34221,-0.0039432,Inf,4.5023,1.705,0.85952,1.8891,3.9579,-0.13823
AMP1CPR1ERY1FUS3DOX3,0.93826,1,1,1,0.80183,1,1,1,0.78733,1,1,0.97885,1,0.95992,1,1,1,0.76115,1,1,0.75656,1,1,0.89742,0.96336,1,0.95744,0.8726,1,1,0.82437,NaN,NaN,NaN,0.70709,NaN,NaN,NaN,NaN,NaN,NaN,Inf,Inf,0.17824,Inf,5.0032,0.085572,0,Inf,Inf,Inf,-0.058148,-0.058148,-0.24107,-0.058148,0.07499,-0.26028,0,-0.12045,-0.23755,-0.16815,Inf,4.1435,2.4297,5.0032,Inf,Inf,2.1951,1.3872,36.043,3.5408,1.4555,-0.3837
AMP1CPR1ERY2FUS1DOX1,0.93826,1,0.96991,1,0.89875,1,0.97937,0,1,1,1,1,1,0.872,0.77793,1,0,0.93583,0,1,0,1,1,1,0.60318,0.93826,1,0,0.42911,0.9255,0,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,0.010751,-0.13444,3.1871,-1,1.6682,-1,2.2522,-1,Inf,4.7444,Inf,-0.30805,-0.063215,NaN,-0.18658,NaN,-0.031481,NaN,-0.029207,0.022001,1.1934,-0.22853,1,2.2522,-1,-0.47535,1.9891,10.9973,0.84313,NaN,3.1054,0.48155,-1,NaN
