combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1CPR1ERY1FUS1TMP1,0.94967,1,0.98464,1,1,1,1,0.14706,1,1,1,1,1,1,1,1,0,1,0,1,0.14734,0.89939,1,0.92779,0.77288,0,1,0.2766,0.072344,0.72908,0.30295,NaN,NaN,-0.84514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4505,-1,Inf,-1,4.4505,-0.84485,-0.086583,Inf,-0.07221,-0.21506,-0.06028,-1,-0.047921,-1,-0.06028,-0.25358,-0.11422,-0.015128,-0.07221,-0.23881,-1,4.4505,-0.70874,-0.92263,-0.25954,NaN,26.9903,3.3316,1.2485,0.7659,-0.67601,-0.41183
AMP1CPR1ERY1FUS1TMP2,0.94967,1,0.98464,1,0.86895,1,1,0.14706,1,1,1,1,1,1,0.89021,1,0,0.91417,0,1,0.20984,0.89939,1,0.90081,0.5776,0,1,0.28356,0.33805,0.86975,0.12671,NaN,NaN,-0.84514,NaN,NaN,NaN,NaN,NaN,NaN,Inf,4.4505,-1,2.034,-1,3.3232,-0.74572,-0.086583,10.8189,Inf,-0.32492,-0.06028,-1,-0.21745,-1,-0.15124,-0.34989,-0.11422,-0.12464,-0.11795,-0.44154,-1,3.3232,-0.65637,-0.58396,1.0606,NaN,3.5134,2.0659,1.6684,2.3461,-0.84405,-0.88964
AMP1CPR1ERY1FUS1TMP3,0.94967,1,0.98464,1,0.80398,1,1,0.14706,0.83055,1,1,0.77204,1,0.9028,0.88837,1,0,0.76893,0,1,0.4504,0.89939,1,1,0.85951,0,1,0.27866,0.14054,0.94642,0.086254,NaN,NaN,-0.84514,1.6566,NaN,NaN,-0.039731,NaN,NaN,Inf,4.4505,-1,0.13371,-1,4.7554,-0.4101,-0.086583,16.8725,Inf,5.4962,-0.06028,-1,-0.085357,-1,0.14246,1.2569,-0.11422,0.94168,1.7014,-0.13897,-1,4.7554,-0.63503,-0.81307,12.5337,NaN,-0.014272,-0.29685,-0.42075,-0.058896,-0.88527,4.5078
AMP1CPR1ERY1FUS2TMP1,0.94967,1,0.98464,1,1,1,1,0.5628,1,1,1,1,1,1,0.96742,1,0.78891,1,0.79402,1,0.756,1,1,1,0.98911,0.44843,1,0.84463,0.55186,0.91936,0.86852,NaN,NaN,-0.40737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4505,-0.16927,Inf,-0.15086,4.4505,-0.20394,Inf,Inf,0,Inf,-0.06028,3.4924,-0.047921,2.0169,-0.06028,8.9643,-0.015128,-0.015128,293494146016304,0.18998,-0.52044,4.4505,-0.1106,-0.40982,-0.066298,-0.52665,26.9903,-0.12117,-0.40847,-0.085519,-0.071178,2.0613
AMP1CPR1ERY1FUS2TMP2,0.94967,1,0.98464,1,0.86895,1,1,0.5628,1,1,1,1,1,1,0.98183,1,0.78891,0.91417,0.79402,1,0.60746,1,1,0.99944,1,0.44843,1,1,0.5381,0.77774,0.62242,NaN,NaN,-0.40737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4505,-0.16927,2.034,-0.15086,3.3232,-0.26388,Inf,10.8189,Inf,10.8189,-0.06028,3.4924,-0.21745,2.0169,-0.15124,-0.21215,-0.015128,-0.12464,-0.10194,-0.11072,-0.52044,3.3232,3.9964,-0.33775,-0.090993,-0.52665,3.5134,14.6845,-0.10529,-0.11489,-0.23397,0.5731
AMP1CPR1ERY1FUS2TMP3,0.94967,1,0.98464,1,0.80398,1,1,0.5628,0.83055,1,1,0.77204,1,0.9028,0.9473,1,0.78891,0.76893,0.79402,1,0.25386,1,1,0.83518,0.86143,0.44843,1,0.51462,0.14601,0.6384,0.24864,NaN,NaN,-0.40737,1.6566,NaN,NaN,-0.039731,NaN,NaN,NaN,4.4505,-0.16927,0.13371,-0.15086,4.7554,-0.66751,Inf,16.8725,Inf,5.6514,-0.06028,3.4924,-0.085357,2.0169,0.14246,-0.61279,-0.015128,0.94168,-0.087595,-0.18445,-0.52044,4.7554,-0.32599,-0.80579,-0.19357,-0.52665,-0.014272,10.2744,-0.58886,-0.2654,-0.66927,1.27
AMP1CPR1ERY1FUS3TMP1,0.94967,1,0.98464,1,1,1,1,1,1,1,1,1,1,1,0.90303,1,1,1,1,1,0.83598,1,1,0.82548,0.84879,1,1,0.74385,1,0.7746,0.86788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4505,Inf,Inf,4.4505,4.4505,-0.11971,Inf,Inf,-0.17452,-0.13797,-0.06028,-0.047921,-0.047921,-0.06028,-0.06028,-0.12759,-0.015128,-0.015128,-0.085878,-0.077282,4.4505,4.4505,-0.21673,4.4505,-0.21332,26.9903,26.9903,0.47817,3.1695,0.33232,-0.07186,-0.10354
AMP1CPR1ERY1FUS3TMP2,0.94967,1,0.98464,1,0.86895,1,1,1,1,1,1,1,1,1,0.8644,1,1,0.91417,1,1,0.7759,1,1,0.78782,0.81319,1,1,0.66742,0.59343,0.80901,0.95129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0052268,4.4505,Inf,2.034,4.4505,3.3232,-0.059758,Inf,10.8189,-0.093361,-0.049565,-0.06028,-0.047921,-0.21745,-0.06028,-0.15124,-0.25353,-0.015128,-0.12464,-0.20859,-0.19396,4.4505,3.3232,-0.19121,-0.26965,-0.054454,26.9903,3.5134,0.72411,0.16352,1.1866,2.4597,1.1414
AMP1CPR1ERY1FUS3TMP3,0.94967,1,0.98464,1,0.80398,1,1,1,0.83055,1,1,0.77204,1,0.9028,0.81455,1,1,0.76893,1,1,0.54396,1,1,0.93988,0.90052,1,1,0.58001,0.55577,1,0.64855,NaN,NaN,NaN,1.6566,NaN,NaN,-0.039731,NaN,NaN,Inf,4.4505,Inf,0.13371,4.4505,4.7554,-0.28756,Inf,16.8725,Inf,8.8171,-0.06028,-0.047921,-0.085357,-0.06028,0.14246,-0.3826,-0.015128,0.94168,14.8887,-0.027038,4.4505,4.7554,-0.24035,-0.26073,16.8725,26.9903,-0.014272,-0.017189,-0.15983,-0.12274,-0.13732,3.2975
AMP1CPR1ERY2FUS1TMP1,0.94967,1,1,1,1,1,0.88016,0.14706,1,0.95269,1,1,1,1,1,0.96429,0,1,0.15837,1,0.14734,0.94843,1,0.92779,1,0.10918,1,0.2766,0.22737,0.77836,0.64603,NaN,-0.073193,-0.84514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Inf,-1,Inf,-0.83324,Inf,-0.84485,-0.051574,0,-0.07221,0,14.5555,-1,-0.047921,1.1627,1.381,-0.25358,-0.0044806,Inf,-0.07221,0,-0.88503,Inf,-0.70874,-0.76058,-0.22164,0.38154,-0.070932,3.3316,-0.0034495,-0.15718,-0.31973,1.5631
