combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1ERY1STR1CPR1FUS1,0.98061,1,1,1,0.60415,0.91381,0.38461,0.6788,0.30649,0.89823,1,0.7094,1,0.57993,0.64719,0.75198,0.92628,0.6911,0.30714,0,0.5577,0.92872,0.45663,0.8043,0.60063,0.66533,0,0.60245,0,0.3872,0,NaN,-0.60779,-0.30778,-0.48266,-0.10177,NaN,Inf,NaN,-0.040084,Inf,-0.23315,-0.055405,8.421,-0.68678,-1,-0.058625,-0.071282,-0.24418,Inf,-0.0058289,3.2052,4.7048,5.1195,0.74334,0.2497,2.7927,Inf,-0.26786,0.34974,-0.035866,-0.32151,-1,0.85509,-1,-0.35911,-0.36598,NaN,-0.4754,NaN,-0.28723,-1,NaN
AMP1ERY1STR1CPR1FUS2,0.98061,1,1,1,0.81638,0.91381,0.38461,0.6788,0.53154,0.89823,1,0.63769,1,0.83739,0.61579,0.75198,0.92628,0.32032,0.30714,0,0.43568,0.92872,0.93733,0.62421,0.62696,0.66533,0,0.433,0,0.42016,0.21337,NaN,-0.60779,-0.30778,-0.33603,-0.10177,NaN,-0.21888,NaN,Inf,-0.2457,-0.23315,-0.055405,-0.59988,-0.68678,-1,-0.45577,-0.071282,Inf,-0.23539,-0.23202,3.2052,4.7048,0.080678,0.74334,-1,0.78366,Inf,5.8279,1.0471,-0.015467,-0.32151,-1,-0.45912,-1,-0.48534,-0.36598,NaN,-0.40833,NaN,-0.56202,-0.73346,1.2203
AMP1ERY1STR1CPR1FUS3,0.98061,1,1,1,0.86387,0.91381,0.38461,0.6788,0.43046,0.89823,1,0.43373,1,0.55766,0.52521,0.75198,0.92628,0.9035,0.30714,0,0.47938,0.92872,0.74098,0.45161,0.49788,0.66533,0.5693,0.81464,0.064901,0.54885,0.68545,NaN,-0.60779,-0.30778,-0.49185,-0.10177,NaN,-0.49792,NaN,-0.35447,-0.39203,-0.23315,-0.055405,3.3654,-0.68678,-1,-0.43411,-0.071282,-0.14226,-0.47723,-0.42366,3.2052,4.7048,2.008,0.74334,0.53657,1.0825,Inf,1.7796,1.0528,0.91077,-0.32151,-0.32795,-0.038347,-0.92339,-0.36466,-0.36598,-0.69311,-0.52802,-0.91992,-0.50038,-0.19085,1.5796
AMP1ERY1STR1CPR2FUS1,0.98061,1,1,1,0.60415,0.91381,0.38461,0.86729,0.30649,0.89823,0.98165,0.7094,1,0.57993,0.55697,0.75198,0.93355,0.6911,0.62386,0,0.44255,0.79393,0.45663,0.64401,0.47927,0.53323,0,0.54416,0,0.38053,0.13447,NaN,-0.60779,-0.11555,-0.48266,-0.10177,NaN,Inf,NaN,-0.040084,-0.078102,-0.23315,-0.047989,8.421,-0.36381,-1,-0.253,-0.20607,-0.24418,Inf,-0.2067,3.2052,1.7814,5.1195,3.1114,0.2497,2.1859,-0.097689,-0.26786,-0.010927,-0.10037,-0.45623,-1,-0.081483,-1,-0.37015,-0.49812,NaN,-0.39338,NaN,0.54026,-0.77303,1.2613
AMP1ERY1STR1CPR2FUS2,0.98061,1,1,1,0.81638,0.91381,0.38461,0.86729,0.53154,0.89823,0.98165,0.63769,1,0.83739,0.52803,0.75198,0.93355,0.32032,0.62386,0,0.46326,0.79393,0.93733,0.57266,0.51002,0.53323,0,0.63238,0.21669,0.45846,0.40357,NaN,-0.60779,-0.11555,-0.33603,-0.10177,NaN,-0.21888,NaN,Inf,-0.3532,-0.23315,-0.047989,-0.59988,-0.36381,-1,-0.42132,-0.20607,Inf,-0.29853,-0.37527,3.2052,1.7814,0.080678,3.1114,-1,0.84915,-0.097689,5.8279,1.2305,-0.071086,-0.45623,-1,-0.21007,-0.72932,-0.43842,-0.49812,NaN,-0.010031,-0.38219,-0.42118,-0.49588,1.6895
AMP1ERY1STR1CPR2FUS3,0.98061,1,1,1,0.86387,0.91381,0.38461,0.86729,0.43046,0.89823,0.98165,0.43373,1,0.55766,0.69989,0.75198,0.93355,0.9035,0.62386,0,0.53582,0.79393,0.74098,0.48709,0.75457,0.53323,0.5693,0.84375,0.10534,0.42986,0.33448,NaN,-0.60779,-0.11555,-0.49185,-0.10177,NaN,-0.49792,NaN,-0.35447,-0.18983,-0.23315,-0.047989,3.3654,-0.36381,-1,-0.36749,-0.20607,-0.14226,-0.43616,-0.12652,3.2052,1.7814,2.008,3.1114,0.53657,1.4073,-0.097689,1.7796,1.2967,2.2008,-0.45623,-0.32795,-0.0039783,-0.87565,-0.5024,-0.49812,-0.69311,-0.40573,-0.88247,-0.61038,-0.60516,1.2844
AMP1ERY1STR1CPR3FUS1,0.98061,1,1,0.99586,0.60415,0.91381,0.38461,0.73499,0.30649,0.89823,0.95555,0.7094,1,0.57993,0.38376,0.75198,1,0.6911,0.50097,0,0.4365,0.79224,0.45663,0.45832,0.46394,0.89018,0,0.34284,0.11477,0.34448,0.060183,NaN,-0.60779,-0.24736,-0.48266,-0.10177,NaN,Inf,NaN,-0.040084,-0.36216,-0.23315,5.7753,8.421,-0.487,-1,-0.26015,-0.20446,-0.24418,-0.23822,-0.22889,3.2052,3.499,5.1195,1.4966,0.2497,1.3651,-0.077014,-0.26786,-0.012696,4.7097,-0.088444,-1,-0.41889,-0.80546,-0.42744,-0.2468,NaN,-0.66212,-0.80307,0.99553,-0.89799,1.1075
AMP1ERY1STR1CPR3FUS2,0.98061,1,1,0.99586,0.81638,0.91381,0.38461,0.73499,0.53154,0.89823,0.95555,0.63769,1,0.83739,0.46236,0.75198,1,0.32032,0.50097,0,0.42059,0.79224,0.93733,0.49625,0.47272,0.89018,0,0.41601,0.17103,0.28069,0.4727,NaN,-0.60779,-0.24736,-0.33603,-0.10177,NaN,-0.21888,NaN,Inf,-0.43129,-0.23315,5.7753,-0.59988,-0.487,-1,-0.47244,-0.20446,Inf,-0.38961,-0.41855,3.2052,3.499,0.080678,1.4966,-1,0.92948,-0.077014,5.8279,1.1607,-0.028658,-0.088444,-1,-0.47818,-0.78547,-0.65475,-0.2468,NaN,-0.4789,-0.54253,-0.63271,-0.40707,1.5805
AMP1ERY1STR1CPR3FUS3,0.98061,1,1,0.99586,0.86387,0.91381,0.38461,0.73499,0.43046,0.89823,0.95555,0.43373,1,0.55766,0.84364,0.75198,1,0.9035,0.50097,0,0.84854,0.79224,0.74098,0.62767,0.82312,0.89018,0.5693,0.82178,0.30036,0.54262,0.59814,NaN,-0.60779,-0.24736,-0.49185,-0.10177,NaN,-0.49792,NaN,-0.35447,-0.019361,-0.23315,5.7753,3.3654,-0.487,-1,0.2431,-0.20446,-0.14226,-0.27041,-0.043214,3.2052,3.499,2.008,1.4966,0.53657,2.866,-0.077014,1.7796,4.8025,21.4746,-0.088444,-0.32795,-0.025875,-0.64396,-0.36926,-0.2468,-0.69311,-0.5829,-0.72393,-0.53749,-0.29098,1.514
AMP1ERY1STR2CPR1FUS1,0.98061,1,0.84911,1,0.60415,0.91381,0.54434,0.6788,0.30649,0.75599,1,0.7094,1,0.73049,0.64719,0.61579,0.92628,0.6911,0.26031,0,0.5577,0.73544,0.52316,0.8043,0.48886,0.71894,0,0.60245,0,0.56884,0,NaN,-0.34625,-0.30778,-0.48266,-0.10967,NaN,Inf,NaN,2.3859,Inf,-0.26044,-0.055405,8.421,-0.68737,-1,-0.058625,-0.13387,0.11154,Inf,-0.047039,1.4827,4.7048,5.1195,-0.40301,-1,2.7927,-0.18904,-0.31487,0.34974,-0.43036,-0.13656,-1,0.85509,-1,0.61262,1.4367,NaN,-0.4754,NaN,1.5917,-1,NaN
