combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1ERY1STR1FUS1TMP1,1,1,1,0.99137,1,1,0.40231,0,1,1,1,1,0.93166,1,1,0.98211,0,1,0,0.98108,0.08272,0,1,1,1,0,1,0,0,0.13352,0,NaN,-0.59769,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.017886,-1,0,-1,-0.018916,-0.91656,-1,0,Inf,Inf,5222389898604003,NaN,0,NaN,5213108537767986,8.5905,-1,0,-0.0085514,6.9234,-1,0,-1,-1,-0.86532,NaN,-0.35934,NaN,NaN,1.236,-1,NaN
AMP1ERY1STR1FUS1TMP2,1,1,1,0.99137,1,1,0.40231,0,0.91299,1,1,1,0.93166,1,0.94168,0.98211,0,1,0,0.72176,0.30362,0,1,1,1,0,0.93865,0.0095162,0.29387,0.33471,0.096252,NaN,-0.59769,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.017886,-1,0,-1,-0.27824,-0.69373,-1,0,Inf,Inf,5222389898604003,NaN,783759589469680,NaN,4.6712,3.2331,-1,0,5.7621,2.3751,-1,-0.061348,-0.9904,-0.70357,-0.66237,NaN,-0.32402,NaN,-0.6581,1.8356,-0.90291,1.4628
AMP1ERY1STR1FUS1TMP3,1,1,1,0.99137,1,1,0.40231,0,1,1,1,0.71609,0.93166,0.90348,1,0.98211,0,0.77917,0,0.87084,0.35713,0,1,1,0.88643,0,0.73714,0.10776,0.25112,0.15861,0.067546,NaN,-0.59769,-1,NaN,NaN,NaN,-0.28391,NaN,NaN,NaN,-0.017886,-1,-0.22083,-1,-0.12916,-0.63976,-1,0,Inf,-0.10585,5222389898604003,NaN,284096320067306,NaN,5.8543,40.4059,-1,3.9415,15.8161,0.81887,-1,-0.26286,-0.8913,-0.74669,-0.84001,NaN,-0.58586,-0.84439,-0.73677,-0.5327,-0.93187,1.0493
AMP1ERY1STR1FUS2TMP1,1,1,1,1,1,1,0.40231,0.18492,1,1,1,1,1,1,1,0.98211,0.61513,1,0.28677,0.98108,0.72134,0.35461,1,0.95061,1,0,1,0.39771,0.18554,0.42403,0.10947,NaN,-0.59769,-0.81508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.017886,-0.38487,0,-0.71323,-0.018916,-0.27866,-0.64539,0,-0.049394,0,5222389898604003,3874976739428106,0,1.1704,5213108537767986,4831610297229329,-0.64539,0,-0.049394,0,-1,0,-0.60229,-0.81446,-0.57597,-1,-0.35934,-0.63915,-0.86766,2.4054,-0.89053,1.0864
AMP1ERY1STR1FUS2TMP2,1,1,1,1,1,1,0.40231,0.18492,0.91299,1,1,1,1,1,1,0.98211,0.61513,1,0.28677,0.72176,0.28931,0.35461,1,0.84357,1,0,0.93865,0.61569,0.096357,0.19429,0.43428,NaN,-0.59769,-0.81508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.017886,-0.38487,0,-0.71323,-0.27824,-0.71069,-0.64539,0,-0.15643,0,5222389898604003,3874976739428106,783759589469680,1.1704,4.6712,2.1997,-0.64539,0,-0.15643,0,-1,-0.061348,-0.38431,-0.90364,-0.80571,-1,-0.32402,-0.05293,-0.87919,-0.019607,-0.56572,1.7257
AMP1ERY1STR1FUS2TMP3,1,1,1,1,1,1,0.40231,0.18492,1,1,1,0.71609,1,0.90348,1,0.98211,0.61513,0.77917,0.28677,0.87084,0.24634,0.35461,1,0.77542,1,0,0.73714,0.20486,0.32352,0.2414,0.14724,NaN,-0.59769,-0.81508,NaN,NaN,NaN,-0.28391,NaN,NaN,NaN,-0.017886,-0.38487,-0.22083,-0.71323,-0.12916,-0.75366,-0.64539,0,-0.22458,0,5222389898604003,3874976739428106,284096320067306,1.1704,5.8543,553223118127432.8,-0.64539,3.9415,267194883974017,869367712244912,-1,-0.26286,-0.79514,-0.67648,-0.7586,-1,-0.58586,-0.72556,-0.67384,-0.52709,-0.85276,1.0826
AMP1ERY1STR1FUS3TMP1,1,1,1,1,1,1,0.40231,0.85039,1,1,1,1,1,1,1,0.98211,1,1,0.26761,0.98108,0.78401,1,1,1,0.78085,0.50489,1,0.72259,0.23348,0.50094,0.14642,NaN,-0.59769,-0.14961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.017886,0,0,-0.73239,-0.018916,-0.21599,0,0,0,-0.21915,5222389898604003,Inf,0,0.099645,5213108537767986,-0.078052,0,0,0,-0.21915,-0.49511,0,-0.27741,-0.76652,-0.49906,-0.4936,-0.35934,-0.22604,-0.5837,-0.35846,-0.85358,0.89311
AMP1ERY1STR1FUS3TMP2,1,1,1,1,1,1,0.40231,0.85039,0.91299,1,1,1,1,1,1,0.98211,1,1,0.26761,0.72176,0.85273,1,1,1,1,0.50489,0.93865,0.91798,0.42885,0.89726,0.25189,NaN,-0.59769,-0.14961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.017886,0,0,-0.73239,-0.27824,-0.14727,0,0,0,0,5222389898604003,Inf,783759589469680,0.099645,4.6712,1.0269,0,0,0,0,-0.49511,-0.061348,-0.082019,-0.57115,-0.10274,-0.4936,-0.32402,-0.15732,-0.36599,-0.10274,-0.74811,0.93411
AMP1ERY1STR1FUS3TMP3,1,1,1,1,1,1,0.40231,0.85039,1,1,1,0.71609,1,0.90348,0.82366,0.98211,1,0.77917,0.26761,0.87084,0.67463,1,1,0.95519,0.83446,0.50489,0.73714,0.35856,0.10485,0.59151,0.20814,NaN,-0.59769,-0.14961,NaN,NaN,NaN,-0.28391,NaN,NaN,-0.17634,-0.017886,0,-0.22083,-0.73239,-0.12916,-0.32537,0,0,-0.044815,-0.16554,5222389898604003,Inf,284096320067306,0.099645,5.8543,0.0038853,0,3.9415,2.3559,1.1119,-0.49511,-0.26286,-0.64144,-0.89515,-0.40849,-0.4936,-0.58586,-0.66216,-0.86686,-0.56067,-0.79186,1.0543
AMP1ERY1STR2FUS1TMP1,1,1,1,0.99137,1,1,0.49771,0,1,1,1,1,1,1,1,0.85842,0,1,0,1,0.08272,0.3894,1,1,0.89597,0,1,0,0,0.49196,0,NaN,-0.50229,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.14158,-1,0,-1,0,-0.91656,-0.60721,0,Inf,-0.096234,3249016066585247,NaN,0,NaN,4524245959676332,8.5905,-0.61393,0,-0.0085514,-0.11169,-1,0,-1,-1,-0.50376,NaN,-0.26509,NaN,NaN,1.9104,-1,NaN
