combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1FOX1CPR1DOX1TMP1,0.638,0.89619,0.89213,0.93124,0.94574,0.52521,0.8604,0.77067,0.91065,0.82375,0.91417,0.94574,0.87227,0.96116,1,0.44369,0.6353,0.76512,0.53678,0.95044,0.8143,0.87713,0.90169,0.9943,0.9686,0.56457,0.7679,0.80208,0.98595,0.95738,0.79706,-0.081433,4.2314,4.0241,NaN,0.26161,NaN,NaN,0.67627,NaN,NaN,-0.13017,0.97443,2.307,0.062386,4.1336,3.3164,0.89839,1.0703,1.9176,1.7186,-0.40444,-0.089943,-0.083386,-0.45516,-0.1826,-0.25369,0.016978,-0.072219,-0.064537,-0.069304,0.54942,1.8349,2.2205,3.545,1.3471,1.6849,2.4111,0.69058,17.2076,0.13609,1.8426,-0.32204
AMP1FOX1CPR1DOX1TMP2,0.638,0.89619,0.89213,0.93124,1,0.52521,0.8604,0.77067,0.89059,0.82375,0.91417,0.96116,0.87227,0.95661,1,0.44369,0.6353,0.77341,0.53678,0.9337,0.91868,0.87713,0.90351,0.96193,0.98171,0.56457,0.8143,0.60888,1,0.94888,0.71417,-0.081433,4.2314,4.0241,Inf,0.26161,NaN,NaN,0.67627,NaN,NaN,-0.13017,0.97443,3.0445,0.062386,5.2965,7.3979,0.89839,1.1228,2.0668,2.4602,-0.40444,-0.089943,-0.024746,-0.45516,-0.17143,-0.12487,0.016978,-0.038311,-0.07176,-0.012034,0.54942,2.3783,0.72406,4.3531,1.3845,1.6849,3.3995,-0.20843,17.7434,0.058606,1.4673,-0.29695
AMP1FOX1CPR1DOX1TMP3,0.638,0.89619,0.89213,0.93124,1,0.52521,0.8604,0.77067,0.91937,0.82375,0.91417,0.9686,0.87227,0.98438,1,0.44369,0.6353,0.68594,0.53678,0.99015,0.97086,0.87713,0.93773,0.98595,0.97741,0.56457,0.78937,0.44485,0.98171,0.98595,0.57206,-0.081433,4.2314,4.0241,NaN,0.26161,NaN,NaN,0.67627,NaN,NaN,-0.13017,0.97443,1.7239,0.062386,6.1168,8.5873,0.89839,1.4924,2.4566,2.3902,-0.40444,-0.089943,-0.1671,-0.45516,-0.15391,-0.098183,0.016978,-0.034286,-0.054896,-0.041309,0.54942,2.1834,-0.16454,4.1836,1.6357,1.6849,8.3196,-0.38643,4.1267,0.12619,0.59543,-0.32264
AMP1FOX1CPR1DOX2TMP1,0.638,0.89619,0.89213,0.94574,0.94574,0.52521,0.8604,0.86934,0.91065,0.82375,0.94574,0.94574,0.88657,0.96116,0.98157,0.44369,0.75371,0.76512,0.87518,0.95044,0.94574,0.92617,0.90169,0.99223,0.9686,0.75371,0.7679,0.68232,0.93566,0.88657,0.63381,-0.081433,4.2314,7.6823,NaN,0.26161,NaN,NaN,0.88514,NaN,NaN,-0.13017,2.1897,2.307,3.3787,4.1336,5.5685,1.2503,1.0703,2.015,1.8119,-0.40444,-0.055141,-0.083386,-0.18838,-0.1826,-0.19055,0.16778,-0.072219,-0.068648,-0.057119,1.7437,1.8349,1.3501,3.3089,0.96859,1.8254,2.4111,-0.17044,0.31214,-0.078023,0.97691,-0.16069
AMP1FOX1CPR1DOX2TMP2,0.638,0.89619,0.89213,0.94574,1,0.52521,0.8604,0.86934,0.89059,0.82375,0.94574,0.96116,0.88657,0.95661,1,0.44369,0.75371,0.77341,0.87518,0.9337,0.97443,0.92617,0.90351,1,1,0.75371,0.8143,0.73465,0.92448,1,0.51651,-0.081433,4.2314,7.6823,Inf,0.26161,NaN,NaN,0.88514,NaN,NaN,-0.13017,2.1897,3.0445,3.3787,5.2965,10.718,1.2503,1.1228,3.1347,3.2283,-0.40444,-0.055141,-0.024746,-0.18838,-0.17143,-0.14736,0.16778,-0.038311,-0.052859,0.036905,1.7437,2.3783,1.9938,3.8732,1.7932,1.8254,3.3995,-0.15797,0.17325,-0.0091562,0.21915,-0.42006
AMP1FOX1CPR1DOX2TMP3,0.638,0.89619,0.89213,0.94574,1,0.52521,0.8604,0.86934,0.91937,0.82375,0.94574,0.9686,0.88657,0.98438,1,0.44369,0.75371,0.68594,0.87518,0.99015,0.95966,0.92617,0.93773,1,1,0.75371,0.78937,0.64364,0.97731,1,0.53517,-0.081433,4.2314,7.6823,NaN,0.26161,NaN,NaN,0.88514,NaN,NaN,-0.13017,2.1897,1.7239,3.3787,6.1168,10.2913,1.2503,1.4924,3.1347,3.2283,-0.40444,-0.055141,-0.1671,-0.18838,-0.15391,-0.17981,0.16778,-0.034286,-0.05913,-0.02174,1.7437,2.1834,1.058,4.403,1.7932,1.8254,8.3196,-0.1446,0.31249,-0.014623,0.33904,-0.39466
AMP1FOX1CPR1DOX3TMP1,0.638,0.89619,0.89213,0.94097,0.94574,0.52521,0.8604,0.83537,0.91065,0.82375,0.95508,0.94574,0.87518,0.96116,1,0.44369,0.83065,0.76512,0.8543,0.95044,0.9984,0.90531,0.90169,1,1,0.75079,0.7679,0.64112,0.68012,1,0.60553,-0.081433,4.2314,6.2407,NaN,0.26161,NaN,NaN,0.67809,NaN,NaN,-0.13017,2.9269,2.307,3.1119,4.1336,6.1312,1.0943,1.0703,2.0522,2.0983,-0.40444,0.19325,-0.083386,-0.18018,-0.1826,-0.13138,-0.0017068,-0.072219,-0.086169,-0.035132,1.7138,1.8349,1.0242,1.3203,1.5972,0.77378,2.4111,-0.33069,-0.25421,0.16519,0.82358,4.0043
AMP1FOX1CPR1DOX3TMP2,0.638,0.89619,0.89213,0.94097,1,0.52521,0.8604,0.83537,0.89059,0.82375,0.95508,0.96116,0.87518,0.95661,0.93473,0.44369,0.83065,0.77341,0.8543,0.9337,1,0.90531,0.90351,1,0.98384,0.75079,0.8143,0.54429,0.81574,1,0.61343,-0.081433,4.2314,6.2407,Inf,0.26161,NaN,NaN,0.67809,NaN,NaN,-0.13017,2.9269,3.0445,3.1119,5.2965,10.6121,1.0943,1.1228,2.9623,2.7416,-0.40444,0.19325,-0.024746,-0.18018,-0.17143,-0.064609,-0.0017068,-0.038311,-0.010515,0.5556,1.7138,2.3783,0.062714,2.7354,1.7716,0.77378,3.3995,-0.47449,-0.10813,-0.022733,0.84448,0.54123
AMP1FOX1CPR1DOX3TMP3,0.638,0.89619,0.89213,0.94097,1,0.52521,0.8604,0.83537,0.91937,0.82375,0.95508,0.9686,0.87518,0.98438,0.72102,0.44369,0.83065,0.68594,0.8543,0.99015,0.96642,0.90531,0.93773,1,1,0.75079,0.78937,0.49755,0.89616,1,0.66299,-0.081433,4.2314,6.2407,NaN,0.26161,NaN,NaN,0.67809,NaN,-0.23375,-0.13017,2.9269,1.7239,3.1119,6.1168,9.7205,1.0943,1.4924,2.9623,3.0484,-0.40444,0.19325,-0.1671,-0.18018,-0.15391,0.013258,-0.0017068,-0.034286,0.9665,1.912,1.7138,2.1834,-0.075231,3.5206,1.7716,0.77378,8.3196,-0.51776,-0.080148,-0.17311,1.1581,0.1646
AMP1FOX1CPR2DOX1TMP1,0.638,0.89619,0.96734,0.93124,0.94574,0.52521,0.6178,0.77067,0.91065,0.82375,0.91417,0.94574,0.9613,1,1,0.54268,0.6353,0.76512,0.59955,0.89488,0.8143,0.89619,0.91353,0.9943,0.72757,0.65177,0.75079,0.80208,1,0.96642,0.73193,-0.081433,0.03043,4.0241,NaN,-0.049806,NaN,NaN,NaN,NaN,NaN,-0.018838,0.97443,2.307,0.39234,5.7285,3.3164,1,1.2272,1.9176,-0.14598,2.2833,-0.089943,-0.083386,-0.23592,-0.04377,-0.25369,-0.0023423,-0.038718,-0.064537,-0.34086,1.112,1.9815,2.2205,4.8323,1.5293,4.8347,0.024979,0.69058,64.5584,10.155,1.6225,-0.4279
