combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1FOX1ERY1CPR1DOX1,1,1,1,1,0.99316,0.89196,1,1,0.73929,1,0.9745,0.90899,1,1,1,0.98391,0.98479,1,1,1,0.63696,1,1,1,1,0.9169,1,0.9938,0.63602,0.75116,0.94438,-0.10804,NaN,NaN,-0.25562,NaN,NaN,NaN,NaN,NaN,NaN,-0.016088,-0.015213,Inf,0,Inf,-0.35865,0,Inf,Inf,Inf,Inf,4.6406,2.3616,0,37.1071,-0.14631,229668448901148,12.3026,5.9243,-0.0067951,-0.0831,Inf,Inf,-0.3596,-0.24367,-0.16815,-0.30336,-0.10071,-0.28604,-0.32286,-0.049118,1.7142
AMP1FOX1ERY1CPR1DOX2,1,1,1,1,0.98385,0.89196,1,1,0.60695,1,0.9745,1,1,1,1,0.98391,0.98479,0.95933,1,0.8184,0.64292,1,0.84398,0.80823,1,0.9169,1,0.9573,0.73717,0.86812,0.81337,-0.10804,NaN,NaN,-0.38309,NaN,NaN,NaN,NaN,NaN,NaN,-0.016088,-0.015213,-0.024919,0,-0.16816,-0.34653,0,-0.14216,-0.1785,Inf,Inf,4.6406,4.9091,0,12.0911,1.2268,229668448901148,-0.16944,-0.18448,-0.015896,-0.0831,Inf,-0.026987,-0.25072,-0.11763,-0.16815,-0.080324,0.14253,-0.12055,1.406,-0.17327,-0.11689
AMP1FOX1ERY1CPR1DOX3,1,1,1,1,0.83578,0.89196,1,1,0.61392,1,0.9745,0.96044,1,1,1,0.98391,0.98479,0.66124,1,0.73006,0.60112,1,0.75631,0.71616,1,0.9169,0.78212,0.65926,0.89744,0.67521,0.58623,-0.10804,NaN,NaN,-0.26545,NaN,NaN,NaN,NaN,NaN,NaN,-0.016088,-0.015213,-0.20883,0,-0.12649,-0.28076,0,-0.095082,-0.14312,Inf,Inf,4.6406,0.37685,0,-0.061798,-0.22749,229668448901148,-0.32752,-0.35092,-0.14106,-0.0831,-0.064194,-0.2112,Inf,-0.19212,-0.16815,2.1537,1.2246,7.1621,0.8834,-0.29858,-0.50348
AMP1FOX1ERY1CPR2DOX1,1,1,1,0.98304,0.99316,0.89196,1,1,0.73929,1,1,0.90899,1,1,1,0.98391,0.72364,1,1,1,0.69999,1,1,0.75018,1,1,1,0.58427,1,0.77845,0.8214,-0.10804,NaN,NaN,-0.25562,NaN,NaN,NaN,NaN,NaN,NaN,-0.016088,-0.26388,Inf,Inf,Inf,-0.28303,Inf,Inf,-0.23162,3.521,Inf,-0.20545,2.3616,-0.016672,37.1071,-0.087684,-0.016672,12.3026,-0.19689,-0.023022,Inf,Inf,-0.40156,3.521,-0.20267,2.8594,-0.30336,-0.018182,0.3127,-0.044581,-0.15867,0.11148
AMP1FOX1ERY1CPR2DOX2,1,1,1,0.98304,0.98385,0.89196,1,1,0.60695,1,1,1,1,1,1,0.98391,0.72364,0.95933,1,0.8184,0.69142,1,0.84398,0.72795,1,1,1,0.51395,1,0.75131,0.65388,-0.10804,NaN,NaN,-0.38309,NaN,NaN,NaN,NaN,NaN,NaN,-0.016088,-0.26388,-0.024919,Inf,-0.16816,-0.2851,Inf,-0.14216,-0.24734,2.0678,Inf,-0.20545,4.9091,-0.016672,12.0911,0.91388,-0.016672,-0.16944,-0.29501,-0.031533,Inf,Inf,-0.46861,2.0678,-0.22318,2.8594,-0.080324,-0.075885,0.52804,1.126,-0.32392,-0.3857
AMP1FOX1ERY1CPR2DOX3,1,1,1,0.98304,0.83578,0.89196,1,1,0.61392,1,1,0.96044,1,1,0.97242,0.98391,0.72364,0.66124,1,0.73006,0.67675,1,0.75631,0.77646,0.93992,1,0.78212,0.3745,1,0.81645,0.63897,-0.10804,NaN,NaN,-0.26545,NaN,NaN,NaN,NaN,NaN,NaN,-0.016088,-0.26388,-0.20883,Inf,-0.12649,-0.1763,Inf,-0.095082,-0.054949,8.3489,Inf,-0.20545,0.37685,-0.016672,-0.061798,-0.11938,-0.016672,-0.32752,-0.29995,-0.18128,Inf,-0.064194,-0.54419,12.5889,-0.0062766,2.8594,2.1537,0.38616,19.2852,1.1967,-0.2223,-0.51114
AMP1FOX1ERY1CPR3DOX1,1,1,1,0.96784,0.99316,0.89196,1,0.86159,0.73929,1,0.91662,0.90899,1,1,1,0.98391,0.6455,1,0.86332,1,0.8157,1,1,0.82534,1,0.68223,1,0.63829,1,0.87222,0.71947,-0.10804,NaN,-0.10978,-0.25562,NaN,NaN,NaN,NaN,NaN,NaN,-0.016088,-0.33305,Inf,-0.10798,Inf,-0.15138,Inf,Inf,-0.14135,5.8576,Inf,-0.085435,2.3616,-0.034047,37.1071,2.5014,1.5924,12.3026,-0.048781,-0.037134,-0.2951,Inf,-0.33595,5.8576,-0.092579,-0.12979,-0.30336,-0.31565,-0.021808,-0.086309,-0.2515,1.373
AMP1FOX1ERY1CPR3DOX2,1,1,1,0.96784,0.98385,0.89196,1,0.86159,0.60695,1,0.91662,1,1,1,0.89425,0.98391,0.6455,0.95933,0.86332,0.8184,1,1,0.84398,0.93558,1,0.68223,1,0.50678,1,1,0.81805,-0.10804,NaN,-0.10978,-0.38309,NaN,NaN,NaN,NaN,NaN,-0.060856,-0.016088,-0.33305,-0.024919,-0.10798,-0.16816,3.0575,Inf,-0.14216,-0.01746,3.0575,Inf,-0.085435,4.9091,-0.034047,12.0911,3.5393,1.5924,-0.16944,2.1888,1.2366,-0.2951,Inf,-0.46778,3.0575,3.0575,-0.12979,-0.080324,-0.61932,-0.20063,0.69697,-0.14088,3.0292
AMP1FOX1ERY1CPR3DOX3,1,1,1,0.96784,0.83578,0.89196,1,0.86159,0.61392,1,0.91662,0.96044,1,1,0.8103,0.98391,0.6455,0.66124,0.86332,0.73006,0.81159,1,0.75631,0.82038,0.91768,0.68223,0.78212,0.49287,0.83271,1,0.90801,-0.10804,NaN,-0.10978,-0.26545,NaN,NaN,NaN,NaN,NaN,0.052186,-0.016088,-0.33305,-0.20883,-0.10798,-0.12649,0.10042,Inf,-0.095082,0.42732,4.0466,Inf,-0.085435,0.37685,-0.034047,-0.061798,3.4877,1.5924,-0.32752,-0.076297,-0.078747,-0.2951,-0.064194,-0.39068,0.88583,7.1089,-0.12979,2.1537,-0.2902,0.04508,3.1911,3.6869,0.058832
AMP1FOX1ERY2CPR1DOX1,1,1,1,1,0.99316,0.89196,1,1,0.73929,1,0.9745,0.90899,0.96962,0.90245,1,1,0.98479,1,1,0.89232,0.63696,1,1,1,1,1,1,0.9938,0.65527,0.74837,0.95666,-0.10804,NaN,NaN,-0.25562,NaN,NaN,NaN,NaN,NaN,NaN,0,-0.015213,Inf,0,-0.10154,-0.35865,0,Inf,Inf,Inf,Inf,4.6406,2.3616,273667412097296,2.6872,-0.14631,2.1916,2.1589,5.9243,5.1805,0,Inf,Inf,-0.34022,-0.24647,-0.13194,-0.31122,-0.10071,-0.28666,-0.39749,-0.036746,1.7636
AMP1FOX1ERY2CPR1DOX2,1,1,1,1,0.98385,0.89196,1,1,0.60695,1,0.9745,1,0.96962,0.84357,1,1,0.98479,0.95933,1,0.70173,0.64292,1,0.99934,0.80823,0.99462,1,0.77635,0.9573,0.66912,0.76685,0.87108,-0.10804,NaN,NaN,-0.38309,NaN,NaN,NaN,NaN,-0.14258,NaN,0,-0.015213,-0.024919,0,-0.28675,-0.34653,0,Inf,-0.1785,Inf,Inf,4.6406,4.9091,273667412097296,1.6757,1.2268,2.1916,8.6434,-0.18448,11.9933,0,-0.2109,-0.026987,-0.3199,-0.22056,-0.13194,-0.4097,0.14253,-0.26787,-0.23355,-0.11462,2.0188
AMP1FOX1ERY2CPR1DOX3,1,1,1,1,0.83578,0.89196,1,1,0.61392,1,0.9745,0.96044,0.96962,0.82434,1,1,0.98479,0.66124,1,0.59278,0.60112,1,0.76262,0.71616,1,1,0.77149,0.65926,0.65423,0.68702,0.49749,-0.10804,NaN,NaN,-0.26545,NaN,NaN,NaN,NaN,-0.013682,NaN,0,-0.015213,-0.20883,0,-0.29074,-0.28076,0,-0.087526,-0.14312,Inf,Inf,4.6406,0.37685,273667412097296,-0.016108,-0.22749,2.1916,-0.1964,-0.35092,0.24104,0,-0.076924,-0.2112,-0.21722,-0.17798,-0.13194,4.7597,1.2246,0.99696,0.79648,-0.40475,-0.4349
AMP1FOX1ERY2CPR2DOX1,1,1,1,0.98304,0.99316,0.89196,1,1,0.73929,1,1,0.90899,0.81747,0.90245,1,1,0.72364,1,1,0.89232,0.69999,1,1,0.75018,1,0.97203,1,0.58427,0.87429,0.7694,0.64684,-0.10804,NaN,NaN,-0.25562,NaN,NaN,NaN,-0.16843,NaN,NaN,0,-0.26388,Inf,Inf,-0.10154,-0.28303,Inf,Inf,-0.23162,3.521,Inf,-0.20545,2.3616,9.7656,2.6872,-0.087684,9.7656,2.1589,-0.19689,3.8728,-0.011201,Inf,-0.40156,-0.1045,-0.21194,-0.040736,-0.31122,-0.018182,-0.23612,-0.30413,-0.33747,1.2155
AMP1FOX1ERY2CPR2DOX2,1,1,1,0.98304,0.98385,0.89196,1,1,0.60695,1,1,1,0.81747,0.84357,1,1,0.72364,0.95933,1,0.70173,0.69142,1,0.99934,0.72795,1,0.97203,0.77635,0.51395,0.93665,0.75791,0.55401,-0.10804,NaN,NaN,-0.38309,NaN,NaN,NaN,-0.16843,-0.14258,NaN,0,-0.26388,-0.024919,Inf,-0.28675,-0.2851,Inf,Inf,-0.24734,2.0678,Inf,-0.20545,4.9091,9.7656,1.6757,0.91388,9.7656,8.6434,-0.29501,2.863,-0.011201,-0.2109,-0.46861,-0.03155,-0.21636,-0.040736,-0.4097,-0.075885,-0.18227,-0.25916,-0.42718,1.2145
AMP1FOX1ERY2CPR2DOX3,1,1,1,0.98304,0.83578,0.89196,1,1,0.61392,1,1,0.96044,0.81747,0.82434,0.97242,1,0.72364,0.66124,1,0.59278,0.67675,1,0.76262,0.77646,0.76842,0.97203,0.77149,0.3745,1,0.84586,0.48713,-0.10804,NaN,NaN,-0.26545,NaN,NaN,NaN,-0.16843,-0.013682,NaN,0,-0.26388,-0.20883,Inf,-0.29074,-0.1763,Inf,-0.087526,-0.054949,-0.064736,Inf,-0.20545,0.37685,9.7656,-0.016108,-0.11938,9.7656,-0.1964,-0.29995,-0.066085,-0.011201,-0.076924,-0.54419,12.5889,1.7113,-0.040736,4.7597,0.38616,2.6554,1.9218,-0.40711,-0.61544
