combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1FOX1FUS1CPR1TMP1,1,1,1,1,1,0.59819,0.6315,0.95658,1,0.77727,1,1,1,1,1,0.3967,0.50339,1,0.39661,0.71109,1,0.69254,0.71119,1,0.89967,0.41461,0.59165,1,0.84031,0.84537,0.58634,-0.40181,-0.3685,NaN,NaN,-0.22273,NaN,NaN,NaN,NaN,NaN,-0.6033,-0.49661,0,-0.60339,-0.28891,0,-0.30746,-0.28881,0,-0.10033,0.6592,-0.092607,3619208975923228,-0.32557,716910198533064,391125312994308,-0.10901,-0.085006,0,-0.10033,-0.58539,-0.40835,0,-0.15969,-0.15463,1.0498,-0.27139,0.11539,18.5585,1.9184,-0.41366,-0.57443
AMP1FOX1FUS1CPR1TMP2,1,1,1,1,1,0.59819,0.6315,0.95658,1,0.77727,1,1,1,1,1,0.3967,0.50339,0.81668,0.39661,0.5704,1,0.69254,0.85701,1,0.93799,0.41461,0.5504,0.92378,0.59159,0.28753,0.52439,-0.40181,-0.3685,NaN,NaN,-0.22273,NaN,NaN,NaN,NaN,NaN,-0.6033,-0.49661,-0.18332,-0.60339,-0.4296,0,-0.30746,-0.14299,0,-0.062006,0.6592,-0.092607,1967984172133061,-0.32557,-0.096753,391125312994308,-0.10901,359127725381680,0,-0.062006,-0.58539,-0.4496,-0.076224,-0.40841,-0.71247,1.0498,-0.13163,0.60506,3.4469,-0.59518,-0.47561,-0.083072
AMP1FOX1FUS1CPR1TMP3,1,1,1,1,1,0.59819,0.6315,0.95658,1,0.77727,1,1,1,1,1,0.3967,0.50339,1,0.39661,0.64247,0.87812,0.69254,0.85445,1,0.47092,0.41461,0.50909,0.8886,0.61234,0.74231,0.34945,-0.40181,-0.3685,NaN,NaN,-0.22273,NaN,NaN,NaN,NaN,NaN,-0.6033,-0.49661,0,-0.60339,-0.35753,-0.12188,-0.30746,-0.14555,0,-0.52908,0.6592,-0.092607,3619208975923228,-0.32557,98816039270165,-0.082021,-0.10901,347598802168867,0,-0.52908,-0.58539,-0.49091,-0.1114,-0.38766,-0.25769,1.0498,-0.42584,0.1913,1.3616,2.1785,-0.65055,-0.7704
AMP1FOX1FUS1CPR2TMP1,1,1,1,1,1,0.59819,0.6315,1,1,0.77727,1,1,1,1,1,0.3967,0.28136,1,0.65548,0.71109,0.74626,0.92489,0.71119,0.78604,0.79156,0.42649,0.59165,1,0.59181,0.56733,0.46539,-0.40181,-0.3685,NaN,NaN,-0.22273,NaN,NaN,NaN,NaN,NaN,-0.6033,-0.71864,0,-0.34452,-0.28891,-0.25374,-0.075108,-0.28881,-0.21396,-0.20844,0.6592,-0.52965,3619208975923228,215971937783362,716910198533064,-0.25374,664846559770469.5,-0.085006,-0.21396,-0.20844,-0.57351,-0.40835,0,-0.40819,-0.43267,5.8561,-0.27139,11.908,0.88931,0.47642,-0.53461,-0.66728
AMP1FOX1FUS1CPR2TMP2,1,1,1,1,1,0.59819,0.6315,1,1,0.77727,1,1,1,1,0.87963,0.3967,0.28136,0.81668,0.65548,0.5704,0.75937,0.92489,0.85701,0.70279,0.84207,0.42649,0.5504,0.77608,0.42569,0.52938,0.34945,-0.40181,-0.3685,NaN,NaN,-0.22273,NaN,NaN,NaN,NaN,-0.12037,-0.6033,-0.71864,-0.18332,-0.34452,-0.4296,-0.24063,-0.075108,-0.14299,-0.29721,-0.15793,0.6592,-0.52965,1967984172133061,215971937783362,-0.096753,-0.13672,664846559770469.5,359127725381680,-0.20105,-0.042701,-0.57351,-0.4496,-0.22392,-0.57431,-0.47062,5.8561,-0.13163,4.2844,0.33416,-0.24012,-0.65055,-0.58793
AMP1FOX1FUS1CPR2TMP3,1,1,1,1,1,0.59819,0.6315,1,1,0.77727,1,1,1,1,0.99998,0.3967,0.28136,1,0.65548,0.64247,0.71838,0.92489,0.85445,0.56303,0.55583,0.42649,0.50909,1,0.36805,0.63252,0.32556,-0.40181,-0.3685,NaN,NaN,-0.22273,NaN,NaN,NaN,NaN,NaN,-0.6033,-0.71864,0,-0.34452,-0.35753,-0.28162,-0.075108,-0.14555,-0.43697,-0.44417,0.6592,-0.52965,3619208975923228,215971937783362,98816039270165,-0.2816,664846559770469.5,347598802168867,-0.43696,-0.44416,-0.57351,-0.49091,0,-0.63195,-0.36748,5.8561,-0.42584,3.2688,0.69474,1.1763,-0.67444,-0.81425
AMP1FOX1FUS1CPR3TMP1,1,1,1,0.97906,1,0.59819,0.6315,1,1,0.77727,1,1,1,1,0.73408,0.3967,0.39168,1,0.66127,0.71109,0.62218,0.78056,0.71119,0.52066,0.528,0.54369,0.59165,0.89227,0.53717,0.45818,0.44808,-0.40181,-0.3685,NaN,NaN,-0.22273,NaN,NaN,NaN,NaN,-0.25022,-0.6033,-0.59994,0,-0.32458,-0.28891,-0.36451,-0.20275,-0.28881,-0.46821,-0.46071,0.6592,-0.37585,3619208975923228,0.026554,716910198533064,-0.17594,-0.027792,-0.085006,-0.3104,-0.30069,-0.44468,-0.40835,-0.088647,-0.45134,-0.53202,1.7222,-0.27139,5.1595,1.308,0.86316,-0.54234,-0.71758
AMP1FOX1FUS1CPR3TMP2,1,1,1,0.97906,1,0.59819,0.6315,1,1,0.77727,1,1,1,1,0.98134,0.3967,0.39168,0.81668,0.66127,0.5704,0.54229,0.78056,0.85701,0.60472,0.4543,0.54369,0.5504,0.84191,0.30066,0.42773,0.48625,-0.40181,-0.3685,NaN,NaN,-0.22273,NaN,NaN,NaN,NaN,NaN,-0.6033,-0.59994,-0.18332,-0.32458,-0.4296,-0.44611,-0.20275,-0.14299,-0.38235,-0.53598,0.6592,-0.37585,1967984172133061,0.026554,-0.096753,-0.45894,-0.027792,359127725381680,-0.39666,-0.54673,-0.44468,-0.4496,-0.14009,-0.6929,-0.56312,1.7222,-0.13163,1.701,0.82122,0.95075,-0.50335,-0.76564
AMP1FOX1FUS1CPR3TMP3,1,1,1,0.97906,1,0.59819,0.6315,1,1,0.77727,1,1,1,1,0.99074,0.3967,0.39168,1,0.66127,0.64247,0.72439,0.78056,0.85445,0.80824,0.77772,0.54369,0.50909,0.81668,0.37551,0.9094,0.34539,-0.40181,-0.3685,NaN,NaN,-0.22273,NaN,NaN,NaN,NaN,NaN,-0.6033,-0.59994,0,-0.32458,-0.35753,-0.26012,-0.20275,-0.14555,-0.17448,-0.20564,0.6592,-0.37585,3619208975923228,0.026554,98816039270165,-0.28398,-0.027792,347598802168867,-0.2011,-0.23126,-0.44468,-0.49091,-0.16585,-0.61646,-0.071146,1.7222,-0.42584,5.7036,0.47241,1.4454,-0.64722,-0.75174
AMP1FOX1FUS2CPR1TMP1,1,1,1,1,1,0.59819,0.73389,0.95658,1,0.96091,1,1,1,1,1,0.28156,0.50339,1,0.50935,0.69322,1,0.90071,1,1,1,0.37871,0.64959,1,0.88142,0.97438,0.72899,-0.40181,-0.26611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.71844,-0.49661,0,-0.49065,-0.30678,0,-0.099293,0,0,0,-0.039018,-0.092607,3619208975923228,-0.26231,-0.055423,391125312994308,-0.062656,176025665713412,0,0,-0.62129,-0.35041,0,-0.11858,-0.025621,1.2905,-0.047219,0.11539,134.3317,0.88489,-0.27101,-0.41308
