combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1FOX1FUS1DOX1TMP1,0.95554,1,0.71957,1,1,0.71206,0.39588,1,0.9885,0.63366,1,1,0.83637,0.81919,1,0.39245,0.83587,0.82765,0,0.70566,0.97982,0.55883,0.65904,1,0.54669,0,0.75202,0.95698,0.7395,0.67212,0,-0.25481,-0.42423,NaN,NaN,-0.11939,NaN,NaN,Inf,Inf,NaN,-0.42923,-0.12524,-0.13383,-1,0.56509,Inf,-0.22338,-0.08412,0,-0.24026,0.98664,1.7845,2.5065,-1,1.6051,-0.051447,-0.25535,-0.10124,0,-0.41593,-1,2.0143,Inf,1.6229,-0.065941,NaN,0.32585,0.31498,9.0223,1.3566,-1,NaN
AMP1FOX1FUS1DOX1TMP2,0.95554,1,0.71957,1,0.99756,0.71206,0.39588,1,1,0.63366,1,1,0.83637,0.8082,0.93906,0.39245,0.83587,0.77115,0,0.62355,1,0.55883,0.54092,0.95033,0.76364,0,0,0.86889,0.53138,0.6319,0,-0.25481,-0.42423,NaN,NaN,-0.11939,NaN,NaN,Inf,51.5672,NaN,-0.42923,-0.12524,-0.191,-1,-0.090912,20.1025,-0.22338,-0.24644,-0.047353,26.1417,0.98664,1.7845,0.23824,-1,0.90465,0.12672,-0.25535,-0.25314,3.6255,-0.13481,-1,-1,-0.088463,-0.22529,-0.11969,NaN,-1,-0.004812,3.8498,1.4061,-1,NaN
AMP1FOX1FUS1DOX1TMP3,0.95554,1,0.71957,1,0.4407,0.71206,0.39588,1,1,0.63366,1,1,0.83637,0.79526,0.71397,0.39245,0.83587,0.69337,0,0.52676,1,0.55883,0.69068,1,0.55092,0,0.52405,0.80434,0.34713,0.7423,0,-0.25481,-0.42423,NaN,NaN,-0.11939,NaN,NaN,Inf,3.869,Inf,-0.42923,-0.12524,13.8949,-1,1.6251,29.544,-0.22338,3.0228,Inf,1.8919,0.98664,1.7845,-0.51416,-1,-0.49732,-0.21919,-0.25535,-0.40451,-0.21462,-0.47198,-1,1.6054,19.5584,0.32043,3.4405,NaN,1.6173,3.3898,3.8178,13.6633,-1,NaN
AMP1FOX1FUS1DOX2TMP1,0.95554,1,0.71957,1,1,0.71206,0.39588,1,0.9885,0.63366,1,1,0.76907,0.81919,0.99992,0.39245,0.80062,0.82765,0.11706,0.70566,1,0.5478,0.65904,0.97052,0.55118,0.089365,0.75202,0.93331,0.50875,0.74179,0.56613,-0.25481,-0.42423,NaN,NaN,-0.11939,NaN,NaN,Inf,Inf,NaN,-0.42923,-0.16212,-0.13383,-0.82974,0.56509,Inf,-0.23871,-0.08412,-0.029484,-0.23401,0.98664,0.99188,2.5065,-0.75364,1.6051,-0.03184,-0.19813,-0.10124,-0.029404,-0.36546,-0.87003,2.0143,-0.023258,-0.26008,Inf,0.76308,0.32585,0.54574,35.9884,1.6192,-0.17664,-0.50383
AMP1FOX1FUS1DOX2TMP2,0.95554,1,0.71957,1,0.99756,0.71206,0.39588,1,1,0.63366,1,1,0.76907,0.8082,0.99504,0.39245,0.80062,0.77115,0.11706,0.62355,1,0.5478,0.54092,0.94105,0.54438,0.089365,0,0.91514,0.23796,0.51808,0.083034,-0.25481,-0.42423,NaN,NaN,-0.11939,NaN,NaN,Inf,51.5672,NaN,-0.42923,-0.16212,-0.191,-0.82974,-0.090912,20.1025,-0.23871,-0.24644,-0.05665,-0.24161,0.98664,0.99188,0.23824,-0.75364,0.90465,-0.040256,-0.19813,-0.25314,-0.056569,-0.36387,-0.87003,-1,-0.03994,-0.65307,-0.27826,0.76308,-1,2.8682,2.2925,0.94799,-0.87894,-0.42618
AMP1FOX1FUS1DOX2TMP3,0.95554,1,0.71957,1,0.4407,0.71206,0.39588,1,1,0.63366,1,1,0.76907,0.79526,0.9814,0.39245,0.80062,0.69337,0.11706,0.52676,0.96133,0.5478,0.69068,0.77573,0.75303,0.089365,0.52405,0.78693,0.47451,0.5268,0,-0.25481,-0.42423,NaN,NaN,-0.11939,NaN,NaN,Inf,3.869,NaN,-0.42923,-0.16212,13.8949,-0.82974,1.6251,27.5706,-0.23871,3.0228,Inf,3.5273,0.98664,0.99188,-0.51416,-0.75364,-0.49732,-0.37424,-0.19813,-0.40451,-0.49651,-0.37567,-0.87003,1.6054,18.6701,1.2456,1.6967,0.76308,1.6173,1.991,2.8355,2.2864,-1,-1
AMP1FOX1FUS1DOX3TMP1,0.95554,1,0.71957,0.91584,1,0.71206,0.39588,0.97465,0.9885,0.63366,1,1,0.72037,0.81919,0.85046,0.39245,0.78734,0.82765,0.51651,0.70566,0.76001,0.43685,0.65904,0.99694,0.53256,0,0.75202,0.93728,0.4614,0.61439,0,-0.25481,-0.42423,NaN,NaN,-0.11939,NaN,NaN,1.0133,Inf,-0.071387,-0.42923,-0.10031,-0.13383,-0.17977,0.56509,-0.13154,-0.33711,-0.08412,Inf,-0.19188,0.98664,-0.053776,2.5065,0.18184,1.6051,-0.19352,-0.37793,-0.10124,0.74042,-0.30344,-1,2.0143,1.5265,-0.26728,-0.067708,-1,0.32585,1.7407,0.29006,1.9014,-1,NaN
AMP1FOX1FUS1DOX3TMP2,0.95554,1,0.71957,0.91584,0.99756,0.71206,0.39588,0.97465,1,0.63366,1,1,0.72037,0.8082,0.71666,0.39245,0.78734,0.77115,0.51651,0.62355,0.78642,0.43685,0.54092,0.9925,0.90265,0,0,0.83026,0.30463,0.64378,0.49487,-0.25481,-0.42423,NaN,NaN,-0.11939,NaN,NaN,1.0133,51.5672,-0.21557,-0.42923,-0.10031,-0.191,-0.17977,-0.090912,-0.099162,-0.33711,-0.24644,35.3632,3.9451,0.98664,-0.053776,0.23824,0.18184,0.90465,-0.048995,-0.37793,-0.25314,2.2005,1.6874,-1,-1,-0.048939,-0.51506,-0.020729,-1,-1,-0.018328,-0.64642,0.16279,-0.21221,1.6544
AMP1FOX1FUS1DOX3TMP3,0.95554,1,0.71957,0.91584,0.4407,0.71206,0.39588,0.97465,1,0.63366,1,1,0.72037,0.79526,0.65228,0.39245,0.78734,0.69337,0.51651,0.52676,0.75446,0.43685,0.69068,0.73724,0.77248,0,0.52405,0.52169,0.5909,0.63657,0,-0.25481,-0.42423,NaN,NaN,-0.11939,NaN,NaN,1.0133,3.869,6.7045,-0.42923,-0.10031,13.8949,-0.17977,1.6251,6.7012,-0.33711,3.0228,8.9952,3.2079,0.98664,-0.053776,-0.51416,0.18184,-0.49732,-0.36987,-0.37793,-0.40451,-0.38645,-0.17321,-1,1.6054,2.4716,1.9204,2.3035,-1,1.6173,2.1839,3.3659,2.9309,-1,NaN
AMP1FOX1FUS2DOX1TMP1,0.95554,1,1,1,1,0.71206,0.48574,1,0.9885,0.61634,1,1,0.47513,0.98209,1,0.49667,0.83587,0.82765,0.34643,0.71423,0.97982,0.50353,0.64022,1,0.75322,0,0.61849,0.95698,0.53889,0.63413,0.42522,-0.25481,-0.49166,NaN,NaN,-0.38366,NaN,NaN,-0.52487,NaN,NaN,-0.48022,-0.12524,-0.13383,-0.63745,-0.25253,Inf,-0.49647,-0.35978,0,-0.24678,1.0179,1.7845,2.5065,0.74708,13.4109,-0.051447,1.074,2.3333,0,16.5309,-1,-0.35273,Inf,-0.43603,-0.36587,-1,-0.2632,0.31498,-0.31484,-0.22987,-0.55499,4.6209
