combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1FOX1STR1ERY1FUS1,0.80336,1,0.96161,1,1,0.64079,0.74941,0.29989,0.47248,0.89206,0.95585,0.89628,0.88256,0.87725,0.51998,0.46576,0.52507,0.27901,0.37829,0.42169,0.51111,0.3446,0.62197,0.29534,0.38505,0.43055,0,0,0.5046,0.44696,0.33375,-0.20236,-0.029911,-0.6267,-0.41187,-0.072326,NaN,-0.10372,-0.082207,-0.087732,-0.48002,-0.39709,-0.34641,-0.6527,-0.51031,-0.45413,-0.36379,-0.64165,-0.3532,-0.70466,-0.59958,-0.13301,2.137,0.21319,2.0381,0.64078,1.2948,-0.55279,-0.12146,-0.20632,0.29645,-0.44266,-1,-1,-0.34681,-0.53519,2.7467,-1,-1,-0.26922,1.2503,-0.56798,-0.35588
AMP1FOX1STR1ERY1FUS2,0.80336,1,0.96161,1,0.61877,0.64079,0.74941,0.29989,0.61128,0.89206,0.95585,0.52872,0.88256,0.58639,0.82513,0.46576,0.52507,0.39836,0.37829,0.41427,0.85966,0.3446,0.7326,0.89162,0.80405,0.43055,0.56325,0.41753,0.97798,0.76144,0.31339,-0.20236,-0.029911,-0.6267,0.93845,-0.072326,NaN,-0.14554,-0.082207,-0.014498,Inf,-0.39709,-0.34641,-0.19863,-0.51031,-0.13334,2.9797,-0.64165,5.7918,Inf,8.7995,-0.13301,2.137,-0.091222,2.0381,-0.26883,1.4077,-0.55279,5.3393,1.027,0.35896,-0.44266,0.60554,-0.16006,3.5519,7.006,2.7467,3.6087,-0.59896,0.35385,-0.083006,-0.34439,-0.4484
AMP1FOX1STR1ERY1FUS3,0.80336,1,0.96161,1,0.9125,0.64079,0.74941,0.29989,0.48632,0.89206,0.95585,0.39311,0.88256,0.79289,0.45579,0.46576,0.52507,0.59656,0.37829,0.73955,0.47692,0.3446,0.47157,0.44953,0.52401,0.43055,0.36967,0.50696,0.59125,0.55319,0.44463,-0.20236,-0.029911,-0.6267,-0.33659,-0.072326,NaN,-0.56919,-0.082207,-0.096393,-0.5005,-0.39709,-0.34641,-0.18621,-0.51031,0.35175,-0.34941,-0.64165,-0.46259,-0.50737,-0.40282,-0.13301,2.137,1.7106,2.0381,4.0538,1.3313,-0.55279,1.6319,1.1135,1.5469,-0.44266,-0.47559,-0.30844,-0.16126,-0.36956,2.7467,-0.61747,-0.70733,-0.46301,2.4333,-0.36925,4.4814
AMP1FOX1STR1ERY2FUS1,0.80336,1,0.96161,1,1,0.64079,0.74941,0.24708,0.47248,0.89206,0.93188,0.89628,0.94603,0.87725,0.66677,0.46576,0.41641,0.27901,0.31788,0.42169,0.53239,0.42003,0.62197,0.45213,0.40063,0.63363,0,0.34352,0.37712,0.48259,0,-0.20236,-0.029911,-0.69244,-0.41187,-0.072326,NaN,-0.10372,NaN,-0.087732,-0.33323,-0.39709,-0.48167,-0.6527,-0.58851,-0.45413,-0.33729,-0.5632,-0.3532,-0.54787,-0.58337,-0.13301,1.7792,0.21319,3.2536,0.64078,1.4766,-0.48206,-0.12146,-0.086465,-0.25976,-0.17979,-1,-0.5724,-0.51183,-0.49814,3.9879,-1,-0.55436,-0.28784,1.1135,-1,NaN
AMP1FOX1STR1ERY2FUS2,0.80336,1,0.96161,1,0.61877,0.64079,0.74941,0.24708,0.61128,0.89206,0.93188,0.52872,0.94603,0.58639,0.59733,0.46576,0.41641,0.39836,0.31788,0.41427,0.42322,0.42003,0.7326,0.48703,0.57239,0.63363,0.56325,0.37126,0.3226,0.49992,0.37868,-0.20236,-0.029911,-0.69244,0.93845,-0.072326,NaN,-0.14554,NaN,-0.014498,-0.034646,-0.39709,-0.48167,-0.19863,-0.58851,-0.13334,-0.14861,-0.5632,5.7918,-0.2129,-0.038026,-0.13301,1.7792,-0.091222,3.2536,-0.26883,1.7879,-0.48206,5.3393,0.34452,0.88991,-0.17979,0.60554,-0.25314,-0.32513,-0.15982,3.9879,3.6087,-0.22503,0.050939,0.19527,-0.20781,-0.38876
AMP1FOX1STR1ERY2FUS3,0.80336,1,0.96161,1,0.9125,0.64079,0.74941,0.24708,0.48632,0.89206,0.93188,0.39311,0.94603,0.79289,0.45962,0.46576,0.41641,0.59656,0.31788,0.73955,0.32534,0.42003,0.47157,0.61318,0.53463,0.63363,0.36967,0.46576,0.33431,0.37499,0.28191,-0.20236,-0.029911,-0.69244,-0.33659,-0.072326,NaN,-0.56919,NaN,-0.096393,-0.49631,-0.39709,-0.48167,-0.18621,-0.58851,0.35175,-0.55619,-0.5632,-0.46259,-0.32802,-0.39072,-0.13301,1.7792,1.7106,3.2536,4.0538,1.1636,-0.48206,1.6319,1.4273,1.9377,-0.17979,-0.47559,-0.36465,-0.52575,-0.57265,3.9879,-0.61747,-0.72736,-0.62616,-0.31701,-0.60008,2.0547
AMP1FOX1STR1ERY3FUS1,0.80336,1,0.96161,1,1,0.64079,0.74941,0.2729,0.47248,0.89206,0.95259,0.89628,0.97545,0.87725,0.24872,0.46576,0.41918,0.27901,0.30231,0.42169,0.36186,0.31668,0.62197,0.41494,0.29855,0.73327,0,0.437,0.37134,0.27336,0.21616,-0.20236,-0.029911,-0.6603,-0.41187,-0.072326,NaN,-0.10372,NaN,-0.087732,-0.75128,-0.39709,-0.47821,-0.6527,-0.60866,-0.45413,-0.54956,-0.67068,-0.3532,-0.58506,-0.68953,-0.13301,1.729,0.21319,4.3287,0.64078,1.1881,-0.6319,-0.12146,2.0998,1.842,-0.050797,-1,-0.45603,-0.51931,-0.71573,2.4899,-1,-0.52758,-0.31259,1.1262,-0.72018,-0.81704
AMP1FOX1STR1ERY3FUS2,0.80336,1,0.96161,1,0.61877,0.64079,0.74941,0.2729,0.61128,0.89206,0.95259,0.52872,0.97545,0.58639,0.54352,0.46576,0.41918,0.39836,0.30231,0.41427,0.37168,0.31668,0.7326,0.51376,0.43242,0.73327,0.56325,0.21269,0.53571,0.57825,0.34016,-0.20236,-0.029911,-0.6603,0.93845,-0.072326,NaN,-0.14554,NaN,-0.014498,-0.12162,-0.39709,-0.47821,-0.19863,-0.60866,-0.13334,-0.2523,-0.67068,5.7918,-0.16972,-0.27326,-0.13301,1.729,-0.091222,4.3287,-0.26883,2.7747,-0.6319,5.3393,0.85696,-0.17255,-0.050797,0.60554,-0.57214,0.40993,-0.028181,2.4899,3.6087,-0.55361,219.8819,2.5181,-0.28838,-0.66536
AMP1FOX1STR1ERY3FUS3,0.80336,1,0.96161,1,0.9125,0.64079,0.74941,0.2729,0.48632,0.89206,0.95259,0.39311,0.97545,0.79289,0.70202,0.46576,0.41918,0.59656,0.30231,0.73955,0.70716,0.31668,0.47157,0.61909,0.71608,0.73327,0.36967,0.40149,0.56468,0.73684,0.32228,-0.20236,-0.029911,-0.6603,-0.33659,-0.072326,NaN,-0.56919,NaN,-0.096393,-0.23066,-0.39709,-0.47821,-0.18621,-0.60866,0.35175,-0.035333,-0.67068,-0.46259,-0.32155,-0.18393,-0.13301,1.729,1.7106,4.3287,4.0538,2.1017,-0.6319,1.6319,1.8906,1.5699,-0.050797,-0.47559,-0.45231,-0.19895,-0.16027,2.4899,-0.61747,-0.7777,-0.50746,9.9573,-0.54281,-0.14928
AMP1FOX1STR2ERY1FUS1,0.80336,1,1,1,1,0.64079,0.80129,0.29989,0.47248,0.9212,0.95585,0.89628,1,1,0.51998,0.59501,0.52507,0.27901,0.43216,0.48407,0.51111,0.59786,0.77999,0.29534,0.63312,0.47862,0,0,0.42269,0.49485,0.38462,-0.20236,-0.0025696,-0.6267,-0.41187,NaN,NaN,-0.10372,NaN,NaN,-0.48002,-0.25934,-0.34641,-0.6527,-0.46206,-0.39745,-0.36379,-0.40214,-0.22001,-0.70466,-0.36688,0.29966,2.137,0.21319,65.0727,6.6137,1.2948,-0.31833,-0.04586,-0.20632,1019112270151315,-0.40422,-1,-1,-0.47384,-0.50515,0.32415,-1,-1,-0.43559,1.816,-0.52124,3.9378
