combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
AMP1FOX1STR1ERY1TMP1,0.79272,1,1,0.99478,1,0.60496,0,0.74263,0.82466,0.61355,0.87571,0.93179,0.95651,0.95393,0.94309,0.53513,0.35099,0.91429,0,0,0.57418,0.50729,0.50588,0.75652,0.69208,0.3765,0.8435,0.72993,0.24023,0.35473,0.65066,-0.23685,-1,-0.058266,Inf,-0.38645,-0.1197,NaN,NaN,NaN,NaN,-0.32495,-0.55491,Inf,-1,-1,-0.27187,-0.49004,-0.49412,-0.23951,-0.30428,2.083,-0.23941,14.9762,NaN,NaN,-0.21712,0.34499,0.057857,0.0029982,-0.1943,-0.52256,Inf,-0.074372,-0.69536,-0.64341,-0.23135,-0.028384,2.244,1.8265,0.49353,-0.1749,-0.52136
AMP1FOX1STR1ERY1TMP2,0.79272,1,1,0.99478,0.99139,0.60496,0,0.74263,0.71059,0.61355,0.87571,0.92764,0.95651,0.96067,0.95993,0.53513,0.35099,0.89091,0,0.61271,0.56902,0.50729,0.52491,0.75652,0.69677,0.3765,0,0.65736,0,0.47952,0.59677,-0.23685,-1,-0.058266,-0.095823,-0.38645,-0.1197,NaN,NaN,NaN,NaN,-0.32495,-0.55491,15.3888,-1,-0.22037,-0.27216,-0.49004,-0.47053,-0.23291,-0.29349,2.083,-0.23941,3.3136,NaN,7.1479,-0.11158,0.34499,0.1177,-0.028184,-0.21837,-0.52256,-1,-0.15916,-1,-0.51378,-0.23135,-1,0.57236,NaN,0.92439,-0.23666,2.2846
AMP1FOX1STR1ERY1TMP3,0.79272,1,1,0.99478,0.76936,0.60496,0,0.74263,0.67246,0.61355,0.87571,0.80064,0.95651,0.77559,0.98199,0.53513,0.35099,0.90568,0,0.26294,0.57264,0.50729,0.56714,0.71368,0.55364,0.3765,0.64516,0.68419,0.41795,0.31882,0.26559,-0.23685,-1,-0.058266,0.3924,-0.38645,-0.1197,Inf,NaN,Inf,NaN,-0.32495,-0.55491,1.8548,-1,-0.56887,-0.056136,-0.49004,-0.26285,-0.067501,-0.27661,2.083,-0.23941,4.0389,NaN,2.8947,-0.28895,0.34499,1.5356,-0.22552,-0.42254,-0.52256,0.22118,0.4764,-0.31111,-0.58342,-0.23135,-0.38429,1.5458,2.417,0.81549,-0.56224,-0.81261
AMP1FOX1STR1ERY2TMP1,0.79272,1,1,1,1,0.60496,0,0.86199,0.82466,0.61355,0.97672,0.93179,1,0.95393,0.98062,0.53513,0.71554,0.91429,0,0,0.49893,0,0.50588,0.53068,0.64676,0.48939,0.8435,0.66134,0.31275,0.47026,0.22515,-0.23685,-1,Inf,Inf,-0.38645,NaN,NaN,NaN,NaN,NaN,-0.32495,-0.097366,Inf,-1,-1,-0.37062,-1,-0.49412,-0.46932,-0.35324,2.083,1.176,14.9762,NaN,NaN,-0.43211,-1,0.057857,-0.40315,-0.30794,-0.38264,Inf,-0.16573,-0.60547,-0.52974,3.8845,-0.028384,4.1335,1.5119,1.6149,-0.71598,-0.91261
AMP1FOX1STR1ERY2TMP2,0.79272,1,1,1,0.99139,0.60496,0,0.86199,0.71059,0.61355,0.97672,0.92764,1,0.96067,1,0.53513,0.71554,0.89091,0,0.61271,0.47952,0,0.52491,0.65656,0.75938,0.48939,0,0.79598,0.3776,0.52331,0.21121,-0.23685,-1,Inf,-0.095823,-0.38645,NaN,NaN,NaN,NaN,NaN,-0.32495,-0.097366,15.3888,-1,-0.22037,-0.38984,-1,-0.47053,-0.33774,-0.23402,2.083,1.176,3.3136,NaN,7.1479,-0.38999,-1,0.1177,-0.28101,-0.21655,-0.38264,-1,1.4772,-0.51953,-0.47215,3.8845,-1,22.3125,1.7437,1.9622,-0.73125,-0.80075
AMP1FOX1STR1ERY2TMP3,0.79272,1,1,1,0.76936,0.60496,0,0.86199,0.67246,0.61355,0.97672,0.80064,1,0.77559,0.98606,0.53513,0.71554,0.90568,0,0.26294,0.69304,0,0.56714,0.87887,0.67984,0.48939,0.64516,0.65605,0.10106,0.51231,0.17375,-0.23685,-1,Inf,0.3924,-0.38645,NaN,Inf,NaN,Inf,NaN,-0.32495,-0.097366,1.8548,-1,-0.56887,0.52143,-1,-0.26285,Inf,-0.11635,2.083,1.176,4.0389,NaN,2.8947,-0.22784,-1,1.5356,-0.12063,-0.31487,-0.38264,0.22118,0.28949,-0.8343,-0.3341,3.8845,-0.38429,-0.20236,1.5353,3.4978,-0.71511,-0.8369
AMP1FOX1STR1ERY3TMP1,0.79272,1,1,1,1,0.60496,0,0.70968,0.82466,0.61355,0.91653,0.93179,0.96067,0.95393,1,0.53513,0.83937,0.91429,0,0,0.72105,0.71738,0.50588,0.81653,0.60993,0.58465,0.8435,0.88172,0.14204,0.49805,0.059625,-0.23685,-1,-0.10475,Inf,-0.38645,NaN,NaN,NaN,NaN,NaN,-0.32495,Inf,Inf,-1,-1,-0.090415,-0.28262,-0.49412,-0.18347,-0.39007,2.083,2.571,14.9762,NaN,NaN,-0.027741,1.8454,0.057857,-0.037468,-0.33311,-0.26247,Inf,Inf,-0.82082,-0.50195,-0.48619,-0.028384,-0.20273,1.5473,0.96534,-0.92478,-0.94183
AMP1FOX1STR1ERY3TMP2,0.79272,1,1,1,0.99139,0.60496,0,0.70968,0.71059,0.61355,0.91653,0.92764,0.96067,0.96067,1,0.53513,0.83937,0.89091,0,0.61271,0.67095,0.71738,0.52491,0.9133,1,0.58465,0,0.70717,0.14303,0.40956,0.082807,-0.23685,-1,-0.10475,-0.095823,-0.38645,NaN,NaN,NaN,NaN,NaN,-0.32495,Inf,15.3888,-1,-0.22037,-0.14626,-0.28262,-0.47053,-0.078768,Inf,2.083,2.571,3.3136,NaN,7.1479,0.52367,1.8454,0.1177,1.0846,3.1525,-0.26247,-1,-0.10018,-0.818,-0.58689,-0.48619,-1,-0.42195,-0.79836,-0.46653,-0.89463,1.0618
AMP1FOX1STR1ERY3TMP3,0.79272,1,1,1,0.76936,0.60496,0,0.70968,0.67246,0.61355,0.91653,0.80064,0.96067,0.77559,0.94761,0.53513,0.83937,0.90568,0,0.26294,0.7508,0.71738,0.56714,0.83778,0.96749,0.58465,0.64516,0.80708,0.35965,0.32479,0,-0.23685,-1,-0.10475,0.3924,-0.38645,NaN,Inf,NaN,Inf,NaN,-0.32495,Inf,1.8548,-1,-0.56887,0.88359,-0.28262,-0.26285,Inf,Inf,2.083,2.571,4.0389,NaN,2.8947,0.004515,1.8454,1.5356,-0.084058,0.23805,-0.26247,0.22118,1.2365,-0.4103,-0.57785,-0.48619,-0.38429,-0.28323,0.21629,-0.54994,-1,-1
AMP1FOX1STR2ERY1TMP1,0.79272,1,1,0.99478,1,0.60496,0,0.74263,0.82466,0.46773,0.87571,0.93179,0.9728,1,0.94309,0,0.35099,0.91429,0,0.39519,0.57418,0.50857,0.5023,0.75652,0.61467,0,0.46794,0.72993,0.21552,0.59822,0.16013,-0.23685,-1,-0.058266,Inf,-0.53227,-0.1197,NaN,NaN,NaN,NaN,-1,-0.55491,Inf,-1,-0.50148,-0.27187,-0.48875,-0.4977,-0.23951,-0.3821,NaN,-0.23941,14.9762,NaN,11.373,-0.21712,1.3069,1.5068,0.0029982,-0.33269,-1,-0.4097,-0.074372,-0.7267,-0.39864,NaN,-0.40851,2.244,23.1191,1.6924,-0.79694,-0.83029
