combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
ERY1FUS1STR1DOX1ERY1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0.95037,1,1,1,1,1,0,0,0.78528,1,0.63587,0.66272,0.83566,0.87301,0,1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-0.049634,0,0,0,0,0,-1,-1,-0.21472,0,Inf,0,0,0,0,0,NaN,NaN,-0.21472,0,-0.36413,-0.33728,-0.16434,-0.12699,-1,-0.33092,-0.30267,113438625128967,-0.12699,NaN,0,2.6818
ERY1FUS1STR1DOX1ERY2,1,1,1,1,0.91151,1,1,1,1,0,1,1,1,1,0.91774,0.95037,1,1,1,1,1,0,0,0.85276,1,0.63587,0.95662,0.93365,1,0.2852,0.89234,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-0.049634,0,Inf,0,Inf,Inf,-1,-1,-0.064456,Inf,Inf,0,-0.081292,0,-0.081292,-0.0061829,NaN,NaN,-0.15251,-0.0061829,-0.36413,Inf,Inf,Inf,-0.68711,-0.33092,0.3878,14.0023,0.075627,2.7861,-0.021036,-0.1537
ERY1FUS1STR1DOX1ERY3,1,1,1,1,0.98017,1,1,1,1,0,1,0.83087,1,1,0.82228,0.95037,1,0.95715,1,1,1,0,0.29418,0.92722,0.85117,0.63587,0.91065,0.90673,1,0.50444,0.65109,NaN,NaN,NaN,NaN,-1,NaN,-0.15232,NaN,NaN,-0.16108,-0.049634,0,-0.023488,0,Inf,Inf,-1,-0.69987,-0.054028,-0.13162,Inf,0,5.3699,0,-0.01944,7.9642,NaN,3.272,1.7028,0.4568,-0.36413,-0.070931,-0.074928,Inf,-0.48535,-0.33092,-0.30609,-0.2515,-0.0089748,-0.095132,-0.33574,0.86625
ERY1FUS1STR1DOX2ERY1,1,1,1,1,1,1,1,1,1,0,0.88839,1,1,1,0.85161,0.95037,0.96763,1,1,1,1,0,0,0.92732,0.88795,1,0.66272,0.84905,1,0.20271,0.37918,NaN,NaN,NaN,NaN,-1,-0.11161,NaN,NaN,NaN,-0.14839,-0.049634,-0.032374,0,0,0,0,-1,-1,-0.072682,-0.11205,Inf,Inf,0,0,0,1336556145555528,NaN,NaN,1.6783,327321597948928,0,-0.33728,-0.15095,0,-0.79729,-0.028754,-0.30267,-0.26486,-0.035066,-0.093669,-0.62082,-0.12185
ERY1FUS1STR1DOX2ERY2,1,1,1,1,0.91151,1,1,1,1,0,0.88839,1,1,1,0.81823,0.95037,0.96763,1,1,1,1,0,0,0.95355,0.78533,1,0.95662,0.80232,1,0.13372,0.42258,NaN,NaN,NaN,NaN,-1,-0.11161,NaN,NaN,NaN,-0.10234,-0.049634,-0.032374,Inf,0,Inf,Inf,-1,-1,Inf,-0.13844,Inf,Inf,-0.081292,0,-0.081292,1.0543,NaN,NaN,30.9279,-0.13387,0,Inf,-0.1198,Inf,-0.8533,-0.028754,0.3878,-0.27666,1.3012,6.7219,-0.5364,-0.51888
ERY1FUS1STR1DOX2ERY3,1,1,1,1,0.98017,1,1,1,1,0,0.88839,0.83087,1,1,0.81442,0.95037,0.96763,0.95715,1,1,1,0,0.29418,0.85442,0.77617,1,0.91065,0.66833,1,0.21967,0.47076,NaN,NaN,NaN,NaN,-1,-0.11161,-0.15232,NaN,NaN,-0.16911,-0.049634,-0.032374,-0.023488,0,Inf,Inf,-1,-0.69987,-0.1283,-0.20813,Inf,Inf,5.3699,0,-0.01944,8.361,NaN,3.272,1.1546,-0.069614,0,-0.070931,-0.31815,Inf,-0.77589,-0.028754,-0.30609,-0.45305,0.35036,-0.58755,-0.51972,0.9987
ERY1FUS1STR1DOX3ERY1,1,1,1,1,1,1,1,1,1,0,0.90004,1,1,1,0.79351,0.95037,0.99794,1,1,1,1,0,0,0.66992,0.83141,1,0.66272,0.61271,1,0.16166,0.50351,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-0.20649,-0.049634,-0.0020583,0,0,0,0,-1,-1,-0.33008,-0.16859,Inf,Inf,0,0,0,929949987614952,NaN,NaN,-0.034063,170671014334236,0,-0.33728,-0.38729,0,-0.83834,-0.046047,-0.30267,-0.37114,-0.036513,10.3268,-0.49649,0.80945
ERY1FUS1STR1DOX3ERY2,1,1,1,1,0.91151,1,1,1,1,0,0.90004,1,1,1,0.77389,0.95037,0.99794,1,1,1,0.94203,0,0,0.60427,0.82913,1,0.95662,0.57663,0.86106,0.17281,0.32325,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-0.15098,-0.049634,-0.0020583,Inf,0,Inf,Inf,-1,-1,-0.33707,-0.090382,Inf,Inf,-0.081292,0,-0.081292,0.90021,NaN,NaN,-0.21651,-0.038555,0,Inf,-0.3674,-0.055356,-0.81042,-0.046047,0.3878,-0.24557,-0.052519,1.8265,-0.64537,-0.60863
ERY1FUS1STR1DOX3ERY3,1,1,1,1,0.98017,1,1,1,1,0,0.90004,0.83087,1,1,0.76975,0.95037,0.99794,0.95715,1,1,1,0,0.29418,0.63224,0.76155,1,0.91065,0.70829,1,0.39599,0.46453,NaN,NaN,NaN,NaN,-1,NaN,-0.15232,NaN,NaN,-0.21468,-0.049634,-0.0020583,-0.023488,0,Inf,Inf,-1,-0.69987,-0.35497,-0.22304,Inf,Inf,5.3699,0,-0.01944,10.6141,NaN,3.272,0.44393,-0.035489,0,-0.070931,-0.27738,Inf,-0.596,-0.046047,-0.30609,-0.33364,0.13316,0.058902,-0.52608,-0.13725
ERY1FUS1STR2DOX1ERY1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.7503,1,0.43012,1,1,1,1,1,0,0,0.78528,0.70186,0.4181,0.43041,0.83566,1,0.1411,0.051168,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-0.2497,NaN,-0.56988,0,0,0,0,0,-1,-1,-0.21472,-0.29814,Inf,0,0,0,Inf,0,NaN,NaN,-0.21472,-0.064567,-0.5819,-0.56959,-0.16434,0,-0.8589,-0.02794,-0.36687,113438625128967,0.19401,1.5362,-0.94883,-0.92227
ERY1FUS1STR2DOX1ERY2,1,1,1,1,0.91151,1,1,1,1,0,1,1,1,0.68953,0.91774,0.43012,1,1,1,1,1,0,0.16892,0.85276,0.65813,0.4181,0.38367,0.93365,1,0.33591,0.48774,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-0.24354,NaN,-0.56988,0,Inf,0,Inf,Inf,-1,-0.81468,-0.064456,-0.27798,Inf,0,-0.081292,0,2.5087,-0.0061829,NaN,2.2653,-0.15251,-0.054072,-0.5819,-0.57909,Inf,Inf,-0.63148,-0.02794,-0.44755,14.0023,0.12365,16.1607,-0.46491,-0.26887
ERY1FUS1STR2DOX1ERY3,1,1,1,1,0.98017,1,1,1,1,0,1,0.83087,1,0.6867,0.82228,0.43012,1,0.95715,1,1,1,0,0.29021,0.92722,0.70685,0.4181,0.48845,0.90673,1,0.2477,0.12998,NaN,NaN,NaN,NaN,-1,NaN,-0.15232,NaN,-0.29941,-0.16108,-0.56988,0,-0.023488,0,Inf,Inf,-1,-0.70392,-0.054028,-0.27886,Inf,0,5.3699,0,14.8034,7.9642,NaN,1.6554,1.7028,1.1276,-0.5819,-0.50167,-0.074928,Inf,-0.74729,-0.02794,-0.56064,-0.2515,-0.15113,-0.65716,-0.86739,2.1162
ERY1FUS1STR2DOX2ERY1,1,1,1,1,1,1,1,1,1,0,0.88839,1,1,0.7503,0.85161,0.43012,0.96763,1,1,1,1,0,0,0.92732,0.62667,0.44449,0.43041,0.84905,1,0.16892,0.18044,NaN,NaN,NaN,NaN,-1,-0.11161,NaN,NaN,-0.2497,-0.14839,-0.56988,-0.032374,0,0,0,0,-1,-1,-0.072682,-0.37333,Inf,Inf,0,0,Inf,1336556145555528,NaN,NaN,1.6783,0.16684,-0.55551,-0.56959,-0.15095,0,-0.83108,-0.12736,-0.36687,-0.26486,-0.024158,-0.29599,-0.81956,0.051681
ERY1FUS1STR2DOX2ERY2,1,1,1,1,0.91151,1,1,1,1,0,0.88839,1,1,0.68953,0.81823,0.43012,0.96763,1,1,1,1,0,0.16892,0.95355,0.60109,0.44449,0.38367,0.80232,1,0.27233,0.022887,NaN,NaN,NaN,NaN,-1,-0.11161,NaN,NaN,-0.24354,-0.10234,-0.56988,-0.032374,Inf,0,Inf,Inf,-1,-0.81468,Inf,-0.34056,Inf,Inf,-0.081292,0,2.5087,1.0543,NaN,2.2653,30.9279,0.051956,-0.55551,-0.57909,-0.1198,Inf,-0.70123,-0.12736,-0.44755,-0.27666,-0.0048236,-0.21547,-0.97489,-0.784
ERY1FUS1STR2DOX2ERY3,1,1,1,1,0.98017,1,1,1,1,0,0.88839,0.83087,1,0.6867,0.81442,0.43012,0.96763,0.95715,1,1,1,0,0.29021,0.85442,0.60139,0.44449,0.48845,0.66833,1,0.20244,0.36433,NaN,NaN,NaN,NaN,-1,-0.11161,-0.15232,NaN,-0.29941,-0.16911,-0.56988,-0.032374,-0.023488,0,Inf,Inf,-1,-0.70392,-0.1283,-0.38645,Inf,Inf,5.3699,0,14.8034,8.361,NaN,1.6554,1.1546,0.48534,-0.55551,-0.50167,-0.31815,Inf,-0.79346,-0.12736,-0.56064,-0.45305,-0.07446,-0.71167,-0.6283,2.0512
