combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
FOX1CPR1STR1FUS1DOX1,1,1,1,0.72898,1,1,0.92135,0.66743,0.34247,1,0.79818,1,0.7885,1,0.70508,0.98998,0.54596,0.52998,0.75155,0.20862,0.33372,1,0.50987,0.87836,0.61337,0.75886,1,0.65649,0.1281,0.38622,0.62917,NaN,NaN,-0.084428,-0.65753,NaN,Inf,NaN,Inf,NaN,-0.032785,-0.010023,-0.25106,-0.47002,Inf,-0.79138,-0.54221,Inf,-0.49013,Inf,-0.15859,618151474773919,-0.25884,844494500387930.5,37.4225,-0.2092,1.9839,1.1054,-0.49013,1.504,-0.1978,Inf,0,-0.099434,-0.82427,-0.47019,-0.071114,4.3821,1.577,-0.32258,-0.32438,-0.13691,-0.12435
FOX1CPR1STR1FUS1DOX2,1,1,1,0.72898,1,1,0.92135,0.66743,0.25268,1,0.79818,0.7972,0.7885,0.95003,0.73661,0.98998,0.54596,0.39625,0.75155,0.20942,0.36724,1,0.30454,0.51882,0.63567,0.75886,1,0.67219,0.093587,0.58828,0.75449,NaN,NaN,-0.084428,-0.74732,NaN,Inf,-0.2028,Inf,NaN,Inf,-0.010023,-0.25106,-0.60375,Inf,-0.79058,-0.49622,Inf,-0.69546,-0.28828,-0.128,618151474773919,-0.25884,1.708,37.4225,0.66365,4.3952,1.1054,-0.59245,-0.21149,-0.16327,Inf,0,-0.077904,-0.87162,-0.19301,-0.071114,4.6849,41.1554,-0.69918,5598.462,Inf,-0.39716
FOX1CPR1STR1FUS1DOX3,1,1,1,0.72898,0.78966,1,0.92135,0.66743,0.27804,1,0.79818,0.60314,0.7885,0.91777,0.81783,0.98998,0.54596,0.76634,0.75155,0.11057,0.4095,1,0.26145,0.558,0.73925,0.75886,1,0.67645,0.21601,0.34129,0.62293,NaN,NaN,-0.084428,-0.64789,NaN,Inf,-0.2362,Inf,NaN,1.5795,-0.010023,-0.25106,-0.029524,Inf,-0.85997,-0.28862,Inf,-0.6689,-0.030642,1.067,618151474773919,-0.25884,3.618,37.4225,-0.67862,0.068299,1.1054,-0.64246,-0.24237,-0.22852,Inf,Inf,0.65745,-0.62475,-0.40712,-0.071114,9.181,0.79172,2.2126,1.668,0.30843,-0.30832
FOX1CPR1STR1FUS2DOX1,1,1,1,1,1,1,0.92135,0.38112,0.34247,1,1,1,1,1,0.56417,0.98998,0.35402,0.52998,0.52663,0.20862,0.54758,0.4941,0.50987,0.50707,0.62366,0.78612,1,1,0.26204,0.32355,0.60402,NaN,NaN,-0.61888,-0.65753,NaN,NaN,NaN,NaN,NaN,-0.43583,-0.010023,-0.64598,-0.47002,-0.47337,-0.79138,-0.45242,-0.5059,-0.49013,-0.49293,-0.37634,618151474773919,-0.071089,844494500387930.5,2.8501,-0.2092,1.1945,-0.5059,-0.49013,-0.10121,535804969637377,-0.21388,0,0,-0.73796,-0.67645,2.481,4.3821,1.1318,-0.64187,0.81533,-0.39598,-0.7917
FOX1CPR1STR1FUS2DOX2,1,1,1,1,1,1,0.92135,0.38112,0.25268,1,1,0.7972,1,0.95003,0.5095,0.98998,0.35402,0.39625,0.52663,0.20942,0.48251,0.4941,0.30454,0.49605,0.46654,0.78612,1,0.67719,0.25279,0.46305,0.76933,NaN,NaN,-0.61888,-0.74732,NaN,NaN,-0.2028,NaN,NaN,-0.4905,-0.010023,-0.64598,-0.60375,-0.47337,-0.79058,-0.51749,-0.5059,-0.69546,-0.50395,-0.53346,618151474773919,-0.071089,1.708,2.8501,0.66365,1.2072,-0.5059,-0.59245,0.93365,0.1401,-0.21388,0,-0.32281,-0.74721,-0.53695,2.481,4.6849,-0.25896,-0.65835,1.1981,-0.23067,-0.72819
FOX1CPR1STR1FUS2DOX3,1,1,1,1,0.78966,1,0.92135,0.38112,0.27804,1,1,0.60314,1,0.91777,1,0.98998,0.35402,0.76634,0.52663,0.11057,0.33415,0.4941,0.26145,0.45625,0.6132,0.78612,1,1,0.40454,0.39602,1,NaN,NaN,-0.61888,-0.64789,NaN,NaN,-0.2362,NaN,NaN,NaN,-0.010023,-0.64598,-0.029524,-0.47337,-0.85997,-0.57684,-0.5059,-0.6689,-0.42222,-0.22345,618151474773919,-0.071089,3.618,2.8501,-0.67862,1.2016,-0.5059,-0.64246,-0.43914,-0.45644,-0.21388,Inf,Inf,-0.4877,-0.49849,2.481,9.181,1.338,1.7785,1.1268,Inf,-0.70469
FOX1CPR1STR1FUS3DOX1,1,1,1,1,1,1,0.92135,0.26193,0.34247,1,1,1,0.98751,1,0.63845,0.98998,0.3728,0.52998,0.2144,0.20862,0.36472,0.42464,0.50987,0.78786,0.7202,0.79818,1,0.97529,0.34652,0.53724,1,NaN,NaN,-0.73807,-0.65753,NaN,NaN,NaN,NaN,NaN,-0.36155,-0.010023,-0.6272,-0.47002,-0.7856,-0.79138,-0.63528,-0.57536,-0.49013,-0.21214,-0.2798,618151474773919,998674380198832.5,844494500387930.5,0.47851,-0.2092,1.1009,-0.56999,-0.49013,1345699226067148,7.5429,-0.20182,0,-0.024713,-0.65348,-0.46276,2.5228,4.3821,0.29564,-0.11802,1.1852,0,-0.70404
FOX1CPR1STR1FUS3DOX2,1,1,1,1,1,1,0.92135,0.26193,0.25268,1,1,0.7972,0.98751,0.95003,0.65158,0.98998,0.3728,0.39625,0.2144,0.20942,0.44203,0.42464,0.30454,0.75103,0.53218,0.79818,1,0.72737,0.36456,0.32792,0.98124,NaN,NaN,-0.73807,-0.74732,NaN,NaN,-0.2028,NaN,NaN,-0.34842,-0.010023,-0.6272,-0.60375,-0.7856,-0.79058,-0.55797,-0.57536,-0.69546,-0.24897,-0.46782,618151474773919,998674380198832.5,1.708,0.47851,0.66365,1.1743,-0.56999,-0.59245,1.4904,-0.096646,-0.20182,0,-0.27263,-0.63544,-0.67208,2.5228,4.6849,-0.36663,-0.18367,1.0346,-0.018758,-0.68183
FOX1CPR1STR1FUS3DOX3,1,1,1,1,0.78966,1,0.92135,0.26193,0.27804,1,1,0.60314,0.98751,0.91777,0.73202,0.98998,0.3728,0.76634,0.2144,0.11057,0.76057,0.42464,0.26145,0.71749,0.71618,0.79818,1,0.61054,0.54644,0.55665,0.66191,NaN,NaN,-0.73807,-0.64789,NaN,NaN,-0.2362,NaN,NaN,-0.072986,-0.010023,-0.6272,-0.029524,-0.7856,-0.85997,-0.036831,-0.57536,-0.6689,-0.091386,-0.093042,618151474773919,998674380198832.5,3.618,0.47851,-0.67862,1.9728,-0.56999,-0.64246,2.9842,-0.1577,-0.20182,Inf,-0.22682,-0.308,-0.29507,2.5228,9.181,-0.62909,0.50622,1.6258,-0.16177,-0.73533
FOX1CPR1STR2FUS1DOX1,1,1,1,0.72898,1,1,0.88551,0.66743,0.34247,1,0.79818,1,0.94134,1,0.70508,1,0.54596,0.52998,0,0.27661,0.33372,0.78837,0.39318,0.87836,0.92349,0.77308,0.66042,0.65649,0.15207,0.57676,0.53744,NaN,-0.11449,-0.084428,-0.65753,NaN,Inf,NaN,NaN,NaN,-0.032785,0,-0.25106,-0.47002,-1,-0.72339,-0.54221,Inf,-0.60682,Inf,Inf,515626945489876,-0.25884,844494500387930.5,-1,0.42479,1.9839,-0.21986,-0.60682,1.504,0.028482,Inf,-0.33958,-0.099434,-0.7914,-0.20881,3.8835,2.2592,1.577,1.3544,0.99242,-0.26275,-0.699
FOX1CPR1STR2FUS1DOX2,1,1,1,0.72898,1,1,0.88551,0.66743,0.25268,1,0.79818,0.7972,0.94134,1,0.73661,1,0.54596,0.39625,0,0.25062,0.36724,0.78837,0.28147,0.51882,0.62402,0.77308,0.75891,0.67219,0.13855,0.44681,0.96165,NaN,-0.11449,-0.084428,-0.74732,NaN,Inf,-0.2028,NaN,NaN,Inf,0,-0.25106,-0.60375,-1,-0.74938,-0.49622,Inf,-0.71853,-0.28828,-0.14398,515626945489876,-0.25884,1.708,-1,0.98205,4.3952,-0.21986,-0.64693,-0.21149,-0.34243,Inf,-0.24109,-0.077904,-0.80994,-0.38707,3.8835,3.168,41.1554,1.1972,1.549,Inf,-0.63248
