combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
FOX1ERY1CPR1FUS1DOX1,1,1,1,1,0.72594,1,1,1,0.84936,1,1,0.851,1,0.79328,0.81449,1,1,0.78726,1,0.80613,0.96319,1,0.95545,1,0.80084,1,0.57736,0.97877,1,1,1,NaN,NaN,NaN,Inf,NaN,NaN,Inf,NaN,Inf,Inf,0,0,Inf,0,Inf,Inf,0,Inf,Inf,Inf,0,0,-0.19208,0,-0.12062,0.11925,0,0.19289,0.28294,-0.091853,0,-0.20467,Inf,Inf,Inf,0,-0.26087,0.073158,1.4248,-0.022917,Inf,0.70353
FOX1ERY1CPR1FUS1DOX2,1,1,1,1,0.72566,1,1,1,0.78721,1,1,0.91725,1,0.86992,0.80008,1,1,0.82354,1,1,1,1,0.89172,1,1,1,0.56414,1,0.97371,1,1,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,Inf,Inf,0,0,Inf,0,Inf,Inf,0,Inf,Inf,Inf,0,0,-0.15862,0,0.33296,1.0177,0,-0.15996,0.031293,0.2545,0,-0.22258,Inf,Inf,Inf,0,-0.34897,-0.042749,-0.23236,-0.029236,Inf,5.6996
FOX1ERY1CPR1FUS1DOX3,1,1,1,1,0.73083,1,1,1,0.83912,1,1,0.82453,1,0.79341,1,1,1,0.74825,1,0.69993,0.73803,1,0.95505,0.69514,1,1,0.75208,1,1,0.93276,1,NaN,NaN,NaN,Inf,NaN,NaN,Inf,NaN,Inf,NaN,0,0,Inf,0,-0.042276,Inf,0,Inf,-0.048838,Inf,0,0,-0.19787,0,-0.22377,-0.33409,0,0.43465,-0.36442,-0.058897,0,Inf,Inf,Inf,Inf,0,3.2734,1.6827,2.8333,2.498,Inf,-0.36495
FOX1ERY1CPR1FUS2DOX1,1,1,1,1,0.72594,1,1,1,0.84936,1,1,0.851,1,0.79328,0.68945,1,1,0.78726,0.93406,0.80613,0.78174,1,0.95545,1,0.98254,1,0.57736,0.92846,1,0.81257,0.9726,NaN,NaN,NaN,Inf,NaN,NaN,Inf,NaN,Inf,-0.050259,0,0,Inf,-0.065944,Inf,Inf,0,Inf,Inf,Inf,0,0,-0.19208,-0.065944,-0.12062,-0.038298,0,0.19289,1.4831,3.3523,0,-0.20467,Inf,Inf,Inf,296985795364244,-0.26087,0.10822,0.35086,-0.38914,Inf,6.2481
FOX1ERY1CPR1FUS2DOX2,1,1,1,1,0.72566,1,1,1,0.78721,1,1,0.91725,1,0.86992,0.90603,1,1,0.82354,0.93406,1,0.70488,1,0.89172,1,0.94384,1,0.56414,1,0.43173,0.75694,1,NaN,NaN,NaN,Inf,NaN,NaN,NaN,NaN,Inf,NaN,0,0,Inf,-0.065944,Inf,-0.02863,0,Inf,Inf,Inf,0,0,-0.15862,-0.065944,0.33296,-0.2715,0,-0.15996,-0.088942,-0.10136,0,-0.22258,Inf,-0.40505,Inf,296985795364244,-0.34897,5.8149,-0.43444,-0.12795,Inf,3.2468
FOX1ERY1CPR1FUS2DOX3,1,1,1,1,0.73083,1,1,1,0.83912,1,1,0.82453,1,0.79341,0.86379,1,1,0.74825,0.93406,0.69993,0.62675,1,0.95505,0.89583,0.68887,1,0.75208,0.90207,1,1,0.88096,NaN,NaN,NaN,Inf,NaN,NaN,Inf,NaN,Inf,Inf,0,0,Inf,-0.065944,-0.042276,-0.14241,0,Inf,Inf,-0.057417,0,0,-0.19787,-0.065944,-0.22377,-0.35525,0,0.43465,-0.0644,-0.25638,0,Inf,Inf,Inf,Inf,296985795364244,3.2734,2.805,1.8785,2.1121,Inf,-0.47295
FOX1ERY1CPR1FUS3DOX1,1,1,1,1,0.72594,1,1,1,0.84936,1,1,0.851,0.78107,0.79328,0.83502,1,1,0.78726,1,0.80613,0.94021,1,0.95545,0.94748,0.93038,0.63985,0.57736,0.78195,0.94417,0.67747,0.89283,NaN,NaN,NaN,Inf,NaN,NaN,Inf,-0.21893,Inf,Inf,0,0,Inf,0,Inf,Inf,0,Inf,Inf,Inf,0,0,-0.19208,1971920559600320,-0.12062,-0.01903,1971920559600320,0.19289,-0.013134,1.0596,-0.36015,-0.20467,Inf,Inf,-0.066764,-0.47507,-0.26087,-0.096524,-0.10665,-0.4408,Inf,1.7479
FOX1ERY1CPR1FUS3DOX2,1,1,1,1,0.72566,1,1,1,0.78721,1,1,0.91725,0.78107,0.86992,0.84072,1,1,0.82354,1,1,0.9227,1,0.89172,0.84443,0.88077,0.63985,0.56414,0.78691,0.86852,0.96219,0.66874,NaN,NaN,NaN,Inf,NaN,NaN,NaN,-0.21893,Inf,Inf,0,0,Inf,0,Inf,Inf,0,Inf,Inf,Inf,0,0,-0.15862,1971920559600320,0.33296,0.11566,1971920559600320,-0.15996,-0.182,0.21073,-0.36015,-0.22258,Inf,Inf,Inf,-0.47507,-0.34897,0.34668,-0.26188,0.49319,-0.078441,1.7122
FOX1ERY1CPR1FUS3DOX3,1,1,1,1,0.73083,1,1,1,0.83912,1,1,0.82453,0.78107,0.79341,0.86807,1,1,0.74825,1,0.69993,0.91621,1,0.95505,0.9353,0.95167,0.63985,0.75208,0.86031,0.99168,1,1,NaN,NaN,NaN,Inf,NaN,NaN,Inf,-0.21893,Inf,Inf,0,0,Inf,0,-0.042276,Inf,0,Inf,Inf,Inf,0,0,-0.19787,1971920559600320,-0.22377,-0.061609,1971920559600320,0.43465,-0.027525,0.90588,-0.36015,Inf,Inf,Inf,Inf,-0.47507,3.2734,0.90293,0.15777,-0.18455,Inf,1.866
FOX1ERY1CPR2FUS1DOX1,1,1,1,1,0.72594,1,1,1,0.84936,1,1,0.851,0.90514,0.46925,0.81449,1,1,0.78726,0.82989,1,0.96319,1,0.78148,1,0.50891,1,0.81595,0.97877,0.22515,1,1,NaN,NaN,NaN,Inf,NaN,NaN,Inf,NaN,-0.35359,Inf,0,0,Inf,-0.17011,Inf,Inf,0,Inf,Inf,-0.29896,0,0,-0.19208,-0.083134,3.3002,0.11925,854418211440240,1.4965,0.28294,1.0136,0,Inf,Inf,-0.68985,Inf,0.79326,-0.27475,0.073158,-0.77454,0.13087,Inf,7.935
