combinations,X1,X2,X3,X4,X5,X1X2,X1X3,X1X4,X1X5,X2X3,X2X4,X2X5,X3X4,X3X5,X4X5,X1X2X3,X1X2X4,X1X2X5,X1X3X4,X1X3X5,X1X4X5 ,X2X3X4,X2X3X5,X2X4X5,X3X4X5,X1X2X3X4,X1X2X3X5,X1X2X4X5,X1X3X4X5,X2X3X4X5,X1X2X3X4X5,NET_12,NET_13,NET_14,NET_15,NET_23,NET_24,NET_25,NET_34,NET_35,NET_45,NET_123,NET_124,NET_125,NET_134,NET_135,NET_145 ,NET_234,NET_235,NET_245,NET_345,EM_123,EM_124,EM_125,EM_134,EM_135,EM_145 ,EM_234,EM_235,EM_245,EM_345,NET_1234,NET_1235,NET_1245,NET_1345,NET_2345,EM_1234,EM_1235,EM_1245,EM_1345,EM_2345,NET_12345,EM_12345
FOX1ERY1FUS1DOX1TMP1,1,1,0.71851,1,0.98328,1,0.41553,1,0.91779,1,1,1,0.87099,0.79433,0.85506,0.67318,1,1,0.43662,0.71815,0.85619,1,1,0.9073,0.55747,0.70681,0.57181,0.98302,0.73793,0.7359,0.51115,NaN,-0.42167,NaN,NaN,NaN,NaN,NaN,Inf,7.3133,-0.1304,-0.063079,0,Inf,-0.39233,0.97035,-0.12926,Inf,24.4386,-0.077272,-0.21093,-0.034211,0,3.9182,-0.23134,6.5921,1.0172,-0.13231,-0.076747,2.1255,-0.3458,-0.016271,-0.19064,-0.00027317,2.6172,2.448,1.3073,-0.38112,0.0765,4.2054,2.7393,-0.2765,-0.32918
FOX1ERY1FUS1DOX1TMP2,1,1,0.71851,1,0.8831,1,0.41553,1,0.90285,1,1,1,0.87099,0.93782,0.76151,0.67318,1,1,0.43662,0.66018,0.95787,1,0.94142,0.92711,0.52894,0.70681,0.6647,1,0.57585,0.69803,0.66715,NaN,-0.42167,NaN,NaN,NaN,NaN,NaN,Inf,3.6111,-0.13768,-0.063079,0,Inf,-0.39233,0.30561,Inf,Inf,3.654,Inf,-0.16638,-0.034211,0,-0.019367,-0.23134,-0.035468,8.9423,-0.13231,-0.25896,0.41661,-0.46307,-0.016271,0.35945,Inf,-0.092445,0.75629,1.3073,0.28494,-0.093975,18.9733,2.5035,0.38854,-0.19964
FOX1ERY1FUS1DOX1TMP3,1,1,0.71851,1,0.75003,1,0.41553,1,0.81948,1,1,1,0.87099,0.71585,0.73326,0.67318,1,0.99969,0.43662,0.62273,0.72299,1,0.81647,0.83083,0.57475,0.70681,0.51996,1,0.49146,0.58295,0.61011,NaN,-0.42167,NaN,Inf,NaN,NaN,NaN,Inf,0.98523,-0.022355,-0.063079,0,Inf,-0.39233,0.46675,-0.036047,Inf,1.5455,Inf,0.19958,-0.034211,0,-0.065229,-0.23134,0.37126,-0.099307,-0.13231,-0.26217,-0.155,-0.29753,-0.016271,-0.035145,Inf,-0.088035,0.24527,1.3073,-0.13218,8.9627,4.0798,2.3368,0.39648,0.1548
FOX1ERY1FUS1DOX2TMP1,1,1,0.71851,0.98664,0.98328,1,0.41553,1,0.91779,1,1,1,0.81523,0.79433,0.74577,0.67318,1,1,0.7409,0.71815,0.70396,0.8622,1,0.7802,0.58856,0.6146,0.57181,1,0.51597,0.73248,0.67872,NaN,-0.42167,NaN,NaN,NaN,NaN,NaN,11.0747,7.3133,-0.23128,-0.063079,Inf,Inf,3.3321,0.97035,-0.27438,15.9664,24.4386,-0.19579,-0.15565,-0.034211,-0.013186,3.9182,1.8544,6.5921,0.18771,-0.21801,-0.076747,0.16202,-0.19048,-0.13303,-0.19064,2.2722,-0.25979,1.6513,-0.18537,-0.38112,2.4723,-0.35774,8.0158,-0.0263,8.0733
FOX1ERY1FUS1DOX2TMP2,1,1,0.71851,0.98664,0.8831,1,0.41553,1,0.90285,1,1,1,0.81523,0.93782,0.76567,0.67318,1,1,0.7409,0.66018,0.74649,0.8622,0.94142,0.72626,0.60053,0.6146,0.6647,0.93309,0.50827,0.78131,0.56499,NaN,-0.42167,NaN,NaN,NaN,NaN,NaN,11.0747,3.6111,-0.12123,-0.063079,Inf,Inf,3.3321,0.30561,-0.14325,15.9664,3.654,-0.16647,-0.04073,-0.034211,-0.013186,-0.019367,1.8544,-0.035468,-0.063326,-0.21801,-0.25896,-0.18655,-0.36336,-0.13303,0.35945,5.2368,-0.18811,1.6792,-0.18537,0.28494,5.2523,-0.035225,2.0198,-0.097501,-0.28562
FOX1ERY1FUS1DOX2TMP3,1,1,0.71851,0.98664,0.75003,1,0.41553,1,0.81948,1,1,1,0.81523,0.71585,0.73639,0.67318,1,0.99969,0.7409,0.62273,0.74097,0.8622,0.81647,0.67978,0.51663,0.6146,0.51996,0.77033,0.43253,0.47516,0.73824,NaN,-0.42167,NaN,Inf,NaN,NaN,NaN,11.0747,0.98523,-0.0048843,-0.063079,Inf,Inf,3.3321,0.46675,0.09593,15.9664,1.5455,-0.081396,-0.028347,-0.034211,-0.013186,-0.065229,1.8544,0.37126,-0.090761,-0.21801,-0.26217,-0.31546,-0.34056,-0.13303,-0.035145,3.0253,-0.18652,-0.10634,-0.18537,-0.13218,2.2935,-0.21487,0.94537,1.1057,34.796
FOX1ERY1FUS1DOX3TMP1,1,1,0.71851,1,0.98328,1,0.41553,0.97643,0.91779,1,1,1,0.83771,0.79433,0.72467,0.67318,1,1,0.49316,0.71815,0.70387,1,1,0.688,0.55986,0.88332,0.57181,0.77672,0.35946,0.54125,0.5591,NaN,-0.42167,NaN,NaN,NaN,NaN,NaN,Inf,7.3133,-0.26301,-0.063079,0,Inf,-0.31363,0.97035,-0.28417,Inf,24.4386,-0.30031,-0.20755,-0.034211,Inf,3.9182,-0.047598,6.5921,0.76537,-0.10651,-0.076747,-0.072012,-0.22855,Inf,-0.19064,-0.21008,-0.49121,-0.2339,1.0665,-0.38112,0.315,-0.35815,0.046609,-0.20863,9.4621
FOX1ERY1FUS1DOX3TMP2,1,1,0.71851,1,0.8831,1,0.41553,0.97643,0.90285,1,1,1,0.83771,0.93782,0.72899,0.67318,1,1,0.49316,0.66018,0.67729,1,0.94142,0.70681,0.647,0.88332,0.6647,0.70205,0.49206,0.5469,0.5492,NaN,-0.42167,NaN,NaN,NaN,NaN,NaN,Inf,3.6111,-0.17451,-0.063079,0,Inf,-0.31363,0.30561,-0.23306,Inf,3.654,-0.19962,0.14872,-0.034211,Inf,-0.019367,-0.047598,-0.035468,-0.069575,-0.10651,-0.25896,-0.16442,-0.30606,Inf,0.35945,-0.20502,-0.2245,-0.13808,1.0665,0.28494,2.0374,4.369,1.425,-0.13445,-0.20059
FOX1ERY1FUS1DOX3TMP3,1,1,0.71851,1,0.75003,1,0.41553,0.97643,0.81948,1,1,1,0.83771,0.71585,0.81603,0.67318,1,0.99969,0.49316,0.62273,0.74117,1,0.81647,0.65457,0.6734,0.88332,0.51996,0.73394,0.56162,0.64464,0.65553,NaN,-0.42167,NaN,Inf,NaN,NaN,NaN,Inf,0.98523,Inf,-0.063079,0,Inf,-0.31363,0.46675,-0.011813,Inf,1.5455,-0.12728,0.74885,-0.034211,Inf,-0.065229,-0.047598,0.37126,-0.14592,-0.10651,-0.26217,-0.38596,-0.21026,Inf,-0.035145,-0.021452,0.12649,0.58872,1.0665,-0.13218,1.5975,0.9146,6.2921,0.64936,-0.11676
FOX1ERY1FUS2DOX1TMP1,1,1,1,1,0.98328,1,0.80766,1,0.91779,0.71836,1,1,1,1,0.85506,0.50668,1,1,0.88003,0.85392,0.85619,0.86896,0.87453,0.9073,0.82051,0.67097,0.6551,0.98302,0.85571,0.73409,0.8952,NaN,-0.19234,NaN,NaN,-0.28164,NaN,NaN,NaN,NaN,-0.1304,-0.49332,0,Inf,-0.11997,-0.13156,-0.12926,-0.13104,-0.1106,-0.077272,-0.16554,-0.036768,0,3.9182,325939026189963,2.2252,1.0172,Inf,4.0309,2.1255,-0.058804,-0.32903,-0.33376,-0.00027317,-0.12975,-0.25343,-0.080427,-0.17093,0.0765,0.1287,-0.19752,-0.089583,1.534
